losses/explained_variance,_timestamp,charts/episodic_return,_step,losses/value_loss,losses/policy_loss,charts/episodic_length,losses/entropy,_runtime,global_step,losses/clipfrac,charts/learning_rate,charts/SPS,losses/approx_kl,losses/old_approx_kl
-0.00025272369384765625,1763260477.843085,,3188,219.8560333251953,-0.005510736256837845,,0.2713455557823181,449.96699714660645,298240,0.0,0.00012112135300412774,668.0,0.00041818059980869293,0.0062269363552331924
5.793571472167969e-05,1763260482.404427,,3217,1.8169047832489014,-0.005610521882772446,,0.2774541974067688,454.52833914756775,301184,0.001953125,0.00011935483780689538,668.0,0.0007403688505291939,0.006590886972844601
-0.20401930809020996,1763260483.4738185,,3224,0.0005058412789367139,0.002597849816083908,,0.328693151473999,455.5977306365967,301952,0.001953125,0.00011889400775544345,668.0,0.0032392991706728935,0.0009476328268647194
-2.7060508728027344e-05,1763260487.1441884,,3247,187.83755493164062,0.00029919296503067017,,0.3706679344177246,459.2681005001068,304256,0.0,0.00011751151760108769,668.0,2.9264017939567566e-05,0.00324181467294693
0.028087258338928223,1763260487.716478,,3250,0.0007085058023221791,-0.036701053380966187,,0.3692767024040222,459.8403902053833,304640,0.068359375,0.00011728110257536173,668.0,0.014750782400369644,0.036234915256500244
-7.915496826171875e-05,1763260487.9349368,,3252,85.87579345703125,-0.002589453011751175,,0.3970057964324951,460.05884885787964,304768,0.0,0.00011720429756678641,667.0,0.001490481197834015,-0.003949088975787163
0.17951011657714844,1763260488.4597797,,3255,0.0007347416831180453,-0.002629287773743272,,0.3254050612449646,460.58369183540344,305152,0.0,0.00011697388981701806,668.0,0.001100395806133747,0.0047148605808615685
0.024170517921447754,1763260489.036511,,3259,0.0005531534552574158,0.0022635050117969513,,0.3697730004787445,461.16042304039,305536,0.0,0.0001167434747912921,668.0,0.0011535463854670525,0.008790233172476292
-0.03461313247680664,1763260490.8858266,,3272,0.005725359544157982,-0.0006345752626657486,,0.34679728746414185,463.00973868370056,306816,0.0,0.0001159754247055389,668.0,0.00010138843208551407,0.0035707177594304085
,1763260491.2482927,500.0,3275,,,500.0,,463.3722047805786,307163,,,,,
8.481740951538086e-05,1763260491.4043715,,3276,11.28669548034668,0.013028793036937714,,0.3434060513973236,463.5282835960388,307200,0.0,0.00011574500967981294,668.0,0.0021672630682587624,0.007058792747557163
0.00013834238052368164,1763260494.1482675,,3296,4.941396236419678,0.00020590424537658691,,0.3034397065639496,466.27217960357666,309248,0.0,0.00011451612954260781,668.0,0.00016194116324186325,0.0022160736843943596
-0.09525418281555176,1763260494.6187835,,3299,0.000801274785771966,-0.003158051520586014,,0.35182735323905945,466.74269556999207,309632,0.00390625,0.00011428571451688185,668.0,0.004288032650947571,0.011219706386327744
