charts/episodic_return,_step,losses/approx_kl,losses/clipfrac,losses/explained_variance,_runtime,losses/value_loss,charts/learning_rate,losses/policy_loss,_timestamp,losses/entropy,charts/SPS,losses/old_approx_kl,global_step,charts/episodic_length
,636,7.843878120183945e-05,0.0,0.11403173208236694,120.41863203048706,0.5403666496276855,0.0002705069200601429,-0.0006651207804679871,1763260150.5269961,0.5382252335548401,594.0,-0.0007957825437188148,49280,
,640,4.720874130725861e-06,0.0,-0.0022939443588256836,121.09042644500732,0.6284775137901306,0.0002702765050344169,-0.00021649152040481567,1763260151.1987906,0.5434765219688416,594.0,0.0005698585882782936,49664,
,650,1.0205432772636414e-05,0.0,0.21747934818267822,122.79771876335144,0.5207529067993164,0.00026966206496581435,-0.00034248456358909607,1763260152.9060829,0.5630790591239929,594.0,0.0013105962425470352,50688,
,664,0.0005065519362688065,0.0,0.2097783088684082,125.21901607513428,0.42753225564956665,0.00026881720987148583,-0.00497031956911087,1763260155.3273802,0.5359578132629395,594.0,0.004205530509352684,52096,
,684,0.0006143404170870781,0.0,0.0003846287727355957,128.4569501876831,198.4664764404297,0.00026774193975143135,-0.0009204745292663574,1763260158.5653143,0.558972179889679,592.0,-7.90255144238472e-05,53888,
,689,0.001138368621468544,0.001953125,0.22691428661346436,129.37206888198853,0.2903357744216919,0.00026743471971713006,-0.01313745602965355,1763260159.480433,0.5056190490722656,592.0,0.010577285662293434,54400,
,698,5.9694983065128326e-05,0.0,-0.0007406473159790039,130.76438236236572,187.7250518798828,0.00026697388966567814,0.00192352756857872,1763260160.8727465,0.531753420829773,591.0,-0.0009316438809037209,55168,
,702,0.0017312532290816307,0.001953125,-0.0026140213012695312,131.3981854915619,199.49354553222656,0.0002667434746399522,-0.0018654894083738327,1763260161.5065496,0.5448415875434875,591.0,0.003645540215075016,55552,
,707,0.0005634874105453491,0.0,-0.002649664878845215,132.28407406806946,158.39425659179688,0.0002664362546056509,0.0017125830054283142,1763260162.3924382,0.538925051689148,591.0,0.0097430981695652,56064,
500.0,729,,,,135.89166617393494,,,,1763260166.0000303,,,,58174,500.0
,757,0.001232922077178955,0.00390625,-0.07312226295471191,141.10698699951172,0.005837881006300449,0.0002634408592712134,0.0010700169950723648,1763260171.215351,0.5428352355957031,589.0,0.012257145717740059,61056,
,762,0.007950464263558388,0.013671875,0.4984557032585144,142.0178050994873,0.003122972557321191,0.00026313363923691213,-0.02074257656931877,1763260172.1261692,0.5537851452827454,589.0,0.017318952828645706,61568,
,767,0.002096344716846943,0.001953125,0.0027751922607421875,142.96567010879517,0.0005945978336967528,0.00026282641920261085,-0.013860244303941727,1763260173.0740342,0.6196287870407104,588.0,0.008395328186452389,62080,
,775,0.0009899139404296875,0.0,-8.165836334228516e-05,144.1687512397766,335.392333984375,0.00026244239415973425,0.00504755973815918,1763260174.2771153,0.5763246417045593,588.0,0.0070129018276929855,62720,
,788,0.0013501709327101707,0.0,0.02082657814025879,146.51799416542053,14.90017032623291,0.00026167434407398105,0.012012042105197906,1763260176.6263583,0.574357807636261,587.0,0.010670925490558147,64000,
,789,0.0032295091077685356,0.00390625,0.005411624908447266,146.72346949577332,0.0005673112464137375,0.0002615975390654057,-0.009873773902654648,1763260176.8318336,0.5807363390922546,587.0,0.028525080531835556,64128,
,797,3.167986869812012e-05,0.0,-0.0007977485656738281,148.10691809654236,581.5784912109375,0.0002611367090139538,0.0004789605736732483,1763260178.2152822,0.517387866973877,586.0,-0.0005322173237800598,64896,
500.0,806,,,,149.7274887561798,,,,1763260179.8358529,,,,65890,500.0
,815,0.004629043862223625,0.009765625,0.7699083685874939,151.52994084358215,0.00017079823010135442,0.000259984633885324,0.03475656732916832,1763260181.638305,0.4239811301231384,586.0,-0.024767132475972176,66816,
,863,0.002347930334508419,0.0,0.1001286506652832,160.34737610816956,0.00022598386567551643,0.00025706604355946183,-0.013812936842441559,1763260190.4557402,0.5142157673835754,583.0,0.026823176071047783,71680,
,872,0.0005152663215994835,0.0,-0.07207095623016357,161.9982500076294,0.002907253336161375,0.0002565284084994346,0.007849795743823051,1763260192.106614,0.5372732281684875,583.0,0.0035832831636071205,72576,
,876,0.0001614624634385109,0.0,6.878376007080078e-05,162.6837499141693,53.961692810058594,0.00025629799347370863,-0.0005798190832138062,1763260192.792114,0.5384095311164856,583.0,0.004224897362291813,72960,
,916,0.0001423954963684082,0.0,-0.5308170318603516,170.2909858226776,0.0038410506676882505,0.0002538402331992984,0.0013343915343284607,1763260200.39935,0.4811948537826538,580.0,-0.0065885186195373535,77056,
,922,0.0005081780254840851,0.0,-0.4768780469894409,171.4490373134613,0.00043251202441751957,0.0002534562081564218,0.0023505091667175293,1763260201.5574014,0.507125198841095,580.0,0.004571311175823212,77696,
,930,0.0005646040663123131,0.0,0.00024181604385375977,172.91563510894775,221.8577117919922,0.00025299537810496986,-0.0035168547183275223,1763260203.0239992,0.4573425054550171,579.0,-0.005344514735043049,78464,
,938,0.0009950129315257072,0.001953125,0.4387165904045105,174.56008052825928,0.00011467310832813382,0.0002524577430449426,-0.004807817284017801,1763260204.6684446,0.463142067193985,579.0,-0.015139899216592312,79360,
,941,0.000690048560500145,0.0,-0.4774138927459717,175.09375190734863,0.0035448651760816574,0.000252304133027792,-0.0032638199627399445,1763260205.202116,0.49435558915138245,578.0,-0.0012542568147182465,79616,
,942,0.000857117585837841,0.0,-0.06815576553344727,175.30120587348938,0.0005305209197103977,0.00025222732801921666,0.007075324654579163,1763260205.40957,0.5175998210906982,578.0,-0.001031513325870037,79744,
,948,0.00016496796160936356,0.0,-0.31327593326568604,176.50543212890625,0.0001014149165712297,0.0002518433320801705,0.0068795159459114075,1763260206.6137962,0.49574941396713257,578.0,0.002949402667582035,80384,
,974,0.0007032100111246109,0.0,-0.0012472867965698242,181.35307812690735,398.80548095703125,0.0002503072319086641,-0.0024598687887191772,1763260211.4614422,0.4250950813293457,576.0,0.004313413053750992,82944,
,980,0.00012033898383378983,0.0,0.23634088039398193,182.52492952346802,0.0038632166106253862,0.0002499232068657875,-0.00016389042139053345,1763260212.6332936,0.47561320662498474,576.0,0.001784282736480236,83584,
,985,0.00011085718870162964,0.0,-0.05972564220428467,183.47977209091187,0.003913589287549257,0.0002496159868314862,-0.0047632548958063126,1763260213.5881362,0.44866079092025757,576.0,5.84721565246582e-05,84096,
,995,0.0002004699781537056,0.0,0.20624250173568726,185.35791063308716,0.004428358748555183,0.00024900154676288366,0.004113782197237015,1763260215.4662747,0.4345203638076782,575.0,0.005765448324382305,85120,
,997,0.00021501164883375168,0.0,-0.22769033908843994,185.8140151500702,0.00011486117000458762,0.000248847936745733,-0.01311412826180458,1763260215.9223793,0.4788772761821747,575.0,-0.0005676178261637688,85376,
,1015,0.00044791027903556824,0.0,-0.0010700225830078125,189.07864928245544,0.0006876628613099456,0.00024777266662567854,-0.001758672297000885,1763260219.1870134,0.5534913539886475,575.0,0.0009459443390369415,87168,
,1020,0.0014513060450553894,0.0,0.11957705020904541,190.02571535110474,0.0005180558073334396,0.00024746544659137726,-0.008777454495429993,1763260220.1340795,0.5462722778320312,575.0,-0.0057731326669454575,87680,
,1031,0.0006358586251735687,0.0,-0.0277252197265625,192.02435970306396,4.657136742025614e-05,0.0002467742015141994,-0.012492351233959198,1763260222.1327238,0.5894581079483032,575.0,-0.009498171508312225,88832,
,1050,0.001104121096432209,0.001953125,0.14293396472930908,195.32330560684204,0.0005768268019892275,0.00024562212638556957,0.001639489084482193,1763260225.4316697,0.5444746613502502,575.0,-0.0005016671493649483,90752,
,1053,1.695007085800171e-05,0.0,-0.00012099742889404297,195.81223392486572,213.8583221435547,0.00024546851636841893,-0.0002964884042739868,1763260225.920598,0.5289762020111084,575.0,-0.0019080769270658493,91008,
,1058,0.0004664398729801178,0.0,-0.27575528621673584,196.72761297225952,0.005338168237358332,0.00024516129633411765,-0.011984419077634811,1763260226.835977,0.5562591552734375,574.0,0.010801497846841812,91520,
,1082,0.001951310783624649,0.009765625,-2.596858263015747,200.86134243011475,0.0010175995994359255,0.0002437788061797619,-0.016119107604026794,1763260230.9697065,0.5943478345870972,574.0,0.0043932609260082245,93824,
,1083,0.0016034822911024094,0.0,-0.6679421663284302,201.09044790267944,0.00033500479185022414,0.00024370200117118657,-0.009231550619006157,1763260231.198812,0.5601807236671448,574.0,-0.01736404001712799,93952,
,1091,0.00036327261477708817,0.0,-2.6249969005584717,202.31497430801392,0.0026120871771126986,0.00024331797612830997,0.007006926462054253,1763260232.4233384,0.5555744171142578,574.0,0.0012555411085486412,94592,
,1106,0.00029827654361724854,0.0,-0.6513336896896362,205.0971701145172,0.0004130242741666734,0.00024239631602540612,0.0041937679052352905,1763260235.2055342,0.45777252316474915,573.0,0.004923161119222641,96128,
500.0,1118,,,,207.20278453826904,,,,1763260237.3111486,,,,97339,500.0
,1125,0.0026840800419449806,0.0,0.40707212686538696,208.50283193588257,0.004767969716340303,0.00024124424089677632,-0.014302350580692291,1763260238.611196,0.44883665442466736,573.0,0.01912955939769745,98048,
500.0,1133,,,,209.91445565223694,,,,1763260240.0228198,,,,98839,500.0
,1145,0.00047743041068315506,0.0,-0.21807944774627686,212.1913194656372,0.00039669356192462146,0.0002400153607595712,-0.0013048220425844193,1763260242.2996836,0.5191739797592163,573.0,0.001522672362625599,100096,
,1164,0.0005672276020050049,0.0,-0.25513601303100586,215.67029857635498,0.003379541914910078,0.0002388632856309414,-0.01206621527671814,1763260245.7786627,0.4880065321922302,572.0,0.005050407722592354,102016,
,1165,0.0011299829930067062,0.0,-0.01170039176940918,215.8701570034027,0.0001696774852462113,0.00023878648062236607,0.006990678608417511,1763260245.978521,0.4491850435733795,572.0,0.0072031281888484955,102144,
500.0,1172,,,,217.08156561851501,,,,1763260247.1899297,,,,102839,500.0
,1181,0.001902969554066658,0.0,0.025004923343658447,218.86340427398682,5.235623029875569e-05,0.0002377880155108869,0.0008876696228981018,1763260248.9717684,0.43874379992485046,572.0,-0.005815552547574043,103808,
,1186,0.0015192339196801186,0.0,-0.9512258768081665,219.8458957672119,0.00024924598983488977,0.00023748079547658563,0.002251848578453064,1763260249.9542599,0.4246237277984619,572.0,0.005657642148435116,104320,
,1197,9.055715054273605e-05,0.0,-6.282329559326172e-05,221.78769946098328,77.11985778808594,0.00023686635540798306,-5.199015140533447e-05,1763260251.8960636,0.423051655292511,571.0,0.005551903508603573,105344,
,1213,4.7934241592884064e-05,0.0,-0.2349482774734497,224.77901935577393,0.003221280174329877,0.0002358678902965039,-0.003309778869152069,1763260254.8873835,0.44338157773017883,571.0,-0.0010362165048718452,107008,
,1215,0.00014314986765384674,0.0,-0.38246846199035645,225.23470282554626,9.608364780433476e-05,0.00023571428027935326,0.002287723124027252,1763260255.343067,0.47883445024490356,571.0,0.005722226575016975,107264,
500.0,1226,,,,227.20443749427795,,,,1763260257.3128016,,,,108339,500.0
,1230,0.0021572457626461983,0.001953125,0.2920597791671753,228.12295293807983,9.919056901708245e-05,0.00023479262017644942,-0.025134436786174774,1763260258.231317,0.47606828808784485,570.0,0.016292691230773926,108800,
,1234,0.0016275867819786072,0.00390625,-0.12995517253875732,228.85693526268005,0.0006838627741672099,0.00023456220515072346,-0.0072560980916023254,1763260258.9652994,0.5026365518569946,570.0,-0.0011714398860931396,109184,
,1245,0.003889978863298893,0.0078125,0.08798956871032715,231.01988911628723,9.500086889602244e-05,0.0002338709746254608,-0.020409446209669113,1763260261.1282532,0.5004122257232666,570.0,-0.0007228665053844452,110336,
,1254,0.0014122119173407555,0.0,-0.06808483600616455,232.702045917511,6.615606253035367e-05,0.00023333333956543356,-0.010067014023661613,1763260262.81041,0.4445473253726959,569.0,0.0045201340690255165,111232,
,1271,8.08127224445343e-05,0.0,-5.2094459533691406e-05,235.60837626457214,214.2333221435547,0.0002323348744539544,0.0024257227778434753,1763260265.7167404,0.5330672264099121,570.0,-0.0015447214245796204,112896,
500.0,1299,,,,240.28099632263184,,,,1763260270.3893604,,,,115839,500.0
500.0,1339,,,,246.92978286743164,,,,1763260277.038147,,,,119839,500.0
,1340,0.000563611276447773,0.0,-0.00020039081573486328,247.11528897285461,117.46281433105469,0.00022811059898231179,0.0005607232451438904,1763260277.223653,0.5669867992401123,572.0,-0.002629500813782215,119936,
500.0,1349,,,,248.54518723487854,,,,1763260278.6535513,,,,120839,500.0
500.0,1363,,,,250.86569905281067,,,,1763260280.9740632,,,,122339,500.0
,1365,0.000658862292766571,0.0,-0.27429699897766113,251.1890094280243,0.00368520594201982,0.00022657449881080538,-0.0012965127825737,1763260281.2973735,0.5329370498657227,573.0,-0.00382799468934536,122496,
,1370,3.163423389196396e-05,0.0,0.368622362613678,252.03574299812317,0.0027794090565294027,0.0002262672787765041,0.00048065185546875,1763260282.144107,0.5501742362976074,573.0,0.002524985931813717,123008,
,1380,0.0025229230523109436,0.0,-0.288913369178772,253.7049901485443,0.004463993478566408,0.00022565283870790154,0.006766520440578461,1763260283.8133543,0.5567512512207031,573.0,0.010658049955964088,124032,
,1381,0.003933087922632694,0.005859375,0.4560210108757019,253.90742683410645,0.0004395226133055985,0.00022557603369932622,-0.010334454476833344,1763260284.015791,0.4382159113883972,573.0,0.022796111181378365,124160,
500.0,1388,,,,254.99006152153015,,,,1763260285.0984256,,,,124839,500.0
,1395,0.00048087723553180695,0.0,-0.11091339588165283,256.258713722229,0.005291453562676907,0.0002247311786049977,-0.006903916597366333,1763260286.3670778,0.5076856017112732,574.0,-0.0007380079478025436,125568,
,1399,0.00027555786073207855,0.0,0.000606536865234375,256.8965127468109,144.18968200683594,0.00022450076357927173,0.0034560486674308777,1763260287.0048769,0.5893285274505615,574.0,-0.010355338454246521,125952,
