losses/clipfrac,losses/policy_loss,losses/old_approx_kl,losses/explained_variance,_timestamp,losses/entropy,charts/episodic_length,losses/value_loss,global_step,charts/learning_rate,charts/episodic_return,_runtime,_step,charts/SPS,losses/approx_kl
0.0,-0.003165900707244873,-0.0012580789625644684,0.00014984607696533203,1763260462.354739,0.4668789505958557,,269.9110412597656,203904,0.00017772657156456262,,371.3495750427246,2220,594.0,0.0001360587775707245
0.0,-0.0071050385013222694,0.004834259860217571,0.232818603515625,1763260462.755134,0.46345236897468567,,0.0001978408545255661,204288,0.00017749615653883666,,371.7499701976776,2223,595.0,0.00027321185916662216
0.0,0.0013969019055366516,0.003545144572854042,0.00012093782424926758,1763260462.9339075,0.4511348307132721,,733.1986694335938,204416,0.00017741935153026134,,371.92874360084534,2225,595.0,8.166953921318054e-05
0.0,-0.0028756558895111084,0.0038580596446990967,-0.24122655391693115,1763260463.0707722,0.47128409147262573,,0.0045073735527694225,204544,0.00017734254652168602,,372.06560826301575,2226,595.0,8.212216198444366e-05
0.0,-0.01354391872882843,0.0038617290556430817,-0.19004428386688232,1763260463.2070594,0.4817649722099304,,0.00013330727233551443,204672,0.0001772657415131107,,372.2018954753876,2227,595.0,0.000832144170999527
0.0,-0.008308427408337593,0.0025179050862789154,0.5489219427108765,1763260463.6384997,0.43888968229293823,,0.0061340974643826485,205056,0.00017703532648738474,,372.6333358287811,2231,595.0,0.000351710245013237
0.0,-0.0007413513958454132,0.0011113304644823074,9.799003601074219e-05,1763260464.0642712,0.4209951162338257,,139.4075927734375,205440,0.00017680491146165878,,373.0591073036194,2235,596.0,4.030950367450714e-05
0.0,-0.009036339819431305,-0.0006084907799959183,-0.27151262760162354,1763260464.7907467,0.42595475912094116,,0.004903183318674564,206080,0.00017642088641878217,,373.785582780838,2241,596.0,0.0003105197101831436
0.001953125,0.0015896782279014587,0.00975035410374403,-0.11002063751220703,1763260465.6270878,0.46054336428642273,,0.0001732189703034237,206848,0.00017596005636733025,,374.62192392349243,2248,597.0,0.0029736021533608437
0.0,-0.00570024736225605,0.016678906977176666,-0.00033462047576904297,1763260465.7758584,0.42940446734428406,,250.33181762695312,206976,0.00017588325135875493,,374.77069449424744,2250,597.0,0.0014056963846087456
,,,,1763260466.0631225,,500.0,,207354,,500.0,375.0579586029053,2253,,
0.0,0.0045509934425354,-0.007498250342905521,0.5683869123458862,1763260468.2179604,0.4053924083709717,,8.312620047945529e-05,209280,0.00017450076120439917,,377.21279644966125,2272,600.0,0.0013595512136816978
0.0,0.0029475241899490356,-0.008652978576719761,-0.4173271656036377,1763260468.9656746,0.443655788898468,,0.00531310448423028,210048,0.00017403994570486248,,377.9605107307434,2280,600.0,0.0008931169286370277
0.0,-0.003394622355699539,-0.003103933297097683,-0.342105507850647,1763260470.5407448,0.41358324885368347,,0.004335394129157066,211584,0.00017311828560195863,,379.5355808734894,2295,602.0,0.0001777196303009987
,,,,1763260470.8248997,,500.0,,211854,,500.0,379.81973576545715,2298,,
0.0,-0.00045071146450936794,0.0031853271648287773,0.18508070707321167,1763260472.1276832,0.4568713903427124,,0.0001611101470189169,213120,0.0001721966254990548,,381.12251925468445,2310,604.0,0.0019383570179343224
,,,,1763260472.287811,,500.0,,213354,,500.0,381.28264713287354,2312,,
0.0,0.01181153953075409,0.006112505681812763,-7.152557373046875e-05,1763260472.961688,0.48187488317489624,,346.73406982421875,213888,0.00017173579544760287,,381.95652413368225,2318,605.0,0.0007997965440154076
,,,,1763260473.3767934,,500.0,,214354,,500.0,382.37162947654724,2322,,
0.001953125,-0.010023608803749084,0.011003851890563965,-0.8396151065826416,1763260473.6295319,0.4741891026496887,,0.005353172775357962,214528,0.00017135177040472627,,382.6243679523468,2324,605.0,0.0020550545305013657
0.0,0.001703999936580658,-0.0002913717180490494,-0.16738486289978027,1763260474.1788263,0.48310765624046326,,0.005922846496105194,215040,0.00017104455037042499,,383.1736624240875,2329,606.0,9.757652878761292e-05
0.0,0.00022111088037490845,-0.0025822268798947334,-0.017362594604492188,1763260475.2539651,0.4639850854873657,,0.003959487657994032,216064,0.00017043011030182242,,384.2488012313843,2339,607.0,0.0006578052416443825
0.0,-0.002104709856212139,0.0030198628082871437,-5.030632019042969e-05,1763260475.6299918,0.5350427627563477,,261.7120666503906,216448,0.00017019969527609646,,384.6248278617859,2343,607.0,0.00025741662830114365
0.0,-0.005770128220319748,0.0006928257644176483,0.0,1763260476.1446085,0.4797106385231018,,680.5496826171875,216960,0.00016989247524179518,,385.13944458961487,2348,608.0,0.00022464245557785034
0.0,0.0023315399885177612,-0.0010561132803559303,-0.03931379318237305,1763260476.7910395,0.48834002017974854,,0.005308287683874369,217600,0.00016950845019891858,,385.78587555885315,2354,608.0,0.0003242967650294304
0.0,-0.003327511250972748,0.004330739378929138,-0.09909522533416748,1763260477.7574668,0.5268790125846863,,0.004514752887189388,218496,0.00016897081513889134,,386.75230288505554,2363,609.0,0.00016354955732822418
0.0,-0.006189476698637009,-0.00656155776232481,0.00812983512878418,1763260480.6147466,0.5559207797050476,,0.00026092567713931203,221184,0.00016735790995880961,,389.6095826625824,2389,612.0,0.0008029928430914879
0.0,-0.00037960708141326904,0.00018069427460432053,0.03065800666809082,1763260481.1157334,0.6002601385116577,,0.00024094225955195725,221696,0.00016705068992450833,,390.1105694770813,2394,612.0,0.00010101776570081711
0.0,-0.011088252067565918,-0.005584755912423134,0.06909823417663574,1763260482.77973,0.5264946818351746,,0.0001822337944759056,223232,0.0001661290298216045,,391.77456617355347,2409,614.0,0.0009406562894582748
0.0,-0.0028540045022964478,0.005047534592449665,-5.960464477539062e-07,1763260484.5859427,0.546488881111145,,338.7251892089844,224896,0.00016513056471012533,,393.580778837204,2426,615.0,0.00043150316923856735
,,,,1763260485.212855,,500.0,,225354,,500.0,394.20769119262695,2430,,
0.0,0.0012487154453992844,-0.005480827763676643,-0.05725264549255371,1763260487.3379273,0.6071621775627136,,0.0002451397886034101,227328,0.00016367126954719424,,396.3327634334564,2449,617.0,0.0008101146668195724
