losses/approx_kl,losses/clipfrac,losses/explained_variance,charts/episodic_length,losses/value_loss,charts/learning_rate,_step,global_step,losses/entropy,losses/policy_loss,_timestamp,charts/episodic_return,_runtime,charts/SPS,losses/old_approx_kl
0.000638679601252079,0.0,0.5643079280853271,,52.242759704589844,0.0002883256529457867,337,19584,0.5407562255859375,0.003350386396050453,1763260170.658601,,80.40663409233093,382.0,8.015241473913193e-05
,,,87.0,,,340,19718,,,1763260171.0340765,87.0,80.78210949897766,,
0.000652506947517395,0.0,0.022356927394866943,,58.571807861328125,0.0002867895527742803,370,22144,0.5779474377632141,0.003103785216808319,1763260176.4042542,,86.15228724479675,388.0,-0.006290324032306671
0.0011889291927218437,0.0,0.8507936000823975,,40.59480667114258,0.00028655913774855435,375,22528,0.5236939191818237,-0.01703602820634842,1763260177.271858,,87.01989102363586,389.0,0.01435087714344263
4.5983120799064636e-05,0.0,0.9051676988601685,,27.594581604003906,0.0002855606726370752,396,24192,0.5185760855674744,-0.002911083400249481,1763260181.0207925,,90.76882553100586,392.0,0.003373997285962105
0.000134933739900589,0.0,0.8142268657684326,,22.285762786865234,0.0002841781824827194,425,26496,0.5329195857048035,-0.002434324473142624,1763260186.2883797,,96.03641271591187,396.0,-0.0020086895674467087
3.630947321653366e-05,0.0,-0.009418845176696777,,37.52119064331055,0.0002834101323969662,441,27776,0.5505494475364685,0.0006976798176765442,1763260189.047821,,98.79585409164429,399.0,0.0011506462469696999
4.510488361120224e-05,0.0,-0.00641179084777832,,36.66471481323242,0.000282872497336939,450,28672,0.5400117635726929,0.00035402923822402954,1763260190.8872595,,100.63529253005981,401.0,-0.0004895860329270363
7.718708366155624e-05,0.0,0.9276505708694458,,9.290200233459473,0.0002817972272168845,471,30464,0.508693516254425,-0.003994084894657135,1763260194.7056162,,104.45364928245544,404.0,0.0032791243866086006
,,,279.0,,,481,31392,,,1763260196.5963683,279.0,106.3444013595581,,
,,,191.0,,,490,32202,,,1763260198.2990832,191.0,108.04711627960205,,
4.0696002542972565e-05,0.0,-0.005352497100830078,,21.903642654418945,0.0002799539070110768,504,33536,0.571223258972168,-0.0006600841879844666,1763260201.2625575,,111.01059055328369,409.0,-3.806408494710922e-05
,,,500.0,,,515,34624,,,1763260203.4585478,500.0,113.20658087730408,,
0.0003623049706220627,0.0,0.03248637914657593,,142.8473663330078,0.0002784946118481457,530,35968,0.5895756483078003,-0.00030994415283203125,1763260206.4592052,,116.20723819732666,413.0,-6.595253944396973e-05
5.533918738365173e-06,0.0,0.1308853030204773,,283.6999206542969,0.0002781105868052691,539,36608,0.5741702318191528,0.0003733336925506592,1763260207.959509,,117.70754194259644,413.0,0.00011049024760723114
2.5641173124313354e-05,0.0,0.012381434440612793,,86.3375473022461,0.0002777265617623925,547,37248,0.6209139227867126,-0.0041001662611961365,1763260209.397932,,119.14596509933472,414.0,0.0011812876909971237
4.7653913497924805e-05,0.0,0.5489456057548523,,9.80550479888916,0.0002773425367195159,555,37888,0.5988055467605591,-0.00010544806718826294,1763260210.8455427,,120.59357571601868,414.0,-0.0010145902633666992
6.258487701416016e-06,0.0,-0.007654428482055664,,155.87152099609375,0.0002771889267023653,559,38144,0.5871979594230652,-0.000544913113117218,1763260211.4004867,,121.14851975440979,414.0,-0.00014355406165122986
,,,299.0,,,568,39007,,,1763260213.1070237,299.0,122.85505676269531,,
0.00020149815827608109,0.0,0.35785776376724243,,130.49908447265625,0.00027526883059181273,595,41344,0.6057279109954834,0.007291972637176514,1763260218.338622,,128.0866551399231,418.0,-0.0021145744249224663
0.0018928581848740578,0.0,0.5469650626182556,,67.37710571289062,0.0002743471704889089,612,42880,0.574576735496521,-0.005941532552242279,1763260221.7253675,,131.47340059280396,419.0,0.016276787966489792
9.741168469190598e-05,0.0,-0.005077838897705078,,359.0044250488281,0.00027427036548033357,614,43008,0.5941896438598633,0.0035503506660461426,1763260222.0425694,,131.79060244560242,419.0,0.0015220986679196358
0.0025574974715709686,0.0,0.2551843523979187,,185.01022338867188,0.0002735791204031557,630,44160,0.5820919871330261,-0.03800000250339508,1763260224.7690594,,134.51709246635437,419.0,0.03771306574344635
0.00010030437260866165,0.0,0.001906752586364746,,309.50799560546875,0.0002733487053774297,636,44544,0.609253466129303,-0.0005228295922279358,1763260225.7059603,,135.4539933204651,419.0,0.00284659955650568
,,,66.0,,,640,44857,,,1763260226.3558512,66.0,136.1038842201233,,
,,,108.0,,,650,45552,,,1763260227.9557595,108.0,137.70379257202148,,
,,,208.0,,,664,46661,,,1763260230.5639215,208.0,140.31195449829102,,
9.834766387939453e-07,0.0,0.0005242824554443359,,9.536556243896484,0.00027119816513732076,684,48128,0.5863991379737854,-0.0001473836600780487,1763260234.1511416,,143.89917469024658,419.0,-0.00024928338825702667
,,,253.0,,,689,48515,,,1763260234.9849687,253.0,144.73300170898438,,
0.00033030007034540176,0.0,-0.004132866859436035,,317.6549072265625,0.00027043011505156755,698,49408,0.5303022861480713,0.0028334148228168488,1763260236.8582752,,146.60630822181702,420.0,-0.0032916320487856865
5.546305328607559e-05,0.0,-0.045795321464538574,,204.39480590820312,0.0002701997000258416,702,49792,0.5364127159118652,-0.0017465054988861084,1763260237.678845,,147.42687797546387,421.0,-0.0001979423686861992
0.0008014459162950516,0.0,0.8078345656394958,,4.309319019317627,0.0002698924799915403,707,50304,0.4905819892883301,0.006078638136386871,1763260238.784985,,148.53301811218262,421.0,-0.00913354940712452
0.008475781418383121,0.044921875,0.7697474360466003,,92.57552337646484,0.0002686635998543352,729,52352,0.5252596139907837,-0.04399656876921654,1763260243.2402768,,152.9883098602295,422.0,0.01894056424498558
0.0006074653938412666,0.0,0.13127362728118896,,450.47021484375,0.0002671274996828288,757,54912,0.505348265171051,-0.0070504676550626755,1763260248.6769047,,158.42493772506714,424.0,0.005203354172408581
0.00011600274592638016,0.0,-0.0005925893783569336,,256.4696350097656,0.0002668202796485275,762,55424,0.5140954256057739,0.0008271988481283188,1763260249.7055614,,159.45359444618225,425.0,0.002146742306649685
1.79903581738472e-05,0.0,-1.8685622215270996,,4.156041145324707,0.0002665130596142262,767,55936,0.5364468097686768,0.0018990002572536469,1763260250.7422123,,160.49024534225464,425.0,-0.0005680685862898827
0.0003180205821990967,0.0,0.005558967590332031,,374.9278259277344,0.0002660522295627743,775,56704,0.5292988419532776,-0.002797357738018036,1763260252.3693666,,162.1173996925354,426.0,-0.00040564313530921936
,,,500.0,,,788,58037,,,1763260255.044582,500.0,164.7926149368286,,
0.0001671193167567253,0.0,0.07934117317199707,,1.6431928873062134,0.00026474654441699386,797,58880,0.46325355768203735,-9.91765409708023e-06,1763260256.961975,,166.71000814437866,428.0,0.0006980737671256065
0.0003726202994585037,0.0,0.001647353172302246,,405.0224304199219,0.0002642089093569666,806,59776,0.4681873321533203,-0.0022204816341400146,1763260258.8056922,,168.55372524261475,428.0,-0.0030535515397787094
