losses/policy_loss,_runtime,losses/entropy,charts/episodic_length,charts/episodic_return,charts/SPS,global_step,losses/old_approx_kl,_step,losses/approx_kl,losses/explained_variance,_timestamp,charts/learning_rate,losses/clipfrac,losses/value_loss
-0.00789535790681839,60.00410294532776,0.5721688866615295,,,350.0,10880,0.0006203539669513702,233,0.00029757060110569,-0.009292244911193848,1763260150.497673,0.0002935483935289085,0.0,74.276123046875
-0.004781261086463928,62.727283239364624,0.628139317035675,,,359.0,12160,0.004524683579802513,251,0.00011561810970306396,0.730437159538269,1763260153.2208533,0.0002927803434431553,0.0,71.14327239990234
,63.785114765167236,,178.0,178.0,,12759,,259,,,1763260154.2786849,,,
0.0070135947316884995,64.83758044242859,0.6004092693328857,,,370.0,13312,0.00017444323748350143,265,0.0009949775412678719,0.7152307033538818,1763260155.3311505,0.0002920890983659774,0.0,87.77114868164062
,65.86838626861572,,223.0,223.0,,13888,,273,,,1763260156.3619564,,,
0.0021857470273971558,66.09951663017273,0.6034586429595947,,,375.0,13952,-0.00021482445299625397,274,0.0020713452249765396,0.01615065336227417,1763260156.5930867,0.0002917050733231008,0.0,54.21881103515625
,68.395663022995,,92.0,92.0,,15153,,292,,,1763260158.889233,,,
0.001427575945854187,73.3840684890747,0.5133203268051147,,,394.0,17536,0.0007998878136277199,321,0.0003287745639681816,0.47396785020828247,1763260163.8776386,0.00028955453308299184,0.0,67.50265502929688
0.0026849769055843353,74.36583471298218,0.5691453218460083,,,394.0,17920,-0.00257685873657465,327,0.00016798730939626694,0.8050254583358765,1763260164.8594048,0.0002893241180572659,0.0,26.456045150756836
0.0027879737317562103,74.98538374900818,0.5922290086746216,,,394.0,18176,-0.002460513263940811,330,5.408376455307007e-05,0.7493476271629333,1763260165.4789538,0.00028917050804011524,0.0,35.18375015258789
,75.35722875595093,,188.0,188.0,,18349,,332,,,1763260165.8507988,,,
0.0007587596774101257,76.42895841598511,0.5485177040100098,,,393.0,18688,-0.0005915630608797073,337,4.2889267206192017e-05,0.6924370527267456,1763260166.9225285,0.00028886328800581396,0.0,35.45554733276367
-0.0003714039921760559,77.09928941726685,0.5570802688598633,,,393.0,18944,-0.0025223474949598312,340,0.00010039843618869781,0.5241732001304626,1763260167.5928595,0.0002887096779886633,0.0,64.81671142578125
-0.010568343102931976,81.87219667434692,0.528184175491333,,,396.0,20992,0.008865520358085632,370,0.0005599483847618103,0.8772482872009277,1763260172.3657668,0.0002874807978514582,0.0,16.22405433654785
-0.004613138735294342,82.70130372047424,0.5539675354957581,,,397.0,21376,0.002427619881927967,375,0.0006302548572421074,0.9667059779167175,1763260173.1948738,0.00028725038282573223,0.0,12.305354118347168
-0.000275932252407074,86.4112594127655,0.536825954914093,,,403.0,23168,0.0008507594466209412,396,3.991648554801941e-06,0.2455993890762329,1763260176.9048295,0.00028617511270567775,0.0,52.285099029541016
0.0070137083530426025,91.84678220748901,0.5528923273086548,,,411.0,25856,1.1026859283447266e-05,425,0.00031371042132377625,0.799697756767273,1763260182.3403523,0.000284562207525596,0.0,21.429840087890625
-0.0007572248578071594,94.56055188179016,0.523074209690094,,,413.0,27136,0.00011339504271745682,441,1.6634352505207062e-05,0.9469853639602661,1763260185.054122,0.0002837941574398428,0.0,39.9995231628418
-0.0003541335463523865,96.1094343662262,0.5152221918106079,,,415.0,27904,-0.0024531930685043335,450,3.242120146751404e-05,0.042822301387786865,1763260186.6030045,0.0002833333273883909,0.0,95.27225494384766
0.0019481033086776733,99.85940909385681,0.5933823585510254,,,420.0,29824,-0.005175392143428326,471,6.746780127286911e-05,0.00686335563659668,1763260190.3529792,0.0002821812522597611,0.0,37.525733947753906
,101.52030348777771,,360.0,360.0,,30692,,481,,,1763260192.0138736,,,
,103.06051802635193,,107.0,107.0,,31372,,490,,,1763260193.554088,,,
