charts/learning_rate,charts/episodic_return,_runtime,_timestamp,losses/explained_variance,global_step,losses/clipfrac,losses/approx_kl,losses/value_loss,losses/entropy,losses/old_approx_kl,losses/policy_loss,charts/episodic_length,charts/SPS,_step
0.000111443929199595,,497.72198367118835,1763260588.6747737,-0.290346622467041,314368,0.0,0.0010805465281009674,0.00021167764498386532,0.5001714825630188,-0.004718823358416557,-0.0007846951484680176,,669.0,3357
0.00011129031918244436,,497.94599080085754,1763260588.8987808,-0.17957854270935059,314624,0.0,5.12218102812767e-05,0.003485898021608591,0.5864643454551697,0.0027864789590239525,-0.001129891723394394,,670.0,3360
0.00010898617620114237,,501.4187138080597,1763260592.3715038,-0.0004976987838745117,318464,0.0,7.376447319984436e-05,500.9588317871094,0.5039387941360474,0.0017923563718795776,-0.0019472595304250717,,673.0,3398
0.00010875576117541641,,501.78564524650574,1763260592.7384353,-0.43671703338623047,318848,0.0,0.0007027098909020424,0.0002852209145203233,0.5625928640365601,-0.0028637731447815895,-0.015407927334308624,,673.0,3401
0.00010844854114111513,,502.2365212440491,1763260593.1893113,-0.10610508918762207,319360,0.0,0.0004164986312389374,0.00024665342061780393,0.5729801058769226,-6.51627779006958e-05,-0.0006007524207234383,,674.0,3406
,500.0,502.25234365463257,1763260593.2051337,,319401,,,,,,,500.0,,3407
0.00010768049105536193,,503.3980641365051,1763260594.3508542,-0.034870266914367676,320640,0.0,0.0001202831044793129,0.004177553579211235,0.536390483379364,-0.0004727756604552269,0.004546938464045525,,675.0,3419
,500.0,504.0320522785187,1763260594.9848423,,321401,,,,,,,500.0,,3426
0.00010714285599533468,,504.2235834598541,1763260595.1763735,0.004541575908660889,321536,0.0,0.00025925412774086,0.00370997516438365,0.5687084794044495,0.0064469072967767715,-0.0030972976237535477,,675.0,3428
0.00010668202594388276,,505.02253770828247,1763260595.9753277,-0.08390486240386963,322304,0.0,0.000134345144033432,0.00039140396984294057,0.5090374946594238,0.0022694189101457596,-0.0014591068029403687,,676.0,3435
0.00010576036584097892,,506.6368827819824,1763260597.5896728,-0.4473838806152344,323840,0.0,0.0005106013268232346,0.0003092801198363304,0.5220958590507507,0.006984429433941841,-0.00025534862652421,,677.0,3450
,500.0,506.6705460548401,1763260597.623336,,323901,,,,,,,500.0,,3451
0.00010506912803975865,,507.8459484577179,1763260598.7987385,-0.00019800662994384766,324992,0.0,3.9742328226566315e-05,789.8685913085938,0.5267234444618225,0.00013636332005262375,-0.0016665048897266388,,677.0,3462
,500.0,509.23390674591064,1763260600.1866968,,326401,,,,,,,500.0,,3476
0.00010399385791970417,,509.57993364334106,1763260600.5327237,-0.06987357139587402,326784,0.0,0.00010373257100582123,0.000176067347638309,0.5390452146530151,-0.0021454300731420517,-0.003850989043712616,,679.0,3479
0.00010284178279107437,,511.585467338562,1763260602.5382574,0.06699967384338379,328704,0.0,0.0005131866782903671,0.0004944214015267789,0.48408186435699463,0.002183055505156517,-0.006423667073249817,,680.0,3498
0.00010253456275677308,,512.090633392334,1763260603.0434234,0.008783400058746338,329216,0.0,0.0007463525980710983,0.0004722006560768932,0.5909519791603088,-0.0005336888134479523,0.006465364247560501,,680.0,3503
0.00010192012268817052,,513.1052541732788,1763260604.0580442,-0.04100537300109863,330240,0.0,0.0007204422727227211,0.0003848280175589025,0.5844177007675171,-0.009151238016784191,-0.0025573596358299255,,681.0,3513
,500.0,514.2224702835083,1763260605.1752603,,331401,,,,,,,500.0,,3525
0.00010046082752523944,,515.5160210132599,1763260606.468811,-0.06405127048492432,332672,0.0,0.001180894672870636,0.0005229087546467781,0.5563911199569702,0.012984910979866982,-0.008541278541088104,,683.0,3537
9.946236241376027e-05,,517.1912438869476,1763260608.144034,-0.49027180671691895,334336,0.0,0.0005742739886045456,0.0017386768013238907,0.4565978944301605,-0.0002867747098207474,-0.0021764151751995087,,684.0,3554
9.938555740518495e-05,,517.302223443985,1763260608.2550135,-0.3273475170135498,334464,0.0,0.00045543257147073746,0.0005752597353421152,0.5528064370155334,-0.0046079764142632484,0.006074754521250725,,684.0,3555
9.815668454393744e-05,,519.3382387161255,1763260610.2910287,-0.00030219554901123047,336512,0.0,8.425954729318619e-05,594.4249267578125,0.5049154758453369,0.0021071182563900948,0.00048430822789669037,,685.0,3576
9.80030745267868e-05,,519.5709185600281,1763260610.5237086,-0.24738085269927979,336768,0.0,5.595199763774872e-05,0.0005179527215659618,0.5306509733200073,0.00022473745048046112,0.0011710375547409058,,685.0,3578
9.784946450963616e-05,,519.844254732132,1763260610.7970448,-0.0006091594696044922,337024,0.0,0.00022738240659236908,427.4981689453125,0.5258066654205322,0.0005493015050888062,-0.0035901032388210297,,685.0,3581
9.738863445818424e-05,,520.6163189411163,1763260611.569109,-1.2849290370941162,337792,0.0,0.0013415971770882607,0.0009489365620538592,0.5556555986404419,0.00032236892729997635,-0.0034323688596487045,,686.0,3589
9.592933929525316e-05,,522.9353952407837,1763260613.8881853,0.34005826711654663,340224,0.0,0.00039455294609069824,0.0037641676608473063,0.5879466533660889,-0.0038541704416275024,0.007193731144070625,,688.0,3613
9.539170423522592e-05,,523.8318922519684,1763260614.7846823,6.306171417236328e-05,341120,0.0,0.0004954710602760315,687.0435180664062,0.5495808720588684,-0.004955502226948738,0.012794891372323036,,688.0,3622
,500.0,525.6795732975006,1763260616.6323633,,343020,,,,,,,500.0,,3640
9.331796900369227e-05,,527.3247926235199,1763260618.2775826,-0.0003750324249267578,344576,0.0,0.00021174177527427673,266.61614990234375,0.49619805812835693,-0.004012349992990494,-0.00283605232834816,,690.0,3656
9.247312118532136e-05,,528.7992973327637,1763260619.7520874,-0.4319894313812256,345984,0.0,0.0002790754660964012,0.0007349529769271612,0.4556874632835388,-0.00014366302639245987,0.003062143921852112,,691.0,3669
9.18586811167188e-05,,529.8658447265625,1763260620.8186347,0.02474755048751831,347008,0.0,0.0011121118441224098,0.0003570341214071959,0.5412225723266602,-0.006960113532841206,-0.0017110928893089294,,692.0,3679
