losses/value_loss,charts/episodic_return,losses/entropy,losses/approx_kl,charts/learning_rate,_runtime,_timestamp,global_step,losses/clipfrac,charts/episodic_length,charts/SPS,losses/policy_loss,losses/old_approx_kl,losses/explained_variance,_step
274.41363525390625,,0.4696232080459595,0.0017116023227572441,0.00028072195709683,107.07089424133301,1763260198.0760822,32256,0.0,,410.0,0.007062740623950958,-0.017304539680480957,0.11304980516433716,481
32.76511001586914,,0.5395801663398743,0.00031051039695739746,0.0002802611270453781,108.78637957572937,1763260199.7915676,33024,0.0,,410.0,-0.004208095371723175,0.0037032607942819595,0.8571234941482544,490
,107.0,,,,110.83023047447205,1763260201.8354185,33877,,107.0,,,,,504
,133.0,,,,112.44076704978943,1763260203.445955,34485,,133.0,,,,,515
102.54995727539062,,0.4565688967704773,0.00041875895112752914,0.000278801831882447,114.83317589759827,1763260205.838364,35456,0.0,,410.0,-0.002566477283835411,-2.0985491573810577e-05,0.7826958894729614,530
,235.0,,,,116.13767194747925,1763260207.14286,36081,,235.0,,,,,539
109.04781341552734,,0.49315378069877625,0.0004034899175167084,0.0002781105868052691,117.55883979797363,1763260208.5640278,36608,0.0,,410.0,0.011098306626081467,-0.009819220751523972,0.44974321126937866,547
,193.0,,,,118.99243211746216,1763260209.99762,37287,,193.0,,,,,555
22.032278060913086,,0.5181208848953247,0.005684499628841877,0.00027741934172809124,120.02478909492493,1763260211.029977,37760,0.013671875,,412.0,0.010337010025978088,0.03682444244623184,0.5991427898406982,559
14.926733016967773,,0.5296288132667542,8.767936378717422e-05,0.00027703531668521464,121.4914779663086,1763260212.496666,38400,0.0,,412.0,-0.0035777613520622253,0.0031007016077637672,0.35838186740875244,568
,141.0,,,,126.37233853340149,1763260217.3775265,40591,,141.0,,,,,595
15.07795238494873,,0.6205925941467285,1.2405216693878174e-06,0.00027503841556608677,129.1406512260437,1763260220.1458392,41728,0.0,,414.0,-0.00041284412145614624,0.00022395886480808258,-0.745693564414978,612
,415.0,,,,129.46912264823914,1763260220.4743106,41972,,415.0,,,,,614
,181.0,,,,132.16502785682678,1763260223.1702158,43031,,181.0,,,,,630
,169.0,,,,133.13596105575562,1763260224.141149,43436,,169.0,,,,,636
72.98565673828125,,0.5783225297927856,1.6116537153720856e-05,0.00027380953542888165,133.97547435760498,1763260224.9806623,43776,0.0,,414.0,-0.002070244401693344,-0.0009889760985970497,-1.2515883445739746,640
17.193706512451172,,0.556687593460083,0.002628680318593979,0.0002733487053774297,135.74816179275513,1763260226.7533498,44544,0.0,,415.0,-0.029656298458576202,0.02749684266746044,0.9188671708106995,650
80.55278015136719,,0.561707615852356,0.003568436950445175,0.0002725038502831012,138.82128047943115,1763260229.8264685,45952,0.0,,416.0,-0.01792221888899803,-0.03121623396873474,-3.0217947959899902,664
10.010013580322266,,0.5343185067176819,0.0002724872902035713,0.0002713517751544714,143.04571294784546,1763260234.050901,47872,0.0,,417.0,0.004009416326880455,-0.004293587990105152,0.5460631251335144,684
,303.0,,,,143.95719385147095,1763260234.9623818,48325,,303.0,,,,,689
7.317751884460449,,0.5776791572570801,0.000571967102587223,0.0002705069200601429,146.0343177318573,1763260237.0395057,49280,0.0,,419.0,-0.010041918605566025,-0.005676484666764736,-0.11124825477600098,698
6.419708251953125,,0.5218465328216553,0.00039594806730747223,0.0002702765050344169,146.85173654556274,1763260237.8569245,49664,0.0,,419.0,-0.0015590675175189972,-0.001698710024356842,-0.19361388683319092,702
6.121225357055664,,0.5631988048553467,0.00022479239851236343,0.00026996928500011563,147.95940780639648,1763260238.9645958,50176,0.0,,419.0,-0.0031350962817668915,-0.0015569599345326424,-0.11506009101867676,707
,458.0,,,,152.3382706642151,1763260243.3434587,52287,,458.0,,,,,729
2.081637382507324,,0.5636153221130371,0.00012892205268144608,0.00026697388966567814,158.40760946273804,1763260249.4127975,55168,0.0,,424.0,-0.002753816545009613,-0.0034035583958029747,0.005393087863922119,757
1.1313163042068481,,0.48948919773101807,0.00011089816689491272,0.00026666666963137686,159.46514439582825,1763260250.4703324,55680,0.0,,424.0,-0.0005466118454933167,0.00333324633538723,0.5014392137527466,762
1.3695874214172363,,0.5185531377792358,1.5968456864356995e-05,0.0002663594495970756,160.49008917808533,1763260251.4952772,56192,0.0,,425.0,-0.0011144205927848816,-0.0004994310438632965,0.04462510347366333,767
1.5308849811553955,,0.5419109463691711,5.239620804786682e-06,0.00026589861954562366,162.11011171340942,1763260253.1152997,56960,0.0,,426.0,0.0005708001554012299,0.0004122648388147354,0.019115924835205078,775
,500.0,,,,164.77312111854553,1763260255.778309,58287,,500.0,,,,,788
0.5707488059997559,,0.5810294151306152,0.0009501185268163681,0.0002645161293912679,166.84241557121277,1763260257.8476036,59264,0.0,,428.0,0.010163292288780212,0.0033587496727705,0.02330416440963745,797
0.3875686228275299,,0.5443264842033386,0.0006710411980748177,0.00026397849433124065,168.63666772842407,1763260259.6418557,60160,0.0,,429.0,-0.009989134967327118,0.009317002259194851,0.2360931634902954,806
0.3031277060508728,,0.4999813139438629,6.808806210756302e-05,0.0002634408592712134,170.52531790733337,1763260261.530506,61056,0.0,,429.0,0.00013338029384613037,-0.0008443193510174751,0.03673744201660156,815
871.1778564453125,,0.5714396834373474,0.0075573064386844635,0.00026059907395392656,180.35809588432312,1763260271.3632839,65792,0.033203125,,433.0,-0.01840628869831562,0.03851018100976944,0.004631519317626953,863
,232.0,,,,181.76873064041138,1763260272.7739186,66491,,232.0,,,,,872
0.0024160207249224186,,0.5569817423820496,0.0048024533316493034,0.0002599078288767487,182.7466480731964,1763260273.751836,66944,0.0078125,,433.0,0.010239053517580032,0.008359135128557682,0.09266775846481323,876
,500.0,,,,191.73096585273743,1763260282.7361538,71204,,500.0,,,,,922
0.0007599520031362772,,0.5686728358268738,0.002380446530878544,0.00025683562853373587,193.5545871257782,1763260284.559775,72064,0.00390625,,436.0,-0.0005231089890003204,-0.00393939483910799,-0.005835890769958496,930
0.0005148591008037329,,0.5066803097724915,0.0030457759276032448,0.00025629799347370863,195.4192750453949,1763260286.424463,72960,0.009765625,,436.0,0.01885737106204033,-0.016436483711004257,-0.23970162868499756,938
409.1552734375,,0.561821460723877,0.00015434995293617249,0.000256144383456558,195.98859310150146,1763260286.993781,73216,0.0,,436.0,0.0006377790123224258,0.0026001743972301483,0.00018072128295898438,941
0.004057659767568111,,0.5578410625457764,0.0012418832629919052,0.00025606757844798267,196.24641132354736,1763260287.2515993,73344,0.0,,437.0,-0.000714227557182312,-0.02153591997921467,0.2074742317199707,942
0.00042179872980341315,,0.5427910685539246,1.346692442893982e-05,0.00025568355340510607,197.48976063728333,1763260288.4949486,73984,0.0,,437.0,0.0009471438825130463,-0.0026071034371852875,-0.014165759086608887,948
0.00015380636614281684,,0.5213488340377808,0.0003841519355773926,0.00025407064822502434,200.79242753982544,1763260291.7976155,76672,0.0,,444.0,-0.00034214556217193604,-0.0019661076366901398,0.011295557022094727,974
