charts/SPS,losses/clipfrac,losses/old_approx_kl,charts/episodic_length,losses/explained_variance,global_step,_runtime,losses/entropy,losses/policy_loss,charts/episodic_return,_step,losses/approx_kl,_timestamp,losses/value_loss,charts/learning_rate
413.0,0.0,0.0003158971667289734,,0.5088112354278564,15104,65.95863676071167,0.6442763209342957,-0.0014240406453609467,,265,5.269981920719147e-05,1763260155.9683397,48.7471923828125,0.0002910138282459229
417.0,0.0,0.007587684318423271,,0.12275493144989014,15744,67.14726996421814,0.5339624881744385,-0.006059039384126663,,273,0.0004354845732450485,1763260157.156973,117.7515869140625,0.0002906298032030463
,,,154.0,,15804,67.18940091133118,,,154.0,274,,1763260157.1991038,,
,,,246.0,,17202,69.60476899147034,,,246.0,292,,1763260159.614472,,
,,,186.0,,19547,74.4911241531372,,,186.0,321,,1763260164.500827,,
,,,317.0,,20044,75.66927552223206,,,317.0,327,,1763260165.6789784,,
431.0,0.0,0.0035066381096839905,,0.8425651788711548,20224,76.30484318733215,0.5417971611022949,-0.0037230532616376877,,330,6.461702287197113e-05,1763260166.314546,16.98812484741211,0.0002879416279029101
430.0,0.0,0.004611137323081493,,0.18275529146194458,20352,76.65930652618408,0.5884010791778564,-0.0014522373676300049,,332,0.00023960601538419724,1763260166.6690094,81.00457763671875,0.0002878648228943348
,,,66.0,,20715,77.41205549240112,,,66.0,337,,1763260167.4217584,,
428.0,0.0,0.009981258772313595,,0.033889055252075195,20864,78.06117868423462,0.5407308340072632,-0.007844991981983185,,340,0.0002735918387770653,1763260168.0708816,141.48512268066406,0.0002875576028600335
432.0,0.0,0.00044913962483406067,,0.003226041793823242,23040,82.69071173667908,0.5829803347587585,-0.000520072877407074,,370,1.5867874026298523e-05,1763260172.7004147,55.19001770019531,0.00028625191771425307
433.0,0.0,-0.00027964450418949127,,0.9378859400749207,23424,83.50063920021057,0.5944184064865112,0.001194056123495102,,375,0.00013901479542255402,1763260173.5103421,10.889925003051758,0.0002860215026885271
,,,104.0,,24717,86.21593451499939,,,104.0,396,,1763260176.2256374,,
441.0,0.0,0.005659453570842743,,0.8691584467887878,27136,90.8593213558197,0.5748856663703918,-0.006120637059211731,,425,0.00024053826928138733,1763260180.8690243,50.516387939453125,0.0002837941574398428
444.0,0.0,-0.0030174357816576958,,0.5836617946624756,28544,93.64051747322083,0.5595728158950806,0.0036597922444343567,,441,0.00022870022803544998,1763260183.6502204,31.082368850708008,0.0002829493023455143
446.0,0.00390625,-0.0033871615305542946,,0.8810769319534302,29312,95.09045219421387,0.6055822372436523,6.226450204849243e-05,,450,0.001090765930712223,1763260185.100155,20.436527252197266,0.0002824884722940624
449.0,0.0,-0.006233597174286842,,0.7102664709091187,31104,98.5449571609497,0.5641371607780457,-0.007147263735532761,,471,0.0014986712485551834,1763260188.55466,46.104820251464844,0.0002814132021740079
,,,432.0,,31978,100.04309248924255,,,432.0,481,,1763260190.0527954,,
