losses/clipfrac,losses/old_approx_kl,losses/approx_kl,_runtime,losses/entropy,charts/learning_rate,_timestamp,charts/SPS,charts/episodic_length,losses/explained_variance,_step,losses/policy_loss,charts/episodic_return,global_step,losses/value_loss
0.0,-0.005248650908470154,0.00039518438279628754,516.6485030651093,0.5307941436767578,9.585253428667784e-05,1763260607.601169,697.0,,-0.11628329753875732,3578,-0.00860129576176405,,340352,0.00020377351029310375
0.0,0.0005314359441399574,0.00011241156607866287,516.9179766178131,0.5292136669158936,9.56989242695272e-05,1763260607.8706427,697.0,,-0.11755061149597168,3581,0.0014444142580032349,,340608,0.0031122155487537384
,,,517.6760122776031,,,1763260608.6286783,,500.0,,3589,,500.0,341406,
,,,520.1937947273254,,,1763260611.1464608,,500.0,,3613,,500.0,343906,
0.0,9.917840361595154e-05,6.870925426483154e-05,521.189284324646,0.5563673377037048,9.316435898654163e-05,1763260612.1419504,699.0,,-0.11320173740386963,3622,-0.005258537828922272,,344832,0.0002814916952047497
0.0,0.0020451489835977554,0.00015422143042087555,523.0628130435944,0.5457039475440979,9.208909614244476e-05,1763260614.015479,700.0,,-0.6335872411727905,3640,0.004215322434902191,,346624,0.0030139493755996227
0.0,0.003047926351428032,6.699562072753906e-05,524.7579166889191,0.5916283130645752,9.10906310309656e-05,1763260615.7105827,701.0,,0.35654181241989136,3656,-0.0022718459367752075,,348288,0.00012965657515451312
0.0,-0.0009734248742461205,5.742069333791733e-05,526.1159491539001,0.5705604553222656,9.03225809452124e-05,1763260617.0686152,702.0,,-0.10651171207427979,3669,-0.00014983117580413818,,349568,0.0031396448612213135
0.0,-6.795953959226608e-05,7.008668035268784e-05,527.2015206813812,0.5768048167228699,8.970814087660983e-05,1763260618.1541867,702.0,,0.07327026128768921,3679,0.00036298856139183044,,350592,0.0031111405696719885
0.0,0.0012218449264764786,2.5704503059387207e-05,527.6248242855072,0.5566319823265076,8.947772585088387e-05,1763260618.5774903,703.0,,6.198883056640625e-06,3683,0.0017100721597671509,,350976,303.60260009765625
0.0,-0.0033250339329242706,3.483518958091736e-05,527.7471811771393,0.515260636806488,8.940092084230855e-05,1763260618.6998472,703.0,,-0.24179816246032715,3684,-0.002755500376224518,,351104,0.00291862478479743
,,,530.6144700050354,,,1763260621.567136,,500.0,,3711,,500.0,353906,
0.0,0.004189888946712017,0.00016585085541009903,530.841326713562,0.5625118017196655,8.763440564507619e-05,1763260621.7939928,704.0,,0.06641465425491333,3713,-0.004553996026515961,,354048,0.003286305582150817
0.0,5.9295445680618286e-05,3.693997859954834e-05,531.0941157341003,0.5297789573669434,8.748079562792554e-05,1763260622.0467818,704.0,,-0.22122585773468018,3715,-0.0009173452854156494,,354304,0.00023589647025801241
,,,532.8111765384674,,,1763260623.7638426,,500.0,,3731,,500.0,355906,
0.0,-0.0036874236539006233,0.00036162976175546646,533.1802582740784,0.5288280248641968,8.632872777525336e-05,1763260624.1329243,705.0,,-0.02430248260498047,3734,0.0025195758789777756,,356224,0.0004928548005409539
0.0,0.0009097838774323463,9.852461516857147e-06,535.3999164104462,0.5654758214950562,8.509984763804823e-05,1763260626.3525825,706.0,,3.892183303833008e-05,3755,-0.00021556764841079712,,358272,557.8253784179688
0.0,-0.0030303848907351494,0.00019434746354818344,537.661878824234,0.5283876061439514,8.387096750084311e-05,1763260628.6145449,707.0,,-2.8967857360839844e-05,3775,0.0018386654555797577,,360320,446.64434814453125
,,,538.1057579517365,,,1763260629.058424,,500.0,,3779,,500.0,360745,
0.0,0.00047046225517988205,1.8263235688209534e-06,540.5832185745239,0.5680356621742249,8.210445230361074e-05,1763260631.5358846,709.0,,-1.8596649169921875e-05,3804,0.0003741001710295677,,363264,590.1152954101562
0.0,0.002854694612324238,0.00015287380665540695,540.9156677722931,0.5137702226638794,8.187403727788478e-05,1763260631.8683338,709.0,,0.24654632806777954,3807,-0.004018768668174744,,363648,0.0007045877282507718
0.0,-0.0003225300461053848,2.907589077949524e-06,545.0543487071991,0.5482048988342285,7.949308928800747e-05,1763260636.0070148,711.0,,0.006423592567443848,3847,0.0003294479101896286,,367616,0.00037541912752203643
0.0,-0.0005926862359046936,1.232139766216278e-05,548.384922504425,0.5817825794219971,7.757296407362446e-05,1763260639.3375885,713.0,,-0.015577197074890137,3879,-0.0008749868720769882,,370816,0.0004955740296281874
,,,548.7216048240662,,,1763260639.6742709,,108.0,,3883,,108.0,371141,
0.0,-0.00012173783034086227,7.401220500469208e-06,548.8478403091431,0.5170480012893677,7.73425490478985e-05,1763260639.8005064,713.0,,0.0009466409683227539,3884,0.00024594739079475403,,371200,668.781005859375
0.0,-0.001359226182103157,6.159767508506775e-05,549.222092628479,0.5001959204673767,7.711213402217254e-05,1763260640.1747587,713.0,,-0.13413584232330322,3887,-0.002389581874012947,,371584,0.0007370244129560888
0.0,-0.004447394981980324,0.00047472864389419556,549.5393064022064,0.6167032718658447,7.69585240050219e-05,1763260640.4919724,713.0,,-1.55173921585083,3891,-0.015691891312599182,,371840,0.004295988939702511
0.0,0.0007152482867240906,9.631924331188202e-05,550.2940831184387,0.6269415616989136,7.649769395356998e-05,1763260641.2467492,714.0,,0.0741921067237854,3898,-0.0026888661086559296,,372608,0.0004347812500782311
0.0,0.000903550535440445,0.00021154247224330902,551.775307893753,0.6107010841369629,7.565283885924146e-05,1763260642.727974,714.0,,-0.09759020805358887,3912,-0.005422331392765045,,374016,0.0004084075044374913
0.0,2.1187588572502136e-06,5.4710544645786285e-05,552.0769879817963,0.5816663503646851,7.549922884209082e-05,1763260643.029654,714.0,,4.029273986816406e-05,3915,0.002191111445426941,,374272,476.491455078125
0.0,-0.0008068401366472244,2.734549343585968e-05,553.4341251850128,0.5662506818771362,7.473118603229523e-05,1763260644.3867912,715.0,,-8.940696716308594e-06,3928,-9.272992610931396e-05,,375552,575.474365234375
0.0,-0.0005519222468137741,4.186294972896576e-05,555.1727845668793,0.5440334677696228,7.373272092081606e-05,1763260646.1254506,716.0,,-2.347109079360962,3944,0.0011497437953948975,,377216,0.0027724397368729115
0.0,-0.0010601887479424477,0.00010557565838098526,555.295449256897,0.6303807497024536,7.365591591224074e-05,1763260646.2481153,716.0,,-0.044727444648742676,3945,-0.0033817552030086517,,377344,0.0004518072819337249
0.0,0.000639711506664753,5.382578819990158e-05,555.4191327095032,0.6120113134384155,7.357911090366542e-05,1763260646.3717988,716.0,,0.036736905574798584,3946,-0.0028799250721931458,,377472,0.00029150955379009247
0.0,0.004227987490594387,7.74608924984932e-05,556.2619788646698,0.6222985982894897,7.31182808522135e-05,1763260647.214645,716.0,,-0.020138859748840332,3954,-0.00428985059261322,,378240,0.0027903784066438675
0.0,-0.00018532108515501022,1.246575266122818e-05,557.2407953739166,0.48662835359573364,7.258064579218626e-05,1763260648.1934614,717.0,,-0.00011241436004638672,3963,-0.0005944333970546722,,379136,159.74339294433594
0.0,-0.0029338225722312927,0.0001293569803237915,557.9309704303741,0.5856342315673828,7.219662074930966e-05,1763260648.8836365,717.0,,-0.03716576099395752,3969,-0.0028900224715471268,,379776,0.0005505720619112253
,,,559.2158074378967,,,1763260650.1684735,,500.0,,3981,,500.0,381018,
0.0,-0.0003758510574698448,2.3524276912212372e-05,559.4634919166565,0.5701354742050171,7.135176565498114e-05,1763260650.416158,717.0,,-3.0319485664367676,3983,-0.0006612129509449005,,381184,0.0025402745231986046
0.0,-7.09332525730133e-05,1.6884878277778625e-05,561.0291101932526,0.5584577918052673,7.050691056065261e-05,1763260651.9817762,718.0,,-7.62939453125e-05,3997,0.0012914873659610748,,382592,504.2974548339844
0.0,0.00020759180188179016,4.532374441623688e-05,563.4862675666809,0.5774148106575012,6.912442040629685e-05,1763260654.4389336,719.0,,-0.09466660022735596,4020,0.00050385482609272,,384896,0.00035815255250781775
0.0,-0.003247961401939392,0.00018939003348350525,567.5761258602142,0.5940182209014893,6.689708243357018e-05,1763260658.528792,720.0,,-1.0832011699676514,4059,-0.006627913564443588,,388608,0.0009854038944467902
0.0,0.006784611381590366,0.000284009613096714,570.6436607837677,0.5274019241333008,6.520737224491313e-05,1763260661.5963268,721.0,,-0.23980391025543213,4087,-0.0046838149428367615,,391424,0.002412681235000491
0.0,0.0014292364940047264,4.191789776086807e-05,571.0494952201843,0.5607883930206299,6.497695721918717e-05,1763260662.0021613,722.0,,-0.00014448165893554688,4091,-0.0023138076066970825,,391808,0.0005302763311192393
