_timestamp,charts/episodic_length,charts/SPS,losses/clipfrac,losses/approx_kl,losses/explained_variance,charts/episodic_return,losses/entropy,losses/value_loss,losses/policy_loss,_runtime,losses/old_approx_kl,_step,global_step,charts/learning_rate
1763260541.7560737,,633.0,0.0,0.0006831297650933266,-0.1872260570526123,,0.5612537860870361,0.0036422410048544407,0.0033861584961414337,450.92729663848877,0.005434728227555752,2843,267392,0.00013963133096694946
1763260543.2461028,,634.0,0.0,0.0004126075655221939,5.692243576049805e-05,,0.46779072284698486,428.76068115234375,-0.0021045878529548645,452.41732573509216,0.0019475221633911133,2857,268800,0.00013878647587262094
1763260545.9267533,,636.0,0.0,0.0002401275560259819,-0.05022752285003662,,0.564975917339325,0.003323781304061413,7.873773574829102e-05,455.09797620773315,-0.0018119560554623604,2882,271360,0.00013725039025302976
1763260546.758191,500.0,,,,,500.0,,,,455.92941403388977,,2890,272213,
1763260548.9609027,,638.0,0.0,0.0009199641644954681,-5.614757537841797e-05,,0.49934983253479004,227.30218505859375,0.004204690456390381,458.1321256160736,0.007461562752723694,2911,274304,0.0001354838750557974
1763260551.5087245,,640.0,0.0,0.0025395099073648453,-1.9073486328125e-06,,0.5169482827186584,427.10986328125,-0.007072176784276962,460.6799473762512,-0.025965314358472824,2935,276736,0.0001340245798928663
1763260552.9954698,500.0,,,,,500.0,,,,462.16669273376465,,2949,278213,
1763260554.1705778,,642.0,0.0,0.0001743864268064499,1.2934207916259766e-05,,0.5014079809188843,495.90655517578125,0.002138093113899231,463.34180068969727,-0.0026187673211097717,2960,279296,0.0001324884797213599
1763260555.7627318,,643.0,0.0,0.0008029760792851448,-4.291534423828125e-05,,0.44252505898475647,86.2013168334961,-0.004806945100426674,464.93395471572876,-0.003721131943166256,2975,280832,0.00013156681961845607
1763260557.258718,,644.0,0.0,0.0004148585721850395,-5.221366882324219e-05,,0.5555935502052307,746.8004760742188,-0.0007531270384788513,466.4299409389496,0.007298554293811321,2989,282240,0.00013072196452412754
1763260558.1085067,416.0,,,,,416.0,,,,467.27972960472107,,2997,283129,
1763260559.539485,,646.0,0.0,0.003380393609404564,0.9463051557540894,,0.5052458047866821,0.00013308152847457677,-0.016553537920117378,468.7107079029083,-0.026119526475667953,3011,284416,0.0001294162793783471
1763260563.767011,500.0,,,,,500.0,,,,472.9382338523865,,3051,288420,
1763260564.0191674,,649.0,0.0,0.0017428640276193619,-0.06547915935516357,,0.5345708131790161,0.004713192582130432,0.0068655917420983315,473.19039034843445,-0.00417637825012207,3053,288640,0.00012688171409536153
1763260565.5017395,,650.0,0.0,3.824848681688309e-05,0.034222185611724854,,0.48521888256073,0.004667066037654877,-2.2321008145809174e-05,474.6729624271393,-0.0004782257601618767,3066,290048,0.00012603687355294824
1763260565.888938,,650.0,0.0,2.3606233298778534e-05,-1.5497207641601562e-05,,0.5223197937011719,453.4256591796875,-3.246963024139404e-05,475.06016087532043,0.0008137421682476997,3070,290432,0.00012580645852722228
1763260567.3091207,,651.0,0.0,3.099162131547928e-05,0.019847571849822998,,0.5597838163375854,0.00013503771333489567,0.0015027746558189392,476.480343580246,-0.0014116531237959862,3083,291840,0.00012496160343289375
1763260568.897485,,652.0,0.0,0.0003275414928793907,0.031305909156799316,,0.5013142824172974,0.00016525363025721163,-0.006898682564496994,478.06870794296265,0.01011077594012022,3098,293376,0.0001240399433299899
1763260569.4051676,,653.0,0.0,1.7988495528697968e-05,-0.0068874359130859375,,0.544287919998169,0.00012602352944668382,-9.325891733169556e-05,478.57639050483704,0.002766418270766735,3103,293888,0.00012373272329568863
1763260571.8419826,,654.0,0.0,0.0017805881798267365,-0.011699199676513672,,0.515749454498291,0.00018718413775786757,-0.00899915024638176,481.0132055282593,0.016875555738806725,3127,296320,0.00012227342813275754
1763260571.9862523,,655.0,0.0,0.0004049045965075493,-4.601478576660156e-05,,0.5405619144439697,191.61378479003906,0.0004118680953979492,481.157475233078,-0.002490323968231678,3129,296448,0.00012219662312418222
1763260573.278267,,656.0,0.0,0.0008028959855437279,0.003398597240447998,,0.50968337059021,0.00022341811563819647,-0.0060462430119514465,482.44948983192444,0.00038501713424921036,3141,297728,0.00012142857303842902
1763260573.443443,500.0,,,,,500.0,,,,482.6146659851074,,3143,297920,
1763260573.8178833,,656.0,0.0,0.001024874858558178,0.0028934478759765625,,0.5168407559394836,0.00028234737692400813,-0.0028396975249052048,482.9891061782837,-0.011877174489200115,3146,298240,0.00012112135300412774
1763260575.3093798,,657.0,0.0,0.0002482505515217781,0.01004183292388916,,0.5378590822219849,0.00015015789540484548,-0.008522771298885345,484.48060274124146,-0.00405705813318491,3161,299776,0.0001201996929012239
1763260576.0795937,,658.0,0.0,4.661921411752701e-05,0.0007783174514770508,,0.5714965462684631,0.0009029112989082932,-0.0001247171312570572,485.2508165836334,-0.0005091382190585136,3170,300672,0.00011966205784119666
1763260577.2483118,,659.0,0.0,7.270928472280502e-05,-4.410743713378906e-06,,0.5552911758422852,309.80841064453125,0.0038706138730049133,486.41953468322754,-0.0014774436131119728,3183,301952,0.00011889400775544345
1763260577.6961844,,660.0,0.0,1.9819475710391998e-05,9.5367431640625e-07,,0.5598997473716736,437.4192810058594,0.0023308098316192627,486.86740732192993,0.0004008086398243904,3188,302464,0.00011858678772114217
1763260580.335499,500.0,,,,,500.0,,,,489.5067219734192,,3217,305420,
1763260581.126547,,663.0,0.0,0.00010086782276630402,0.0011427998542785645,,0.5950763821601868,0.00018393278878647834,0.0011423751711845398,490.29777002334595,0.00279184989631176,3224,306304,0.00011628264473984018
