_step,losses/clipfrac,losses/value_loss,global_step,charts/learning_rate,losses/policy_loss,losses/old_approx_kl,charts/SPS,losses/explained_variance,_runtime,_timestamp,charts/episodic_length,losses/approx_kl,charts/episodic_return,losses/entropy
157,0.048828125,86.22019958496094,7680,0.0002954685187432915,0.0494084507226944,0.009975705295801163,359.0,0.5720117092132568,49.867446184158325,1763260140.8200781,,0.006284516304731369,,0.5319008827209473
172,0.0,123.03142547607422,8832,0.0002947772736661136,-0.0015420708805322647,-0.0035846373066306114,370.0,0.6032454967498779,52.29500079154968,1763260143.2476327,,0.0008823750540614128,,0.6031630039215088
195,0.0,112.74026489257812,10624,0.00029370200354605913,-0.02484157867729664,0.012699817307293415,386.0,0.5174967646598816,55.97932410240173,1763260146.931956,,0.002243652008473873,,0.5646620392799377
203,0.0,47.768218994140625,11136,0.00029339478351175785,0.013494178652763367,-0.007821501232683659,389.0,0.4592161178588867,57.07736659049988,1763260148.0299985,,0.0007479144260287285,,0.57909095287323
213,0.0,81.06964111328125,11904,0.00029293395346030593,-0.022653453052043915,0.013430933468043804,396.0,0.788608968257904,58.535059452056885,1763260149.4876914,,0.0013588452711701393,,0.5980426073074341
217,0.0,48.65507888793945,12160,0.0002927803434431553,0.0015618875622749329,-0.005228033289313316,397.0,0.5165764093399048,59.06940150260925,1763260150.0220335,,0.0007909219712018967,,0.5651490688323975
228,0.0078125,46.33079528808594,12928,0.00029231951339170337,0.010397177189588547,0.021392781287431717,402.0,0.5709422826766968,60.57932758331299,1763260151.5319595,,0.004406658001244068,,0.593573808670044
233,0.0,55.24370193481445,13312,0.0002920890983659774,-0.00304509699344635,-0.0035732686519622803,404.0,0.7920835018157959,61.3608078956604,1763260152.3134398,,0.00022533535957336426,,0.6165095567703247
251,0.0,98.52955627441406,14720,0.0002912442432716489,-0.00127374567091465,0.003795580007135868,415.0,0.33246517181396484,63.93363165855408,1763260154.8862636,,0.00014668796211481094,,0.5846869945526123
259,0.0,94.84568786621094,15360,0.0002908602182287723,-0.001366741955280304,0.01113973744213581,419.0,0.0007164478302001953,65.06041097640991,1763260156.013043,,0.0006448123604059219,,0.5528017282485962
265,0.0,35.64356231689453,15872,0.000290552998194471,0.019427020102739334,0.0045704226940870285,423.0,0.5484638214111328,65.97682595252991,1763260156.929458,,0.0016870349645614624,,0.59736567735672
273,0.0,90.6588134765625,16512,0.0002901689731515944,-0.0006986558437347412,0.00459030456840992,427.0,-0.024559378623962402,67.13171887397766,1763260158.0843508,,0.00042042508721351624,,0.5720514059066772
274,,,16630,,,,,,67.1941499710083,1763260158.146782,324.0,,324.0,
292,,,17676,,,,,,69.30880403518677,1763260160.261436,141.0,,141.0,
321,0.0,24.570919036865234,19840,0.0002881720429286361,-0.002115100622177124,-0.00028703734278678894,435.0,0.8809728622436523,74.0012788772583,1763260164.9539108,,0.00027376972138881683,,0.5851097106933594
327,0.0,60.548004150390625,20352,0.0002878648228943348,0.0009686201810836792,5.156826227903366e-05,435.0,-0.027258753776550293,75.23337197303772,1763260166.186004,,7.83335417509079e-06,,0.5616641640663147
330,,,20570,,,,,,75.66140103340149,1763260166.614033,129.0,,129.0,
332,,,20681,,,,,,76.03015327453613,1763260166.9827852,111.0,,111.0,
337,,,21000,,,,,,76.98549437522888,1763260167.9381263,225.0,,225.0,
340,0.0,76.68576049804688,21248,0.00028732718783430755,-0.0014432501047849655,-0.00034600216895341873,432.0,0.11289727687835693,77.59645628929138,1763260168.5490882,,5.3559429943561554e-05,,0.5627655982971191
370,0.0,47.05898666381836,23424,0.0002860215026885271,0.0025069788098335266,-0.00269375741481781,436.0,0.15895026922225952,82.17605900764465,1763260173.128691,,0.000245463103055954,,0.5356754660606384
396,,,25727,,,,,,86.34500217437744,1763260177.2976341,76.0,,76.0,
425,0.0,32.794166564941406,28032,0.0002832565223798156,-0.00230972096323967,0.0010193521156907082,446.0,0.19424867630004883,91.19933128356934,1763260182.1519632,,3.728177398443222e-05,,0.5975528955459595
441,,,29208,,,,,,93.60888338088989,1763260184.5615153,73.0,,73.0,
450,,,29979,,,,,,95.11184453964233,1763260186.0644765,208.0,,208.0,
471,0.0,30.605030059814453,31744,0.0002810291771311313,-0.0020756013691425323,-0.002611386589705944,452.0,-0.4983631372451782,98.56468462944031,1763260189.5173166,,0.0001383153721690178,,0.5923381447792053
481,,,32437,,,,,,99.92667865753174,1763260190.8793106,148.0,,148.0,
