global_step,losses/entropy,charts/episodic_return,losses/explained_variance,_runtime,_timestamp,losses/old_approx_kl,charts/episodic_length,losses/approx_kl,losses/policy_loss,charts/learning_rate,losses/clipfrac,losses/value_loss,_step,charts/SPS
6999,,43.0,,50.452553033828735,1763260141.5058331,,43.0,,,,,,195,
7308,,70.0,,51.41101574897766,1763260142.4642959,,70.0,,,,,,203,
7706,,43.0,,52.475364685058594,1763260143.5286448,,43.0,,,,,,213,
7886,,74.0,,52.877760887145996,1763260143.931041,,74.0,,,,,,217,
8448,0.6256492137908936,,0.3059734106063843,54.32791566848755,1763260145.3811958,0.0001784246414899826,,5.0086528062820435e-06,-0.0007839202880859375,0.0002950076886918396,0.0,88.29241180419922,228,325.0
8704,0.5850464105606079,,0.2534022927284241,54.94942808151245,1763260146.0027082,-2.9020942747592926e-05,,2.57762148976326e-05,-0.0011936500668525696,0.00029485407867468894,0.0,73.17161560058594,233,327.0
9619,,104.0,,57.05599021911621,1763260148.1092703,,104.0,,,,,,251,
10112,0.5944914817810059,,-0.0275956392288208,58.126649141311646,1763260149.1799293,0.002283429726958275,,0.000318208709359169,-0.0052156634628772736,0.0002940092235803604,0.0,80.27193450927734,259,339.0
10483,,65.0,,58.715983867645264,1763260149.769264,,65.0,,,,,,265,
11136,0.5762850046157837,,0.3170369267463684,60.12208342552185,1763260151.1753635,0.0006527816876769066,,1.145247370004654e-05,-0.0017154049128293991,0.00029339478351175785,0.0,125.23301696777344,273,350.0
11144,,136.0,,60.1692099571228,1763260151.22249,,136.0,,,,,,274,
12267,,122.0,,62.36891436576843,1763260153.4221945,,122.0,,,,,,292,
14336,0.6231331825256348,,-0.020084619522094727,66.22498059272766,1763260157.2782607,0.0003257850185036659,,7.224269211292267e-06,0.00017518550157546997,0.00029147465829737484,0.0,110.2226791381836,321,378.0
14749,,124.0,,66.93103265762329,1763260157.9843128,,124.0,,,,,,327,
14976,0.5506647229194641,,-0.0005594491958618164,67.37037014961243,1763260158.4236503,0.0011157523840665817,,0.00010270625352859497,-0.003939017653465271,0.00029109063325449824,0.0,80.4331283569336,330,384.0
15128,,249.0,,67.60561418533325,1763260158.6588943,,249.0,,,,,,332,
15616,0.57481449842453,,0.2698190212249756,68.29359078407288,1763260159.346871,-0.00016488321125507355,,5.50784170627594e-06,3.0625611543655396e-05,0.00029070660821162164,0.0,95.55147552490234,337,391.0
15894,,436.0,,68.71585607528687,1763260159.7691362,,436.0,,,,,,340,
18048,0.5653543472290039,,-0.26700401306152344,73.29159426689148,1763260164.3448744,0.0099937217310071,,0.003646320663392544,0.025506936013698578,0.00028924731304869056,0.00390625,95.94741821289062,370,401.0
20096,0.5940923094749451,,0.047486186027526855,78.24070310592651,1763260169.2939832,0.0012224484235048294,,0.00014156848192214966,-0.003606170415878296,0.00028801843291148543,0.0,71.1920166015625,396,403.0
22471,,217.0,,82.8147783279419,1763260173.8680584,,217.0,,,,,,425,
23680,0.5872916579246521,,0.5693559050559998,85.31725907325745,1763260176.3705392,0.0021269870921969414,,6.957259029150009e-05,-0.0015210509300231934,0.00028586789267137647,0.0,47.07789611816406,441,415.0
24448,0.5414624214172363,,-0.04208016395568848,86.79374861717224,1763260177.8470287,0.0002964744344353676,,4.2407773435115814e-05,-0.0006012823432683945,0.00028540706261992455,0.0,54.381195068359375,450,418.0
26014,,129.0,,89.92220830917358,1763260180.9754884,,129.0,,,,,,471,
26752,0.5997058153152466,,0.24185603857040405,91.42965865135193,1763260182.4829388,0.0036176424473524094,,0.0011819489300251007,0.007499318569898605,0.0002840245724655688,0.0,79.59278869628906,481,424.0
27392,0.5958207249641418,,-0.021873116493225098,92.76603865623474,1763260183.8193188,0.00019945111125707626,,5.592498928308487e-05,-0.004188580438494682,0.0002836405474226922,0.0,42.726318359375,490,425.0
28366,,112.0,,94.61876010894775,1763260185.6720402,,112.0,,,,,,504,
29192,,219.0,,96.32451510429382,1763260187.3777952,,219.0,,,,,,515,
30558,,241.0,,98.73489761352539,1763260189.7881777,,241.0,,,,,,530,
31232,0.6260800361633301,,0.7747265100479126,100.18768286705017,1763260191.240963,-0.0018133167177438736,,0.0010064952075481415,0.010818054899573326,0.00028133639716543257,0.0,17.065074920654297,539,434.0
