losses/clipfrac,losses/policy_loss,_runtime,charts/episodic_return,_step,global_step,losses/old_approx_kl,losses/approx_kl,losses/value_loss,charts/episodic_length,charts/learning_rate,_timestamp,charts/SPS,losses/explained_variance,losses/entropy
0.0,-0.0034874361008405685,67.15328168869019,,259,14720,0.0033138422295451164,0.00023224670439958572,49.15638732910156,,0.0002912442432716489,1763260157.2927577,388.0,0.40806466341018677,0.5755297541618347
0.0,-0.010615572333335876,68.08682060241699,,265,15232,0.005433718673884869,0.0005441410467028618,68.53048706054688,,0.0002909370232373476,1763260158.2262967,392.0,0.3713681101799011,0.5241646766662598
0.0,0.00030078738927841187,69.19910597801208,,273,15872,-0.0010889163240790367,1.5473924577236176e-05,104.36731719970703,,0.000290552998194471,1763260159.338582,397.0,0.19927358627319336,0.565751850605011
0.0,-0.001460174098610878,69.40448760986328,,274,16000,-0.00012184213846921921,4.366133362054825e-05,78.11495971679688,,0.0002904761931858957,1763260159.5439637,398.0,0.00725400447845459,0.5628539323806763
0.0,0.00013656169176101685,72.69708299636841,,292,17536,0.0012878002598881721,1.4760531485080719e-05,53.47795486450195,,0.00028955453308299184,1763260162.836559,404.0,0.03831648826599121,0.581718921661377
0.0,-0.0014846362173557281,78.04946851730347,,321,19584,-0.0006358642131090164,3.734417259693146e-05,67.45557403564453,,0.0002883256529457867,1763260168.1889446,401.0,0.004742085933685303,0.5439853668212891
0.0,-1.1388212442398071e-05,79.21867680549622,,327,20096,-0.001188850961625576,2.5167129933834076e-05,71.27320098876953,,0.00028801843291148543,1763260169.3581529,402.0,0.0649222731590271,0.575423538684845
,,79.55738067626953,91.0,330,20269,,,,91.0,,1763260169.6968567,,,
0.0,0.014656133949756622,80.04859209060669,,332,20480,-0.006623844616115093,0.0009152786806225777,48.29013442993164,,0.00028778801788575947,1763260170.1880682,403.0,0.7682420015335083,0.528102457523346
0.0,0.0022515878081321716,80.899587392807,,337,20864,-0.0037845270708203316,0.0005895877256989479,44.11445999145508,,0.0002875576028600335,1763260171.0390635,404.0,0.29961663484573364,0.4854595959186554
0.0,0.002170182764530182,81.43731880187988,,340,21120,-0.00035827700048685074,0.0003399169072508812,52.70102310180664,,0.00028740399284288287,1763260171.5767949,405.0,0.5942285060882568,0.5554826855659485
0.0,0.0028891265392303467,86.60702514648438,,370,23552,-0.003127535805106163,6.421655416488647e-05,79.01058959960938,,0.0002859446976799518,1763260176.7465012,410.0,0.5697304010391235,0.5481967926025391
0.0,-0.01256878674030304,87.45681929588318,,375,23936,-0.0006477124989032745,0.000680290162563324,45.172950744628906,,0.0002857142826542258,1763260177.5962954,411.0,0.6332005858421326,0.5320752263069153
0.0,-0.0010076984763145447,90.71123790740967,,396,25344,0.0010783588513731956,4.5851804316043854e-05,93.51819610595703,,0.0002848694275598973,1763260180.850714,412.0,0.051707446575164795,0.4953072667121887
