losses/value_loss,losses/old_approx_kl,losses/approx_kl,_runtime,charts/episodic_return,charts/learning_rate,charts/SPS,charts/episodic_length,losses/entropy,_timestamp,global_step,losses/clipfrac,_step,losses/policy_loss,losses/explained_variance
,,,156.5284309387207,500.0,,,500.0,,1763260247.533625,57085,,757,,
,,,157.5397753715515,500.0,,,500.0,,1763260248.5449693,57585,,762,,
,,,158.5698435306549,455.0,,,455.0,,1763260249.5750375,58040,,767,,
2.043105363845825,0.001083548180758953,0.00015443284064531326,160.45600080490112,,0.00026474654441699386,445.0,,0.5914368033409119,1763260251.4611948,58880,0.0,775,0.0021879319101572037,-3.070403575897217
0.839192807674408,-0.00677829422056675,0.000807546079158783,163.261883020401,,0.00026397849433124065,446.0,,0.5596423745155334,1763260254.267077,60160,0.0,788,-0.003065362572669983,0.11834293603897095
,,,165.0143322944641,452.0,,,452.0,,1763260256.0195262,60943,,797,,
,,,166.96334767341614,476.0,,,476.0,,1763260257.9685416,61848,,806,,
,,,168.45145678520203,290.0,,,290.0,,1763260259.4566507,62525,,815,,
,,,177.82213473320007,433.0,,,433.0,,1763260268.8273287,66664,,863,,
,,,179.5298044681549,345.0,,,345.0,,1763260270.5349984,67414,,872,,
0.37684035301208496,0.0014863675460219383,0.0001717088744044304,180.3782298564911,,0.00025944699882529676,445.0,,0.6114305257797241,1763260271.3834238,67712,0.0,876,-0.0007762070745229721,-0.08407151699066162
0.02851969748735428,0.004075336270034313,0.002136087976396084,190.06720519065857,,0.00025675882352516055,446.0,,0.4724431335926056,1763260281.0723991,72192,0.0,922,-0.008903667330741882,0.6001657247543335
0.09588520228862762,0.009857513010501862,0.016819465905427933,191.79088163375854,,0.00025629799347370863,446.0,,0.5331516265869141,1763260282.7960756,72960,0.0546875,930,-0.008205274119973183,-0.7248849868774414
433.19012451171875,0.003984037786722183,0.0002071913331747055,193.48741173744202,,0.0002558371634222567,446.0,,0.5583006739616394,1763260284.4926057,73728,0.0,938,-0.0017298385500907898,0.0006760358810424805
0.0015892991796135902,0.026222892105579376,0.01055232621729374,194.27028489112854,,0.00025560674839653075,446.0,,0.5221632122993469,1763260285.2754788,74112,0.009765625,941,-0.016472630202770233,-1.6654412746429443
,,,194.3313615322113,500.0,,,500.0,,1763260285.3365555,74201,,942,,
391.19036865234375,0.012610388919711113,0.0011577913537621498,195.67291355133057,,0.00025522272335365415,446.0,,0.5689087510108948,1763260286.6781075,74752,0.0,948,0.0014830529689788818,0.0006416440010070801
