losses/clipfrac,losses/entropy,charts/learning_rate,losses/explained_variance,losses/approx_kl,charts/episodic_return,charts/SPS,_runtime,losses/old_approx_kl,losses/policy_loss,_step,global_step,_timestamp,losses/value_loss,charts/episodic_length
0.0,0.5576058626174927,0.00028079876210540533,0.0005476474761962891,0.0001355120912194252,,385.0,112.28982639312744,-0.002761722542345524,-0.0017571654170751572,515,32128,1763260202.7740724,28.898290634155273,
0.0,0.5776354670524597,0.0002798771020025015,0.7602427005767822,0.0016545755788683891,,388.0,115.6230845451355,-0.021969638764858246,0.006148628890514374,530,33664,1763260206.1073306,21.47648048400879,
0.0,0.5775495171546936,0.00027941627195104957,0.03171604871749878,0.0001493934541940689,,389.0,117.35128712654114,0.0009408518671989441,0.0002631787210702896,539,34432,1763260207.8355331,23.81429672241211,
0.0,0.6365151405334473,0.00027895544189959764,0.41919076442718506,5.6901946663856506e-05,,390.0,119.00965452194214,0.0006221141666173935,-0.0011785812675952911,547,35200,1763260209.4939005,26.51268768310547,
0.0,0.5788178443908691,0.0002784946118481457,0.008714020252227783,7.350929081439972e-06,,392.0,120.67963099479675,-0.0008711526170372963,-0.000267714262008667,555,35968,1763260211.163877,22.21152687072754,
0.0,0.5759008526802063,0.00027826419682241976,0.22561776638031006,0.0005660215392708778,,392.0,121.50495195388794,-0.0016749100759625435,-0.0038236454129219055,559,36352,1763260211.989198,224.72210693359375,
,,,,,239.0,,123.05161428451538,,,568,37076,1763260213.5358603,,239.0
0.0,0.5199038982391357,0.00027626726659946144,-0.0015535354614257812,0.00017402227967977524,,396.0,128.971421957016,-0.0002618720754981041,0.00029027462005615234,595,39680,1763260219.455668,194.10546875,
0.0,0.545395016670227,0.00027526883059181273,0.9401416778564453,0.0016251830384135246,,398.0,132.65589594841003,0.0010367194190621376,-0.0003466978669166565,612,41344,1763260223.140142,18.492612838745117,
0.0,0.5497896671295166,0.0002751152205746621,0.9817847609519958,0.003158425912261009,,399.0,133.18515586853027,0.0013193227350711823,-0.017944365739822388,614,41600,1763260223.669402,4.08851957321167,
,,,,,500.0,,136.7225923538208,,,630,43146,1763260227.2068384,,500.0
0.0,0.5401924848556519,0.00027380953542888165,0.005437672138214111,4.575401544570923e-05,,400.0,138.12782621383667,-0.0011703390628099442,0.0007926821708679199,636,43776,1763260228.6120722,9.91447639465332,
0.0,0.5680564641952515,0.0002735791204031557,-0.0005235671997070312,0.00040925294160842896,,401.0,138.9964301586151,0.002523910254240036,-0.0012889206409454346,640,44160,1763260229.4806762,344.0169372558594,
0.0,0.5176941156387329,0.0002729646803345531,0.0016342997550964355,0.0009289449080824852,,402.0,141.21397471427917,-0.00465929601341486,0.004149250686168671,650,45184,1763260231.6982207,362.4703369140625,
0.0,0.5582517981529236,0.0002721198252402246,0.03751647472381592,0.0002528214827179909,,403.0,144.34042143821716,0.002176719717681408,-0.006529970094561577,664,46592,1763260234.8246675,6.42302131652832,
,,,,,500.0,,148.71523928642273,,,684,48634,1763260239.1994853,,500.0
0.0,0.5774447917938232,0.0002706605300772935,-0.02218186855316162,2.4790875613689423e-05,,405.0,149.82247042655945,-0.0002234121784567833,-0.00015735626220703125,689,49024,1763260240.3067164,5.56163215637207,
0.0,0.542425274848938,0.0002701228950172663,7.081031799316406e-05,0.0003388458862900734,,406.0,151.83364367485046,0.0025221826508641243,-0.002719257026910782,698,49920,1763260242.3178897,346.1802062988281,
,,,,,500.0,,152.679363489151,,,702,50319,1763260243.1636095,,500.0
0.0,0.5956780314445496,0.00026958525995723903,-0.011211514472961426,0.00020557455718517303,,406.0,153.8074016571045,-0.00300045870244503,0.005788847804069519,707,50816,1763260244.2916477,5.030860900878906,
0.0,0.5464661121368408,0.0002682795748114586,0.004673182964324951,5.324743688106537e-05,,408.0,158.521644115448,-0.0032802987843751907,-0.00034618377685546875,729,52992,1763260249.0058901,366.2088623046875,
0.0,0.5737084746360779,0.0002665130596142262,0.2552124261856079,0.00039987172931432724,,411.0,164.88700580596924,0.008293046616017818,-0.002487076446413994,757,55936,1763260255.3712518,1.5202192068099976,
0.0,0.491911381483078,0.00026620583957992494,-0.010764360427856445,6.719119846820831e-05,,412.0,165.90666341781616,0.0014598499983549118,0.0015507228672504425,762,56448,1763260256.3909094,1.2619893550872803,
0.0,0.5218445658683777,0.00026589861954562366,-0.018282175064086914,0.0003917645663022995,,412.0,166.9883327484131,0.00829266756772995,-0.005756128579378128,767,56960,1763260257.4725788,1.1099283695220947,
0.0,0.550574004650116,0.00026543778949417174,-0.03643643856048584,9.600818157196045e-05,,413.0,168.57088971138,0.0004084538668394089,-0.002491600811481476,775,57728,1763260259.0551357,1.222452998161316,
0.0078125,0.559817910194397,0.00026466973940841854,0.18453717231750488,0.0039694542065262794,,414.0,171.23638653755188,-0.01465668436139822,0.009733609855175018,788,59008,1763260261.7206326,621.8279418945312,
,,,,,500.0,,173.16558051109314,,,797,59981,1763260263.6498265,,500.0
