global_step,losses/value_loss,charts/episodic_length,charts/learning_rate,losses/explained_variance,_timestamp,charts/SPS,losses/clipfrac,losses/policy_loss,_runtime,charts/episodic_return,losses/entropy,losses/approx_kl,losses/old_approx_kl,_step
17280,68.02106475830078,,0.0002897081431001425,0.4309574365615845,1763260163.732942,390.0,0.0,-0.0025062859058380127,73.48892211914062,,0.583592414855957,0.00012672599405050278,-0.00251606572419405,321
17792,64.77755737304688,,0.0002894009230658412,0.7312881350517273,1763260164.9340553,391.0,0.0,-0.0007546357810497284,74.69003534317017,,0.6104233264923096,0.0013595595955848694,0.009412026032805443,327
17942,,106.0,,,1763260165.3419092,,,,75.09788918495178,106.0,,,,330
18104,,162.0,,,1763260165.7017772,,,,75.45775723457336,162.0,,,,332
18472,,195.0,,,1763260166.7796652,,,,76.53564524650574,195.0,,,,337
18788,,316.0,,,1763260167.4711573,,,,77.22713732719421,316.0,,,,340
20864,58.81321716308594,,0.0002875576028600335,0.46849727630615234,1763260172.5024276,393.0,0.0,-0.0022683478891849518,82.25840759277344,,0.6062754392623901,0.00011431705206632614,1.6343779861927032e-05,370
21143,,48.0,,,1763260173.1819282,,,,82.93790817260742,48.0,,,,375
22876,,448.0,,,1763260176.7923415,,,,86.54832148551941,448.0,,,,396
25344,67.27639770507812,,0.0002848694275598973,0.18271327018737793,1763260182.1021142,404.0,0.0,0.013283878564834595,91.85809421539307,,0.5461286902427673,0.001012415625154972,0.00482004601508379,425
26700,,351.0,,,1763260184.8166423,,,,94.57262229919434,351.0,,,,441
27392,39.37220001220703,,0.0002836405474226922,0.8558675050735474,1763260186.3712564,409.0,0.0,-0.006719950586557388,96.12723636627197,,0.5652759075164795,0.00014261528849601746,0.002284938469529152,450
28866,,131.0,,,1763260189.5152507,,,,99.27123069763184,131.0,,,,471
29568,10.403057098388672,,0.00028233486227691174,0.9177226424217224,1763260191.1812382,412.0,0.0,-6.476789712905884e-05,100.9372181892395,,0.4997737407684326,7.2503462433815e-06,5.717389285564423e-06,481
30208,8.60029125213623,,0.00028195083723403513,0.9653463363647461,1763260192.5614896,413.0,0.005859375,0.0011332295835018158,102.3174695968628,,0.48684850335121155,0.0024471255019307137,0.0053788842633366585,490
