losses/policy_loss,charts/episodic_length,losses/entropy,losses/clipfrac,losses/approx_kl,charts/episodic_return,_timestamp,losses/value_loss,global_step,_step,_runtime,charts/learning_rate,losses/explained_variance,charts/SPS,losses/old_approx_kl
,500.0,,,,500.0,1763260344.0650492,,116634,1340,253.94359421730042,,,,
-0.003626028075814247,,0.5054629445075989,0.0,0.0017640730366110802,,1763260345.1743765,0.0003495189594104886,117632,1349,255.0529215335846,0.00022949308913666755,-0.25563693046569824,521.0,0.010035640560090542
-0.007608912885189056,,0.5368300080299377,0.0,0.0003316029906272888,,1763260347.2033854,0.00017166754696518183,119040,1363,257.08193039894104,0.00022864823404233903,-0.08719015121459961,522.0,0.0018621403723955154
-0.01848652958869934,,0.522650957107544,0.0,0.0008932361379265785,,1763260347.4431605,619.8421020507812,119168,1365,257.3217055797577,0.0002285714290337637,-7.045269012451172e-05,522.0,-0.0007356172427535057
-0.0037346594035625458,,0.564958393573761,0.0,0.0002645151689648628,,1763260348.3031769,748.0435791015625,119680,1370,258.1817219257355,0.00022826420899946243,2.568960189819336e-05,522.0,0.0035651428624987602
0.007350511848926544,,0.5334383249282837,0.0,0.0011741174384951591,,1763260350.023706,0.0013484416995197535,120704,1380,259.90225100517273,0.00022764976893085986,0.0023636817932128906,523.0,0.0016158828511834145
-0.00792010873556137,,0.5592802166938782,0.0,0.00030818674713373184,,1763260350.237403,0.0004154798516537994,120832,1381,260.11594796180725,0.00022757296392228454,-0.25970542430877686,523.0,-2.7612783014774323e-05
-0.00032539665699005127,,0.5833538770675659,0.0,0.00010743085294961929,,1763260351.3873081,347.7801513671875,121472,1388,261.2658531665802,0.00022718893887940794,7.271766662597656e-05,523.0,0.0027305306866765022
,500.0,,,,500.0,1763260352.5223317,,122213,1395,262.4008767604828,,,,
-0.0010746568441390991,,0.5942410230636597,0.0,0.0004945853725075722,,1763260353.3972828,0.00027479336131364107,122624,1399,263.2758278846741,0.00022649769380223006,0.05944705009460449,524.0,0.002218504436314106
,500.0,,,,500.0,1763260354.3200417,,123213,1405,264.1985867023468,,,,
-0.015656843781471252,,0.5294207334518433,0.0,0.002434397116303444,,1763260358.3700416,0.006302707828581333,125952,1432,268.2485866546631,0.00022450076357927173,0.1910673975944519,527.0,0.02561313286423683
-0.0029967278242111206,,0.48741626739501953,0.0,0.00022481754422187805,,1763260358.5831296,0.0004396172589622438,126080,1433,268.4616746902466,0.0002244239585706964,-0.16381442546844482,527.0,-0.0016933418810367584
0.0015722215175628662,,0.5287190675735474,0.0,0.00018525589257478714,,1763260362.083499,490.41558837890625,128256,1455,271.9620440006256,0.00022311827342491597,-7.140636444091797e-05,528.0,0.0007680794224143028
-0.027548929676413536,,0.5814014077186584,0.00390625,0.0022673681378364563,,1763260362.213866,0.004089818801730871,128384,1456,272.09241104125977,0.00022304146841634065,-0.14352869987487793,528.0,0.005813490599393845
0.001055210828781128,,0.5481087565422058,0.0,0.0010576164349913597,,1763260362.3392174,0.0006247721612453461,128512,1457,272.21776247024536,0.00022296466340776533,-0.07624447345733643,529.0,0.0021585719659924507
0.003612995147705078,,0.5571205615997314,0.0,0.0001766318455338478,,1763260368.6616638,0.0001885292149381712,134016,1514,278.5402088165283,0.0002196620625909418,-0.05503880977630615,537.0,0.0017231246456503868
0.009251393377780914,,0.5373636484146118,0.0,0.0010346602648496628,,1763260369.864698,537.0618896484375,134656,1521,279.7432429790497,0.00021927803754806519,0.0002422332763671875,537.0,-0.007329294458031654
,500.0,,,,500.0,1763260370.5310543,,135065,1525,280.4095993041992,,,,
0.0012905001640319824,,0.5223862528800964,0.0,9.242072701454163e-05,,1763260370.9186854,0.004596485290676355,135296,1527,280.79723048210144,0.00021889401250518858,-0.18859565258026123,537.0,0.0003736671060323715
-0.004078492522239685,,0.5549814105033875,0.0,0.0004874821752309799,,1763260371.3022838,0.00028189097065478563,135552,1529,281.18082880973816,0.00021874040248803794,0.07193350791931152,538.0,-0.0005078557878732681
0.007360585033893585,,0.5508954524993896,0.0,0.00025497470051050186,,1763260372.192073,0.00014832318993285298,136064,1534,282.0706181526184,0.00021843318245373666,-0.31918394565582275,538.0,0.003569220192730427
-0.0036258306354284286,,0.5720201730728149,0.0,0.0003454890102148056,,1763260372.43966,152.5482940673828,136192,1536,282.3182051181793,0.00021835637744516134,-3.349781036376953e-05,538.0,0.004474828019738197
-0.0367034487426281,,0.4888886511325836,0.01953125,0.007828544825315475,,1763260373.709841,0.0001247958280146122,136960,1543,283.5883860588074,0.00021789554739370942,0.10589873790740967,538.0,0.019666463136672974
-0.0009410735219717026,,0.5290500521659851,0.0,0.002155845984816551,,1763260373.9793658,363.0244445800781,137088,1545,283.85791087150574,0.0002178187423851341,-3.9696693420410156e-05,538.0,0.013972409069538116
0.0028539299964904785,,0.495648592710495,0.0,0.0004167938604950905,,1763260374.1689255,0.005876004230231047,137216,1546,284.0474705696106,0.00021774193737655878,0.14678573608398438,538.0,0.002590424381196499
-0.007687896490097046,,0.5216150283813477,0.0078125,0.002618524245917797,,1763260376.418766,0.00013637533993460238,138496,1558,286.2973110675812,0.00021697388729080558,0.24473339319229126,538.0,0.017985034734010696
,500.0,,,,500.0,1763260376.4674249,,138565,1559,286.34596991539,,,,
-0.02337414212524891,,0.5413467884063721,0.009765625,0.005645626224577427,,1763260377.0244188,0.0003108261153101921,139008,1563,286.90296387672424,0.0002166666672565043,-0.437572717666626,539.0,-0.03731479495763779
-0.009155279025435448,,0.5736970901489258,0.00390625,0.003052295185625553,,1763260377.2995548,0.005701309535652399,139264,1566,287.17809987068176,0.00021651305723935366,-0.14990031719207764,540.0,0.012350655160844326
,500.0,,,,500.0,1763260379.824183,,141565,1588,289.7027280330658,,,,
-0.00905537512153387,,0.5407336354255676,0.0,0.0007987376302480698,,1763260379.9406636,301.8033447265625,141568,1589,289.81920862197876,0.0002151305670849979,0.00023806095123291016,543.0,0.0013547241687774658
0.005624331533908844,,0.5270064473152161,0.0,0.0012417156249284744,,1763260381.1861324,0.00017197760462295264,142464,1597,291.06467747688293,0.00021459293202497065,0.04518449306488037,544.0,0.017399625852704048
-0.0019679367542266846,,0.49305659532546997,0.0,0.001747414469718933,,1763260383.1139674,0.0001243886654265225,143488,1607,292.9925124645233,0.0002139784919563681,-0.16809988021850586,544.0,0.0021391473710536957
-0.014374110847711563,,0.5303905010223389,0.0,0.0004625404253602028,,1763260383.3859456,416.3540954589844,143616,1609,293.26449060440063,0.00021390168694779277,4.380941390991211e-05,544.0,0.004536558873951435
-0.000918366014957428,,0.5227013826370239,0.0,0.0003612348809838295,,1763260383.57942,0.0049955095164477825,143744,1610,293.45796513557434,0.00021382488193921745,0.006397902965545654,544.0,0.004753489978611469
-0.004557915031909943,,0.517947793006897,0.0,0.0017530610784888268,,1763260383.9938598,0.00020485561981331557,144000,1612,293.8724048137665,0.0002136712719220668,-0.059232354164123535,544.0,0.0006635626778006554
-0.0018043220043182373,,0.5173431634902954,0.0,0.000675588846206665,,1763260386.2408738,0.0005504260188899934,145408,1626,296.1194188594818,0.00021282641682773829,0.22997194528579712,544.0,0.00041852518916130066
,500.0,,,,500.0,1763260387.522498,,146565,1638,297.4010429382324,,,,
-0.010270167142152786,,0.4888731837272644,0.0,0.0006289621815085411,,1763260392.716631,0.005886326543986797,151168,1687,302.5951759815216,0.0002093702059937641,-1.7981235980987549,553.0,-6.0123391449451447e-05
-0.0013875607401132584,,0.4842190742492676,0.0,2.0884908735752106e-05,,1763260398.938453,0.0001818367891246453,155776,1732,308.81699800491333,0.00020660522568505257,0.03379976749420166,557.0,0.0014586420729756355
