_runtime,_timestamp,losses/value_loss,losses/clipfrac,charts/episodic_length,charts/episodic_return,global_step,losses/old_approx_kl,_step,losses/policy_loss,losses/approx_kl,losses/explained_variance,losses/entropy,charts/SPS,charts/learning_rate
139.03387212753296,1763260229.987827,,,419.0,419.0,49859,,707,,,,,,
143.60739517211914,1763260234.56135,3.4052159786224365,0.0,,,52096,0.004103299230337143,729,-0.007508201524615288,0.00033218786120414734,0.4718456268310547,0.5805637240409851,452.0,0.00026881720987148583
148.80647468566895,1763260239.7604296,2.2726223468780518,0.0,,,54656,0.0030651427805423737,757,-0.0029426999390125275,0.0001905187964439392,-0.060404300689697266,0.5528733730316162,454.0,0.0002672811096999794
149.80994582176208,1763260240.7639008,2.172377824783325,0.0,,,55168,0.001681567169725895,762,-0.009207315742969513,0.002397124655544758,-0.019803166389465332,0.5831558108329773,454.0,0.00026697388966567814
150.77472305297852,1763260241.728678,1.796426773071289,0.009765625,,,55680,0.0062745315954089165,767,-0.005666305311024189,0.0032618818804621696,0.24026715755462646,0.6044042110443115,455.0,0.00026666666963137686
152.09573483467102,1763260243.0496898,2.054342269897461,0.0,,,56320,0.0016677994281053543,775,0.0009281383827328682,4.221871495246887e-05,-0.04183006286621094,0.5633469820022583,455.0,0.00026628264458850026
154.19031620025635,1763260245.1442711,,,297.0,297.0,57433,,788,,,,,,
155.91753315925598,1763260246.871488,,,500.0,500.0,58265,,797,,,,,,
157.64209055900574,1763260248.5960455,1.1411536931991577,0.0,,,59136,0.0005651973187923431,806,-0.0017565302550792694,0.0002993028610944748,0.03217679262161255,0.5519952774047852,457.0,0.0002645929343998432
159.33206844329834,1763260250.2860234,1.0968122482299805,0.017578125,,,60032,0.015205517411231995,815,-0.02531789056956768,0.009833475574851036,-0.04518091678619385,0.5274724364280701,458.0,0.000264055299339816
168.04878735542297,1763260259.0027423,531.6310424804688,0.0,,,64384,0.0008989796042442322,863,0.001247890293598175,2.267584204673767e-05,0.004984617233276367,0.5513166785240173,461.0,0.0002614439290482551
169.60241436958313,1763260260.5563693,,,439.0,439.0,65231,,872,,,,,,
170.17655324935913,1763260261.1305082,,,111.0,111.0,65413,,876,,,,,,
178.48182106018066,1763260269.435776,0.2802940309047699,0.0,,,69632,-0.0004726545885205269,922,-0.0003565642982721329,3.0668452382087708e-06,-0.08935117721557617,0.5733634233474731,464.0,0.00025829492369666696
180.02699542045593,1763260270.9809504,,,500.0,500.0,70402,,930,,,,,,
181.72728729248047,1763260272.6812422,0.06490617990493774,0.0,,,71296,0.00020055845379829407,938,-0.0012103989720344543,0.00024528615176677704,-2.61289119720459,0.5556652545928955,465.0,0.0002572964585851878
182.28080773353577,1763260273.2347627,0.057825375348329544,0.0,,,71552,-0.0002371976152062416,941,-0.0005813091993331909,1.7085112631320953e-05,0.03551203012466431,0.5570636987686157,465.0,0.00025714284856803715
182.52369618415833,1763260273.4776511,0.0234342310577631,0.0,,,71680,0.0002783657982945442,942,-0.003858819603919983,0.0005532605573534966,-0.08961701393127441,0.5619857311248779,465.0,0.00025706604355946183
183.67813229560852,1763260274.6320872,0.002509079407900572,0.0078125,,,72320,0.0012791557237505913,948,-0.0053177326917648315,0.00012777280062437057,-1.0300841331481934,0.5563335418701172,465.0,0.00025668201851658523
188.76901769638062,1763260279.7229726,,,500.0,500.0,74902,,974,,,,,,
190.03580379486084,1763260280.9897587,129.09292602539062,0.0,,,75520,-0.003210303373634815,980,0.016931310296058655,0.0005203718319535255,0.0009885430335998535,0.4595648944377899,467.0,0.0002547618933022022
191.00478386878967,1763260281.9587388,0.0034851524978876114,0.0,,,76032,0.0020512910559773445,985,-0.00048074498772621155,3.122817724943161e-05,-0.1672496795654297,0.3814743757247925,467.0,0.00025445467326790094
192.98658800125122,1763260283.940543,0.0019368843641132116,0.0,,,77056,-0.005983991548418999,995,0.0020696446299552917,0.00032297149300575256,-1.3983700275421143,0.4764469861984253,468.0,0.0002538402331992984
193.4475440979004,1763260284.401499,0.00016335882537532598,0.041015625,,,77312,0.014480727724730968,997,-0.005929678678512573,0.00793074257671833,-0.8908836841583252,0.42124003171920776,468.0,0.00025368662318214774
196.936217546463,1763260287.8901725,0.006255233194679022,0.00390625,,,79104,0.007962234318256378,1015,-0.01474422961473465,0.0018307622522115707,-2.7894270420074463,0.4253522753715515,469.0,0.00025261135306209326
197.8705916404724,1763260288.8245466,0.004657883662730455,0.0,,,79616,0.016958944499492645,1020,-0.003141496330499649,0.0018908064812421799,-0.09318351745605469,0.5216410160064697,470.0,0.000252304133027792
199.3518569469452,1763260290.305812,0.001240384764969349,0.0,,,80768,-0.0011362209916114807,1031,0.0017855018377304077,0.0004501808434724808,-2.107858896255493,0.47508183121681213,472.0,0.00025161291705444455
201.79820585250854,1763260292.7521608,0.0008581469301134348,0.005859375,,,82688,0.002240629866719246,1050,-0.011890782043337822,0.0029386375099420547,-1.9612154960632324,0.5477354526519775,477.0,0.00025046084192581475
202.32209634780884,1763260293.2760513,494.86962890625,0.0,,,82944,-0.010010494850575924,1053,0.009486419148743153,0.0005008438602089882,6.902217864990234e-05,0.5097694993019104,477.0,0.0002503072319086641
203.18664002418518,1763260294.140595,622.9295654296875,0.0,,,83456,0.007663914933800697,1058,0.0008154809474945068,0.00040496326982975006,0.00014865398406982422,0.5169849991798401,477.0,0.0002500000118743628
207.62160539627075,1763260298.5755603,303.5743713378906,0.0,,,86016,-0.006138274446129799,1083,0.0008001886308193207,0.00017723068594932556,0.00015026330947875977,0.5286809802055359,480.0,0.0002484639117028564
208.93237447738647,1763260299.8863294,,,500.0,500.0,86902,,1091,,,,,,
210.89520931243896,1763260301.8491642,,,500.0,500.0,88402,,1106,,,,,,
212.2638967037201,1763260303.2178516,0.004240542650222778,0.001953125,,,89600,0.0013259388506412506,1118,-0.006087303161621094,0.0005384627729654312,-0.13928663730621338,0.4720122516155243,487.0,0.00024631337146274745
213.40954494476318,1763260304.3634999,0.0001659158297115937,0.005859375,,,90368,-0.00921859685331583,1125,-0.002612598240375519,0.002235810272395611,-0.36833953857421875,0.5520626306533813,488.0,0.00024585254141129553
214.82513451576233,1763260305.7790895,0.004313256591558456,0.00390625,,,91136,0.02228548377752304,1133,-0.003563396632671356,0.0004496891051530838,-0.18538939952850342,0.5158145427703857,489.0,0.0002453917113598436
216.99064016342163,1763260307.944595,,,500.0,500.0,92402,,1145,,,,,,
220.14569115638733,1763260311.099646,0.00022860735771246254,0.009765625,,,94336,0.029987044632434845,1164,-0.01830630749464035,0.007240628823637962,-3.8495898246765137,0.5627700686454773,492.0,0.0002434715861454606
220.1723349094391,1763260311.1262898,,,500.0,500.0,94402,,1165,,,,,,
221.44249749183655,1763260312.3964524,0.003871695604175329,0.0,,,95104,-0.008374153636395931,1172,-0.003985576331615448,0.0004385868087410927,0.09858566522598267,0.4605679214000702,492.0,0.00024301075609400868
222.5726137161255,1763260313.5265687,1038.6317138671875,0.0,,,96000,0.0014584409072995186,1181,-0.002073630690574646,2.5787390768527985e-05,-8.285045623779297e-05,0.513247549533844,494.0,0.00024247312103398144
223.10258650779724,1763260314.0565414,165.9639434814453,0.0,,,96512,-0.01464206911623478,1186,0.014231119304895401,0.0007357485592365265,0.00296628475189209,0.5048516392707825,495.0,0.00024216590099968016
224.40569353103638,1763260315.3596485,0.00089091039262712,0.0,,,97664,0.0027228258550167084,1197,-0.006118852645158768,0.0007526800036430359,0.08079981803894043,0.5198777318000793,498.0,0.00024147465592250228
226.28718066215515,1763260317.2411356,0.0003147279203403741,0.0,,,99328,-0.004325397312641144,1213,-0.001069478690624237,0.0002613719552755356,-0.8308275938034058,0.528802752494812,502.0,0.00024047619081102312
226.4470443725586,1763260317.4009993,606.8983764648438,0.0,,,99456,0.00013086292892694473,1215,0.0025440938770771027,0.0001217992976307869,-0.0003197193145751953,0.4819844663143158,502.0,0.0002403993858024478
227.7551085948944,1763260318.7090635,0.005361068993806839,0.0,,,100608,-0.004626696929335594,1226,-0.01615677773952484,0.0010061133652925491,0.10610491037368774,0.4864294230937958,504.0,0.00023970814072526991
228.20492577552795,1763260319.1588807,308.9029846191406,0.0,,,100992,-0.0010340698063373566,1230,0.0029287682846188545,0.00014941208064556122,-0.00015854835510253906,0.49002206325531006,505.0,0.00023947772569954395
228.6408360004425,1763260319.594791,,,500.0,500.0,101402,,1234,,,,,,
230.67186093330383,1763260321.6258159,0.0037877121940255165,0.01171875,,,102528,0.0034288791939616203,1245,-0.01323743537068367,0.002960708923637867,-5.638599395751953e-05,0.5052719116210938,507.0,0.0002385560655966401
232.28372073173523,1763260323.2376757,626.67626953125,0.0,,,103424,0.00020015891641378403,1254,0.000866468995809555,6.127171218395233e-06,6.240606307983398e-05,0.5118321776390076,507.0,0.00023801843053661287
235.30070233345032,1763260326.2546573,0.0008459819364361465,0.00390625,,,105216,0.0065173497423529625,1271,-0.0007051825523376465,0.0023963963612914085,-0.1602698564529419,0.4664006531238556,508.0,0.00023694316041655838
240.24812150001526,1763260331.2020764,0.004445372149348259,0.0,,,108032,0.00021120533347129822,1299,-0.005604255944490433,0.00026381947100162506,0.24089199304580688,0.4980598986148834,510.0,0.00023525345022790134
245.27599716186523,1763260336.229952,0.005788533948361874,0.001953125,,,112128,0.008200245909392834,1339,-0.0409264974296093,0.0030432408675551414,0.33130621910095215,0.5639210343360901,517.0,0.00023279570450540632
245.43631148338318,1763260336.3902664,0.0010093182791024446,0.0,,,112256,0.005253290757536888,1340,-0.006926618050783873,0.0001708846539258957,-2.012876033782959,0.5343164801597595,517.0,0.000232718899496831
246.46644258499146,1763260337.4203975,0.0032089464366436005,0.0,,,113152,-0.00509907491505146,1349,-0.011006079614162445,0.0012439899146556854,-0.19268226623535156,0.5585973262786865,519.0,0.00023218126443680376
248.05289793014526,1763260339.0068529,0.0021276860497891903,0.0078125,,,114432,-0.0002802042290568352,1363,-0.03295530751347542,0.0033738398924469948,0.003250420093536377,0.5178441405296326,521.0,0.00023141321435105056
248.218523979187,1763260339.172479,,,500.0,500.0,114604,,1365,,,,,,
248.85857033729553,1763260339.8125253,,,500.0,500.0,115104,,1370,,,,,,
250.15284490585327,1763260341.1067998,,,500.0,500.0,116104,,1380,,,,,,
250.29483222961426,1763260341.2487872,304.6518249511719,0.0,,,116224,0.002360898070037365,1381,0.00029297173023223877,0.00023240689188241959,-3.2186508178710938e-06,0.5479817390441895,523.0,0.00023033794423099607
