_timestamp,losses/value_loss,global_step,losses/approx_kl,charts/episodic_return,_step,charts/SPS,charts/episodic_length,losses/policy_loss,losses/old_approx_kl,losses/entropy,losses/clipfrac,charts/learning_rate,_runtime,losses/explained_variance
1763260186.0741663,61.418094635009766,28032,0.0011105574667453766,,450,420.0,,-0.009416177868843079,-0.00649767741560936,0.5029123425483704,0.0,0.0002832565223798156,95.78544425964355,-0.0036406517028808594
1763260189.8655446,,29957,,500.0,471,,500.0,,,,,,99.57682251930237,
1763260191.625769,12.371480941772461,30848,5.420949310064316e-05,,481,427.0,,-0.0024385303258895874,0.0005382085219025612,0.5091271996498108,0.0,0.00028156681219115853,101.33704686164856,0.9581515789031982
1763260193.3565662,9.441739082336426,31744,7.41034746170044e-05,,490,429.0,,-0.0010266657918691635,-0.0017613116651773453,0.5101664662361145,0.0,0.0002810291771311313,103.06784415245056,0.9224686622619629
1763260195.729364,22.613933563232422,32896,0.0005512870848178864,,504,431.0,,0.00328122079372406,-0.004620909690856934,0.5370045900344849,0.0,0.0002803379320539534,105.4406418800354,0.10706108808517456
1763260197.7048943,27.09334373474121,33920,0.0001168232411146164,,515,433.0,,0.002471253275871277,-0.004234660416841507,0.496890127658844,0.0,0.00027972349198535085,107.41617226600647,-0.28109991550445557
1763260200.5176485,14.597867965698242,35328,0.0001729428768157959,,530,435.0,,-0.002979133278131485,-0.0024790894240140915,0.4906044006347656,0.0,0.0002788786368910223,110.22892642021179,0.9423890709877014
1763260202.1482444,15.086414337158203,36096,2.7408823370933533e-06,,539,436.0,,-0.0002829357981681824,0.00012966338545084,0.4991876780986786,0.0,0.0002784178068395704,111.85952234268188,0.6307246685028076
1763260203.514003,6.434635639190674,36736,5.418062210083008e-05,,547,436.0,,-0.0017807483673095703,0.0002621375024318695,0.5721675157546997,0.0,0.0002780337817966938,113.22528100013733,0.975402295589447
1763260204.8973298,8.16767692565918,37376,4.2201951146125793e-05,,555,437.0,,0.0006368309259414673,0.0035276897251605988,0.536818265914917,0.0,0.0002776497567538172,114.60860776901245,0.8664537668228149
1763260205.5006855,9.711687088012695,37632,0.00012844521552324295,,559,437.0,,0.005947720259428024,-0.002798234112560749,0.5823693871498108,0.0,0.00027749614673666656,115.21196341514587,0.9861052632331848
1763260206.869618,,38342,,241.0,568,,241.0,,,,,,116.58089590072632,
1763260211.8053486,213.5386505126953,40704,0.009673402644693851,,595,440.0,,0.004973975941538811,0.024333825334906578,0.4582577645778656,0.05859375,0.00027565285563468933,121.5166265964508,0.06818515062332153
1763260214.826073,,42310,,293.0,612,,293.0,,,,,,124.53735089302063,
1763260215.2967596,7.235307693481445,42496,0.0011012237519025803,,614,443.0,,-0.004029911011457443,-0.010745769366621971,0.5031915903091431,0.0,0.00027457758551463485,125.00803756713867,0.6878297328948975
1763260218.2379246,,43984,,177.0,630,,177.0,,,,,,127.94920253753662,
1763260219.3452282,84.40350341796875,44416,0.0014829235151410103,,636,444.0,,0.017706405371427536,-0.006788638420403004,0.49998000264167786,0.00390625,0.00027342551038600504,129.0565061569214,0.7893131971359253
1763260220.1207223,4.53696346282959,44800,4.626810550689697e-05,,640,444.0,,0.0003603657241910696,0.004814406856894493,0.4945443868637085,0.0,0.0002731950953602791,129.83200025558472,0.7049388289451599
1763260221.7918234,6.430169105529785,45568,0.00016440171748399734,,650,445.0,,0.001965014263987541,-0.004663717932999134,0.5321621298789978,0.0,0.00027273426530882716,131.50310134887695,0.8841074705123901
1763260224.0820544,,46715,,242.0,664,,242.0,,,,,,133.79333233833313,
1763260228.0550046,4.064992427825928,48512,8.717179298400879e-07,,684,446.0,,0.00029687490314245224,-0.00022276677191257477,0.5381670594215393,0.0,0.0002709677501115948,137.76628255844116,-1.4455018043518066
1763260229.087703,2.9347457885742188,49024,5.890056490898132e-05,,689,447.0,,0.001672603189945221,-0.0006970930844545364,0.48166733980178833,0.0,0.0002706605300772935,138.7989809513092,-0.2796754837036133
1763260230.9447212,2.1546711921691895,49920,0.0002022506669163704,,698,447.0,,5.044043064117432e-06,-0.005162428133189678,0.4691396653652191,0.0,0.0002701228950172663,140.65599918365479,0.327240526676178
1763260231.7359288,2.1441798210144043,50304,2.3400411009788513e-05,,702,447.0,,0.0020645558834075928,-0.0021750498563051224,0.5050802230834961,0.0,0.0002698924799915403,141.44720673561096,0.35132092237472534
1763260232.7801416,2.346569538116455,50816,0.0001487378031015396,,707,448.0,,-0.007918469607830048,0.0018234606832265854,0.530609130859375,0.0,0.00026958525995723903,142.4914195537567,-0.19231319427490234
1763260237.4125075,1.3310974836349487,53120,4.8121437430381775e-06,,729,450.0,,-0.0007461113855242729,-0.00035132933408021927,0.4710223376750946,0.0,0.00026820276980288327,147.12378549575806,-3.1367850303649902
1763260243.0160038,546.8460083007812,55936,0.00012070871889591217,,757,452.0,,0.0010046213865280151,-0.002060236409306526,0.5692430138587952,0.0,0.0002665130596142262,152.72728180885315,-0.0014287233352661133
1763260243.9924726,438.21209716796875,56448,0.0009473813697695732,,762,453.0,,0.00967734307050705,0.004656185396015644,0.5081634521484375,0.0,0.00026620583957992494,153.70375061035156,0.017138242721557617
1763260244.9560866,321.9279479980469,56960,0.0004378007724881172,,767,453.0,,-0.0005664452910423279,0.005564493127167225,0.5458360910415649,0.0,0.00026589861954562366,154.66736459732056,-0.005007743835449219
1763260246.7064626,0.09300122410058975,57856,9.662378579378128e-05,,775,454.0,,0.003573266789317131,-0.003268077038228512,0.5406177043914795,0.0,0.0002653609844855964,156.4177405834198,-1.3850083351135254
1763260249.3185663,353.44842529296875,59136,0.00039783772081136703,,788,455.0,,-0.004524265881627798,-0.0022565340623259544,0.5067137479782104,0.0,0.0002645929343998432,159.02984428405762,0.009137153625488281
1763260251.0750062,,60112,,500.0,797,,500.0,,,,,,160.78628420829773,
1763260253.0122056,0.011704637669026852,61056,0.005120714195072651,,806,457.0,,-0.026002515107393265,-0.028428634628653526,0.4642763137817383,0.041015625,0.0002634408592712134,162.72348356246948,-3.0067477226257324
1763260254.8380544,0.0022756485268473625,61952,0.0015495261177420616,,815,457.0,,0.005610086023807526,0.011665401048958302,0.4579290747642517,0.0,0.00026290322421118617,164.5493323802948,-2.5531342029571533
1763260264.4779437,0.003867531195282936,66816,0.00026673171669244766,,863,460.0,,0.0024288594722747803,-0.0037259189411997795,0.5719122290611267,0.0,0.000259984633885324,174.1892216205597,0.06600421667098999
1763260266.2183895,260.7994384765625,67712,0.00012600887566804886,,872,461.0,,0.003276180475950241,-0.00014614779502153397,0.5387772917747498,0.0,0.00025944699882529676,175.92966747283936,-0.00015270709991455078
1763260266.9827008,,68112,,500.0,876,,500.0,,,,,,176.6939787864685,
1763260274.8315997,522.541748046875,72192,0.0012906258925795555,,916,464.0,,0.006531732156872749,0.006895563565194607,0.570682168006897,0.0,0.00025675882352516055,184.54287767410278,0.0003695487976074219
1763260276.0989523,0.001044215401634574,72832,0.003958364017307758,,922,464.0,,-0.008772455155849457,0.02443048357963562,0.5587507486343384,0.00390625,0.00025637479848228395,185.81023025512695,0.5225706696510315
1763260277.6499186,0.001257842406630516,73600,0.003440496511757374,,930,465.0,,0.010722294449806213,0.02247803285717964,0.4882436692714691,0.001953125,0.00025591396843083203,187.36119651794434,-0.894025444984436
1763260279.2184892,0.0009758512605912983,74368,0.0012403083965182304,,938,465.0,,5.386769771575928e-05,-0.0011433092877268791,0.5900018215179443,0.001953125,0.0002554531383793801,188.92976713180542,-0.49244725704193115
1763260279.7425115,468.1416015625,74624,0.0010458678007125854,,941,465.0,,-0.013553385622799397,0.005546869710087776,0.5294469594955444,0.009765625,0.00025529952836222947,189.45378947257996,-0.00031113624572753906
1763260279.9837213,0.00499326316639781,74752,0.0001574316993355751,,942,465.0,,-0.0039390213787555695,0.001347866840660572,0.5291329622268677,0.0,0.00025522272335365415,189.69499921798706,0.02425086498260498
1763260281.2488453,0.0007719878340139985,75392,0.0048912037163972855,,948,465.0,,-0.038400523364543915,0.014849034138023853,0.5464216470718384,0.017578125,0.00025483869831077754,190.96012330055237,0.4369186758995056
1763260286.51969,0.00023093388881534338,78080,0.0003376733511686325,,974,467.0,,0.0011011213064193726,0.002080155536532402,0.4077754020690918,0.0,0.0002532257931306958,196.23096799850464,-1.1718711853027344
1763260287.5439968,,78603,,500.0,980,,500.0,,,,,,197.25527477264404,
1763260288.5417662,532.2360229492188,79104,0.00033150892704725266,,985,467.0,,-0.0007221177220344543,0.005440990440547466,0.4928569793701172,0.00390625,0.00025261135306209326,198.25304412841797,-5.9485435485839844e-05
1763260289.9799237,295.05975341796875,80128,0.0001912759616971016,,995,469.0,,-0.003422260284423828,-0.0017521055415272713,0.47911614179611206,0.0,0.00025199694209732115,199.69120168685913,-6.210803985595703e-05
1763260290.2447379,0.0004438338801264763,80384,0.0007435856387019157,,997,470.0,,-0.010254696011543274,-0.0012029027566313744,0.4442843794822693,0.0,0.0002518433320801705,199.9560158252716,-0.1898210048675537
1763260292.397142,485.3975524902344,82176,9.540468454360962e-05,,1015,475.0,,0.0027559027075767517,0.004576867446303368,0.5470409393310547,0.0,0.00025076806196011603,202.10841989517212,-7.069110870361328e-05
1763260293.3741803,372.7183532714844,82688,0.0005542831495404243,,1020,475.0,,-0.005841836333274841,-0.005367736332118511,0.4920055866241455,0.0,0.00025046084192581475,203.085458278656,-2.2649765014648438e-06
1763260295.4259436,0.005222021136432886,83840,5.3903087973594666e-05,,1031,476.0,,-0.0010702088475227356,0.002136519178748131,0.4818655252456665,0.0,0.00024976959684863687,205.13722157478333,-0.7573428153991699
1763260298.8821394,0.006331645417958498,85760,0.0026248879730701447,,1050,477.0,,0.0006351303309202194,0.004572490230202675,0.46849408745765686,0.0,0.00024861752172000706,208.59341740608215,-0.34783804416656494
1763260299.3830218,,86103,,500.0,1053,,500.0,,,,,,209.0942997932434,
1763260300.326495,,86603,,500.0,1058,,500.0,,,,,,210.03777289390564,
1763260303.1329913,,89103,,500.0,1083,,500.0,,,,,,212.84426927566528,
1763260304.4174848,0.0004424166399985552,89984,0.00032821204513311386,,1091,486.0,,0.00198257714509964,-0.0041889408603310585,0.5169119834899902,0.0,0.0002460829564370215,214.12876272201538,-0.4548407793045044
1763260307.2067256,0.0003473061660770327,91520,0.0012742895632982254,,1106,487.0,,-0.011135242879390717,-0.008723720908164978,0.38719868659973145,0.001953125,0.00024516129633411765,216.91800355911255,-1.9151027202606201
1763260309.261737,551.7503051757812,92672,0.0009379629045724869,,1118,488.0,,0.0005530230700969696,0.0011991765350103378,0.4643319547176361,0.0,0.00024447005125693977,218.97301506996155,3.135204315185547e-05
1763260310.520525,0.000494499399792403,93440,0.0011098477989435196,,1125,488.0,,-0.009098101407289505,0.0015196707099676132,0.510637640953064,0.00390625,0.00024400922120548785,220.23180294036865,-0.03103625774383545
1763260311.6959121,693.3917236328125,94208,0.0002982141450047493,,1133,489.0,,-0.004061296582221985,-0.0017415331676602364,0.5037067532539368,0.0,0.00024354839115403593,221.4071900844574,-0.00015854835510253906
1763260313.487861,0.00012641577632166445,95488,0.00020250771194696426,,1145,492.0,,5.161203444004059e-05,0.001893860287964344,0.568571150302887,0.0,0.00024278034106828272,223.199138879776,-0.7186765670776367
1763260315.5036385,0.0048942118883132935,97280,0.011039136908948421,,1164,496.0,,-0.013057611882686615,-0.006195402704179287,0.5123356580734253,0.021484375,0.00024170507094822824,225.21491646766663,-1.308147668838501
1763260315.6369104,0.0012669743737205863,97408,0.0009006960317492485,,1165,496.0,,-0.005666520446538925,-0.008641165681183338,0.5349985361099243,0.0,0.00024162826593965292,225.34818840026855,-1.1839077472686768
1763260316.410593,255.9288330078125,98048,0.0008408809080719948,,1172,497.0,,-0.0003120638430118561,0.0038845473900437355,0.4252457022666931,0.0,0.00024124424089677632,226.12187099456787,-0.00018715858459472656
1763260317.4054346,,99031,,500.0,1181,,500.0,,,,,,227.11671257019043,
1763260317.9690504,,99531,,500.0,1186,,500.0,,,,,,227.68032836914062,
1763260319.2273326,618.9641723632812,100608,0.0013623479753732681,,1197,503.0,,-0.014979356899857521,0.0027658380568027496,0.5340495109558105,0.001953125,0.00023970814072526991,228.93861055374146,0.0002510547637939453
