losses/old_approx_kl,losses/value_loss,charts/episodic_length,charts/learning_rate,charts/SPS,losses/policy_loss,losses/explained_variance,_timestamp,global_step,charts/episodic_return,_runtime,_step,losses/entropy,losses/approx_kl,losses/clipfrac
0.006078686565160751,0.00036296300822868943,,0.00015860215353313833,617.0,0.004887660965323448,0.13405698537826538,1763260500.9702525,235776,,410.68409848213196,2514,0.5143927335739136,0.00028199516236782074,0.0
0.006949474103748798,0.0002108471089741215,,0.00015852534852456301,618.0,0.003879806026816368,-1.3861703872680664,1763260501.107223,235904,,410.8210690021515,2515,0.5671319961547852,0.0007088771089911461,0.0
,,500.0,,,,,1763260501.596931,236408,500.0,411.31077694892883,2520,,,
-0.0008954638615250587,0.0002814784529618919,,0.00015745007840450853,619.0,-0.005645662546157837,-0.2276824712753296,1763260503.0957224,237696,,412.80956840515137,2533,0.5586886405944824,0.00041379500180482864,0.0
,,500.0,,,,,1763260503.7997985,238408,500.0,413.5136444568634,2540,,,
0.0015414096415042877,0.003005050355568528,,0.00015660522331018,620.0,-0.006740514189004898,0.018396079540252686,1763260504.5890696,239104,,414.3029155731201,2547,0.5752392411231995,0.00019503943622112274,0.0
0.0006207218393683434,0.0029038728680461645,,0.00015514592814724892,623.0,0.0007091052830219269,-0.011393427848815918,1763260507.0703175,241536,,416.7841634750366,2570,0.5755559802055359,0.0002042064443230629,0.0
0.0007045203819870949,0.00027292221784591675,,0.0001550691231386736,623.0,0.00045342743396759033,0.014734327793121338,1763260507.190573,241664,,416.9044189453125,2571,0.5846700072288513,4.4726766645908356e-05,0.0
0.003941858187317848,0.00014809577260166407,,0.00015476190310437232,623.0,-0.006354298442602158,0.001619577407836914,1763260507.687756,242176,,417.4016020298004,2576,0.5548132061958313,0.00020443834364414215,0.0
-0.0028510522097349167,0.00012856730609200895,,0.000154685098095797,623.0,-0.0037088654935359955,-0.09607923030853271,1763260507.8163087,242304,,417.5301547050476,2577,0.534788191318512,0.0005366820842027664,0.0
,,500.0,,,,,1763260510.887051,245408,500.0,420.6008970737457,2608,,,
0.0022293180227279663,0.00294322008267045,,0.00015268816787283868,627.0,-0.0028711259365081787,-0.013480782508850098,1763260511.1303267,245632,,420.84417271614075,2610,0.5416570901870728,0.00016119889914989471,0.0
0.0004423679783940315,0.00017962120182346553,,0.00015145928773563355,629.0,0.001388251781463623,-0.005559086799621582,1763260513.1922717,247680,,422.9061176776886,2630,0.41176849603652954,3.4934841096401215e-05,0.0
0.003274591639637947,8.792250446276739e-05,,0.00015107526269275695,629.0,0.0003732554614543915,-0.04426777362823486,1763260513.8551614,248320,,423.569007396698,2636,0.4461204707622528,2.989731729030609e-05,0.0
-0.00917381327599287,0.00014051182370167226,,0.0001504608226241544,630.0,0.004906952381134033,-3.1935062408447266,1763260515.0561225,249344,,424.7699685096741,2646,0.5024817585945129,0.0005081454291939735,0.0
,,500.0,,,,,1763260515.091711,249408,500.0,424.805557012558,2647,,,
-0.004343342036008835,669.9277954101562,,0.00015038401761557907,630.0,8.196383714675903e-05,-5.030632019042969e-05,1763260515.2122703,249472,,424.92611622810364,2648,0.5236591100692749,0.00013222917914390564,0.0
0.0023475205525755882,0.003680604975670576,,0.00014915515203028917,632.0,-0.004130266606807709,-0.04958152770996094,1763260517.3342164,251520,,427.0480623245239,2668,0.5097292065620422,9.966176003217697e-05,0.0
-0.0005017267540097237,0.0034094383008778095,,0.0001488479319959879,632.0,-0.00445006787776947,-0.0580824613571167,1763260517.8518784,252032,,427.56572437286377,2673,0.5362043380737305,0.00022412743419408798,0.0
0.0006136596202850342,0.000334810494678095,,0.00014823349192738533,633.0,-0.0010125301778316498,-0.04921269416809082,1763260518.9025934,253056,,428.6164393424988,2683,0.5422664880752563,5.124509334564209e-05,0.0
0.0038459468632936478,0.003966932184994221,,0.00014800307690165937,633.0,-0.002561283763498068,0.03096938133239746,1763260519.2725568,253440,,428.98640275001526,2687,0.45736485719680786,0.00010690465569496155,0.0
-0.008335709571838379,0.0001284349273191765,,0.00014784946688450873,634.0,-0.0016639530658721924,-0.12184309959411621,1763260519.5267966,253696,,429.2406425476074,2689,0.5222751498222351,0.00012132339179515839,0.0
0.00045508891344070435,0.003044511191546917,,0.0001476958568673581,634.0,-0.0010622544214129448,-0.02336704730987549,1763260519.8291595,253952,,429.5430054664612,2692,0.5096305012702942,1.5325844287872314e-05,0.0
-0.007908482104539871,0.0010621482506394386,,0.00014523809659294784,637.0,0.0028576403856277466,0.34456175565719604,1763260524.0318098,258048,,433.7456557750702,2732,0.4921264350414276,0.00023810379207134247,0.0
-0.003433636389672756,0.0002181742893299088,,0.00014400921645574272,639.0,-0.007365189492702484,0.12315493822097778,1763260526.2315469,260096,,435.94539284706116,2752,0.591731071472168,0.0004705721512436867,0.0
0.0004106219857931137,0.00011017697397619486,,0.00014370199642144144,639.0,-0.0013220757246017456,0.5358260869979858,1763260526.737945,260608,,436.4517910480499,2757,0.5567094087600708,4.7968700528144836e-05,0.0
0.0013802750036120415,0.00011765967065002769,,0.0001427803363185376,641.0,0.0007514506578445435,-0.017699360847473145,1763260528.3138852,262144,,438.02773118019104,2772,0.6120502948760986,6.604474037885666e-05,0.0
0.0008667940273880959,0.00016438684542663395,,0.00014216589624993503,642.0,-0.006064217537641525,-0.17662370204925537,1763260529.340503,263168,,439.0543489456177,2782,0.5404224395751953,0.00033521559089422226,0.0
,,500.0,,,,,1763260529.3471868,263185,500.0,439.0610327720642,2783,,,
0.0006310930475592613,298.26495361328125,,0.00014155145618133247,642.0,0.0003580264747142792,7.12275505065918e-05,1763260530.345037,264192,,440.05888295173645,2793,0.5706624984741211,3.407243639230728e-05,0.0
-0.0003243638202548027,0.0002802230301313102,,0.00013963133096694946,645.0,0.00012848526239395142,-0.2921876907348633,1763260533.6923935,267392,,443.4062395095825,2824,0.6162960529327393,8.937250822782516e-05,0.0
0.0011952128261327744,0.002347224857658148,,0.00013847925583831966,647.0,-0.002227887511253357,-0.30987274646759033,1763260535.669006,269312,,445.38285207748413,2843,0.6066589951515198,7.442384958267212e-05,0.0
0.00833239033818245,0.0001678084081504494,,0.00013763441529590636,648.0,-0.011995654553174973,0.2469002604484558,1763260537.133157,270720,,446.84700298309326,2857,0.48341888189315796,0.0006666779518127441,0.0
-0.000527634285390377,8.28882257337682e-05,,0.00013609831512439996,650.0,0.0003128163516521454,-0.014078021049499512,1763260539.7229874,273280,,449.43683338165283,2882,0.5505143404006958,7.532071322202682e-05,0.0
0.0008488921448588371,0.002427028026431799,,0.00013563748507294804,650.0,4.703551530838013e-05,-1.3814585208892822,1763260540.4830608,274048,,450.19690680503845,2890,0.5248008370399475,3.4662894904613495e-05,0.0
0.0039635272696614265,0.00015462176816072315,,0.0001343317999271676,652.0,-0.005848988890647888,0.662152886390686,1763260542.705203,276224,,452.4190490245819,2911,0.5628015398979187,0.0003971690312027931,0.0
0.0007738005369901657,0.00015951687237247825,,0.0001328725047642365,654.0,-0.0008762851357460022,0.10526043176651001,1763260545.2615473,278656,,454.9753932952881,2935,0.5509103536605835,4.665926098823547e-06,0.0
0.00033776089549064636,7.699934940319508e-05,,0.000132027649669908,655.0,-0.00409693643450737,0.12351089715957642,1763260546.6965666,280064,,456.41041254997253,2949,0.47964608669281006,0.00011168234050273895,0.0
-0.0016316240653395653,0.00014971189375501126,,0.0001313364045927301,656.0,-0.00013387110084295273,-0.24458467960357666,1763260547.8518648,281216,,457.56571078300476,2960,0.5775499939918518,8.995551615953445e-05,0.0
-0.0009722867980599403,0.00016395915008615702,,0.00013041474448982626,657.0,-0.003103245049715042,0.07215559482574463,1763260549.4171245,282752,,459.13097047805786,2975,0.5439785122871399,0.0003206981346011162,0.0
0.001816154457628727,0.00024496883270330727,,0.00012956988939549774,658.0,-0.0024401918053627014,-1.8341310024261475,1763260550.8457005,284160,,460.5595464706421,2989,0.5895354151725769,0.00011273752897977829,0.0
0.0032989485189318657,0.0030288000125437975,,0.00012910905934404582,659.0,3.262422978878021e-05,0.06235617399215698,1763260551.6494293,284928,,461.3632752895355,2997,0.49739742279052734,0.00011414196342229843,0.0
0.0013562534004449844,455.7193603515625,,0.0001282642042497173,660.0,0.002939261496067047,-0.00038945674896240234,1763260553.1550746,286336,,462.8689205646515,3011,0.5358566641807556,5.811825394630432e-05,0.0
-0.002744968980550766,0.00031518403557129204,,0.00012572965351864696,663.0,-0.00012406986206769943,0.027703583240509033,1763260557.5461466,290560,,467.2599925994873,3051,0.5780302882194519,8.087418973445892e-05,0.0
,,500.0,,,,,1763260557.7079468,290756,500.0,467.4217927455902,3053,,,
0.0022384952753782272,0.00027464813319966197,,0.0001248079934157431,664.0,0.0018828809261322021,-0.19937992095947266,1763260559.163396,292096,,468.8772418498993,3066,0.5120862126350403,9.735114872455597e-05,0.0
-0.008631020784378052,0.0024592981208115816,,0.00012457757839001715,664.0,-0.0057021137326955795,-0.1765669584274292,1763260559.6118374,292480,,469.3256833553314,3070,0.5681530833244324,0.0006015133112668991,0.0
0.0008127111941576004,389.96044921875,,0.00012380952830426395,665.0,-0.004011930897831917,-0.0001043081283569336,1763260560.9451106,293760,,470.65895652770996,3083,0.599383533000946,0.00010983459651470184,0.0
0.0014621885493397713,369.1994323730469,,0.0001228878682013601,666.0,-0.00020465999841690063,7.748603820800781e-07,1763260562.5266154,295296,,472.2404613494873,3098,0.6369117498397827,3.054831176996231e-05,0.0
-0.0032095108181238174,0.0003837868571281433,,0.00012258064816705883,666.0,-0.0033450406044721603,-0.04318106174468994,1763260563.118013,295808,,472.8318588733673,3103,0.5828648805618286,0.0001934599131345749,0.0
