losses/entropy,_step,_timestamp,charts/episodic_length,losses/policy_loss,losses/old_approx_kl,charts/episodic_return,losses/approx_kl,losses/value_loss,_runtime,global_step,losses/clipfrac,charts/learning_rate,losses/explained_variance,charts/SPS
0.6154859662055969,157,1763260110.4604948,,-0.004565469920635223,0.003771737217903137,,0.0009552557021379471,287.839111328125,32.555168867111206,5760,0.0,0.0002966205938719213,0.15320128202438354,884.0
,172,1763260111.1785243,47.0,,,47.0,,,33.27319836616516,6555,,,,
0.6005555987358093,195,1763260112.614572,,0.00015610083937644958,0.00040889810770750046,,1.237727701663971e-06,203.96510314941406,34.70924615859985,7936,0.0,0.00029531490872614086,0.1708775758743286,915.0
0.5808347463607788,203,1763260113.308565,,0.001483529806137085,-0.0018043424934148788,,2.7894973754882812e-05,687.8333129882812,35.403239011764526,8448,0.0,0.0002950076886918396,0.018262088298797607,902.0
0.5730443000793457,213,1763260113.8220823,,-0.00046515464782714844,0.00028032809495925903,,0.0002005118876695633,216.557373046875,35.91675639152527,8960,0.0,0.0002947004686575383,0.07094436883926392,907.0
0.5836740136146545,217,1763260114.1030135,,-0.0009013339877128601,-0.00154914241284132,,9.615905582904816e-06,292.5517272949219,36.19768762588501,9216,0.0,0.00029454685864038765,-0.005618929862976074,907.0
0.5654720664024353,228,1763260114.6106968,,-0.0021480321884155273,-7.735937833786011e-05,,6.245635449886322e-05,382.09210205078125,36.70537090301514,9728,0.0,0.0002942396386060864,0.04245316982269287,912.0
0.597730278968811,233,1763260114.8563337,,0.004934338852763176,-0.000428270548582077,,0.00028216652572155,147.165771484375,36.95100784301758,9984,0.0,0.00029408602858893573,0.008259475231170654,915.0
,251,1763260115.847745,108.0,,,108.0,,,37.94241905212402,11096,,,,
0.5837402939796448,259,1763260116.4200425,,0.011694671586155891,0.0019355285912752151,,0.00186857208609581,532.558349609375,38.51471662521362,11648,0.0,0.00029308756347745657,0.1779026985168457,933.0
,265,1763260116.6603842,84.0,,,84.0,,,38.75505828857422,11948,,,,
0.5608186721801758,273,1763260117.0967133,,0.007250703871250153,-0.0018725385889410973,,0.0008490728214383125,277.5340270996094,39.19138741493225,12416,0.0,0.00029262673342600465,0.3254747986793518,944.0
,274,1763260117.1316156,191.0,,,191.0,,,39.22628974914551,12522,,,,
,292,1763260118.3143523,363.0,,,363.0,,,40.40902638435364,13792,,,,
0.5921347737312317,321,1763260120.1387148,,0.001213259994983673,-0.0007072743028402328,,5.381926894187927e-05,60.32695770263672,42.233388900756836,15744,0.0,0.0002906298032030463,0.6640419363975525,972.0
,327,1763260120.386566,199.0,,,199.0,,,42.481240034103394,16059,,,,
0.614834725856781,330,1763260120.6329305,,-0.0039058253169059753,0.0026602735742926598,,2.879183739423752e-05,64.74491882324219,42.72760462760925,16256,0.0,0.00029032258316874504,0.7417113184928894,974.0
0.5664645433425903,332,1763260120.7442763,,-0.0018452703952789307,0.0017463881522417068,,3.331713378429413e-05,180.367431640625,42.838950395584106,16384,0.0,0.0002902457781601697,0.30944716930389404,975.0
0.5765215158462524,337,1763260120.9747546,,0.0013141222298145294,0.0010256776586174965,,1.706089824438095e-05,63.51485824584961,43.06942868232727,16640,0.0,0.0002900921681430191,0.29273152351379395,977.0
,340,1763260121.1005101,127.0,,,127.0,,,43.19518423080444,16807,,,,
0.5417242646217346,370,1763260122.8684661,,-0.001026894897222519,0.0016276240348815918,,2.76956707239151e-05,248.62472534179688,44.96314024925232,18688,0.0,0.00028886328800581396,0.0033012032508850098,987.0
,375,1763260123.105552,86.0,,,86.0,,,45.200226068496704,18979,,,,
,396,1763260124.3794844,67.0,,,67.0,,,46.47415852546692,20384,,,,
,425,1763260126.4856143,168.0,,,168.0,,,48.58028841018677,22674,,,,
0.5384801626205444,441,1763260127.7350526,,-0.013640724122524261,0.009979833848774433,,0.0014009131118655205,133.07574462890625,49.829726696014404,24064,0.0,0.0002856374776456505,0.30093032121658325,1011.0
0.5240363478660583,450,1763260128.3377233,,-0.0005353093147277832,0.0005815532058477402,,1.5614554286003113e-05,58.306827545166016,50.43239736557007,24704,0.0,0.0002852534526027739,0.7543323636054993,1012.0
,471,1763260130.112017,494.0,,,494.0,,,52.20669102668762,26741,,,,
0.5807963013648987,481,1763260130.9585884,,0.000796707347035408,-0.0026609478518366814,,6.911996752023697e-05,205.1236114501953,53.05326247215271,27648,0.0,0.00028348693740554154,0.07499247789382935,1023.0
