_timestamp,losses/old_approx_kl,global_step,losses/entropy,charts/learning_rate,losses/clipfrac,charts/SPS,_runtime,losses/approx_kl,losses/policy_loss,charts/episodic_length,charts/episodic_return,_step,losses/value_loss,losses/explained_variance
1763260263.3367724,0.0033651078119874,94080,0.4745710492134094,0.00024362519616261125,0.0,625.0,184.8065505027771,0.00169269647449255,-0.00819360464811325,,,1234,0.007781608030200005,0.14123183488845825
1763260264.7126799,,95348,,,,,186.18245792388916,,,500.0,500.0,1245,,
1763260265.8592963,-0.011353683657944202,96256,0.561523973941803,0.0002423195110168308,0.0,629.0,187.32907438278198,0.0028833234682679176,-0.0025932900607585907,,,1254,0.00018514454131945968,0.2150617241859436
1763260267.8530018,0.005386591888964176,97920,0.5564563870429993,0.00024132104590535164,0.0,632.0,189.32277989387512,0.0001416606828570366,-0.004357093945145607,,,1271,1121.825439453125,-0.0002484321594238281
1763260271.1904857,,100848,,,,,192.66026377677917,,,500.0,500.0,1299,,
1763260275.0950565,,104848,,,,,196.56483459472656,,,500.0,500.0,1339,,
1763260275.2460384,-0.0009306352585554123,104960,0.5270999670028687,0.00023709677043370903,0.0,646.0,196.71581649780273,0.00031742267310619354,-0.00233381986618042,,,1340,357.16607666015625,-7.62939453125e-05
1763260276.359184,0.0032242247834801674,105856,0.4547513425350189,0.00023655913537368178,0.0,647.0,197.82896208763123,0.000620807521045208,0.006842099130153656,,,1349,1953.5615234375,0.009966552257537842
1763260278.1222758,,107322,,,,,199.59205389022827,,,500.0,500.0,1363,,
1763260278.4021063,3.765895962715149e-05,107520,0.5071375370025635,0.00023556067026220262,0.0,649.0,199.8718843460083,0.001117996871471405,-0.013122409582138062,,,1365,0.008913015946745872,-0.11442172527313232
1763260279.014266,-0.0033240988850593567,108032,0.5102466344833374,0.00023525345022790134,0.0,650.0,200.4840440750122,0.00019429251551628113,-0.000604383647441864,,,1370,0.003640590701252222,-0.017922520637512207
1763260280.2329335,-0.0006079971790313721,109056,0.49601906538009644,0.00023463901015929878,0.0,651.0,201.70271158218384,0.00044954754412174225,-0.006553053855895996,,,1380,0.00540000619366765,-0.0021287202835083008
1763260280.375892,0.0011160075664520264,109184,0.5635325312614441,0.00023456220515072346,0.0,652.0,201.8456699848175,0.00022058375179767609,-0.001226663589477539,,,1381,0.0011410004226490855,0.002678990364074707
1763260281.179313,0.004480208270251751,109824,0.5712747573852539,0.00023417819465976208,0.0,652.0,202.64909100532532,0.00017122086137533188,-0.0019135847687721252,,,1388,2002.306640625,0.00010645389556884766
1763260282.1093988,0.007508126087486744,110592,0.47866421937942505,0.00023371736460831016,0.0,653.0,203.579176902771,0.00021750014275312424,-0.004407413303852081,,,1395,0.0008971501374617219,0.4898459315299988
1763260282.563449,-0.0024901526048779488,110976,0.5316416025161743,0.0002334869495825842,0.001953125,654.0,204.0332269668579,0.0031561506912112236,-0.015296068042516708,,,1399,0.006519131828099489,0.22231662273406982
1763260283.2963414,0.005761350505053997,111616,0.5988613367080688,0.0002331029245397076,0.0,655.0,204.76611948013306,0.001116984523832798,0.0066065676510334015,,,1405,0.0015441668219864368,-0.06202542781829834
1763260285.776029,-0.004304312169551849,114304,0.4949664771556854,0.00023149001935962588,0.0,661.0,207.24580717086792,0.0004944968968629837,-0.00031173601746559143,,,1432,205.3780975341797,-0.0005457401275634766
1763260285.8872514,0.0021670665591955185,114432,0.46708860993385315,0.00023141321435105056,0.0,661.0,207.3570294380188,0.0006531961262226105,-0.013192512094974518,,,1433,0.00459894398227334,0.11112231016159058
1763260287.8908925,,116709,,,,,209.36067056655884,,,500.0,500.0,1455,,
1763260287.9690747,0.0057464707642793655,116736,0.545932412147522,0.0002300307241966948,0.0,666.0,209.43885278701782,0.00016853399574756622,-0.0015739202499389648,,,1456,1429.5179443359375,0.00031065940856933594
1763260288.082224,0.02029666118323803,116864,0.4737452268600464,0.00022995391918811947,0.001953125,667.0,209.552001953125,0.0021129706874489784,-0.011098410934209824,,,1457,0.005034279078245163,0.15038400888442993
1763260294.418121,,122709,,,,,215.88789916038513,,,500.0,500.0,1514,,
