charts/learning_rate,global_step,charts/episodic_return,losses/explained_variance,losses/policy_loss,losses/old_approx_kl,_step,_timestamp,charts/SPS,losses/clipfrac,losses/approx_kl,charts/episodic_length,losses/entropy,losses/value_loss,_runtime
,129726,500.0,,,,1534,1763260304.1993234,,,,500.0,,,225.67060136795044
0.00022211982286535203,129920,,0.4981560707092285,-0.0010327640920877457,0.004817701876163483,1536,1763260304.402775,678.0,0.0,4.513934254646301e-05,,0.5115249156951904,0.006113265175372362,225.8740530014038
0.0002216589928139001,130688,,0.2615163326263428,0.029350660741329193,-0.027359971776604652,1543,1763260305.1071985,680.0,0.041015625,0.010711992159485817,,0.5162413716316223,0.0005379825597628951,226.5784764289856
0.0002215821878053248,130816,,0.001077115535736084,0.022167131304740906,-0.0032203979790210724,1545,1763260305.2200809,680.0,0.0,0.0019068717956542969,,0.5213150382041931,891.9676513671875,226.69135880470276
0.00022150538279674947,130944,,-0.2853670120239258,-0.01418258622288704,0.011791745200753212,1546,1763260305.332294,680.0,0.0,0.0008796192705631256,,0.4720567464828491,0.010225039906799793,226.80357193946838
0.00022073733271099627,132224,,-1.5295751094818115,-0.008352946490049362,0.014693064615130424,1558,1763260306.490572,683.0,0.0,0.001502377912402153,,0.5585672855377197,0.0015788950258865952,227.96184992790222
,132226,500.0,,,,1559,1763260306.493241,,,,500.0,,,227.96451902389526
,132726,500.0,,,,1563,1763260306.9058368,,,,500.0,,,228.37711477279663
0.00022027650265954435,132992,,0.21952372789382935,-0.007746335119009018,0.022398725152015686,1566,1763260307.204634,684.0,0.001953125,0.004401440732181072,,0.503419816493988,0.001478719525039196,228.67591190338135
,135226,500.0,,,,1588,1763260309.2045066,,,,500.0,,,230.6757845878601
0.00021889401250518858,135296,,0.005102396011352539,-0.0013298094272613525,-0.013578592799603939,1589,1763260309.2976174,689.0,0.001953125,0.0019229380413889885,,0.45123931765556335,1372.180419921875,230.76889538764954
0.00021835637744516134,136192,,-61.76108932495117,-0.02108011394739151,0.01673903688788414,1597,1763260310.1182299,690.0,0.03125,0.006074938923120499,,0.40586474537849426,0.0037657825741916895,231.58950781822205
0.00021774193737655878,137216,,-2.4029340744018555,-0.0005997717380523682,-0.004278445616364479,1607,1763260311.050677,692.0,0.0,0.0005280449986457825,,0.5262817144393921,0.0020194428507238626,232.52195501327515
0.00021766513236798346,137344,,0.002047300338745117,-0.0001512095332145691,0.0016747331246733665,1609,1763260311.1643012,692.0,0.0,0.0005751261487603188,,0.5205115675926208,152.02597045898438,232.6355791091919
0.00021758832735940814,137472,,-0.3474771976470947,-0.0022228509187698364,0.0038562892004847527,1610,1763260311.2770076,693.0,0.0,3.8594938814640045e-05,,0.5164767503738403,0.004296320956200361,232.74828553199768
,137726,500.0,,,,1612,1763260311.4321504,,,,500.0,,,232.90342831611633
0.00021658986224792898,139136,,-1.9999430179595947,0.0007605329155921936,0.008525237441062927,1626,1763260312.8152084,696.0,0.0,0.0017931032925844193,,0.5501266121864319,0.0013523083180189133,234.2864863872528
0.0002158986171707511,140288,,0.0020231008529663086,0.00011659786105155945,0.0025585098192095757,1638,1763260313.872092,698.0,0.0,0.0003643231466412544,,0.513365626335144,1572.54052734375,235.3433699607849
0.0002129032218363136,145280,,0.0012892484664916992,-0.010446600615978241,0.00029222574084997177,1687,1763260319.2815127,704.0,0.0,0.0021650241687893867,,0.4754783511161804,1365.4434814453125,240.75279068946838
0.0002101382560795173,149888,,0.11193639039993286,-0.018318865448236465,0.00666029192507267,1732,1763260325.1653352,706.0,0.0,0.0010215546935796738,,0.4965164065361023,0.01073326263576746,246.63661313056946
,151226,500.0,,,,1745,1763260326.7790663,,,,500.0,,,248.25034427642822
0.00020883257093373686,152064,,0.03184598684310913,-0.004921473562717438,-0.01606380008161068,1753,1763260327.566862,708.0,0.017578125,0.002857612445950508,,0.507415235042572,0.0020021391101181507,249.03814005851746
0.00020875576592516154,152192,,-0.4160882234573364,-0.006788484752178192,-0.003466784954071045,1754,1763260327.6778715,708.0,0.0,0.002524258568882942,,0.4785907566547394,0.0015087425708770752,249.1491494178772
,153226,500.0,,,,1765,1763260328.7788787,,,,500.0,,,250.25015664100647
0.00020791091083083302,153600,,-0.3500232696533203,0.007854510098695755,-0.0016278279945254326,1768,1763260329.3207102,709.0,0.0,0.0003257235512137413,,0.5074411630630493,0.0026431060396134853,250.79198813438416
