_step,_runtime,global_step,_timestamp,charts/episodic_length,charts/episodic_return,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss
698,67.77370691299438,42880,1763260137.310386,,,7.099844515323639e-05,0.9740286469459534,0.0011042635887861252,0.0,-0.0004582330584526062,0.4929521679878235,0.0002743471704889089,1032.0,38.11474609375
702,68.11118292808533,43264,1763260137.647862,,,2.366863191127777e-05,0.07118582725524902,0.0012392271310091019,0.0,0.0009620357304811478,0.5037896633148193,0.0002741167554631829,1033.0,133.88331604003906
707,68.45231413841248,43648,1763260137.9889932,,,7.75698572397232e-06,0.9492142796516418,-0.001702931709587574,0.0,0.0004955902695655823,0.5069184899330139,0.00027388634043745697,1033.0,14.992218971252441
729,70.00878477096558,45391,1763260139.5454638,332.0,332.0,,,,,,,,,
757,72.40869379043579,48000,1763260141.9453728,,,2.047792077064514e-05,-0.021756410598754883,0.0004911553114652634,0.0,-0.00012682192027568817,0.49866968393325806,0.0002712749701458961,1039.0,79.63314819335938
762,72.85965538024902,48512,1763260142.3963344,,,0.000512254424393177,-0.8978559970855713,0.0018828613683581352,0.0,-0.01145145297050476,0.46274515986442566,0.0002709677501115948,1040.0,234.6448974609375
767,73.2804012298584,48938,1763260142.8170803,240.0,240.0,,,,,,,,,
775,73.9413001537323,49664,1763260143.4779792,,,9.327847510576248e-05,0.29668283462524414,0.00269386637955904,0.0,-1.4452263712882996e-05,0.4662710428237915,0.0002702765050344169,1041.0,97.01020050048828
788,75.08988952636719,50944,1763260144.6265686,,,0.007056469097733498,-0.30282163619995117,-0.030232679098844528,0.025390625,-0.023912351578474045,0.4643556475639343,0.0002695084549486637,1042.0,79.95906066894531
797,76.00662302970886,51840,1763260145.543302,,,0.011691206134855747,0.7955162525177002,-0.039230868220329285,0.01953125,0.0015466958284378052,0.5093427300453186,0.00026897081988863647,1041.0,161.70152282714844
806,76.88819289207458,52736,1763260146.424872,,,0.0012459205463528633,0.26294082403182983,-0.009712168015539646,0.0,-0.005713861435651779,0.46012115478515625,0.00026843318482860923,1041.0,28.22653579711914
815,77.7101559638977,53632,1763260147.246835,,,3.3214688301086426e-05,0.12389928102493286,0.0010787174105644226,0.0,0.0013915784657001495,0.5078063607215881,0.000267895549768582,1041.0,55.014923095703125
863,82.06566953659058,58368,1763260151.6023486,,,3.0295923352241516e-05,0.3894783854484558,0.0030457396060228348,0.0,0.0027433931827545166,0.5102810859680176,0.00026505376445129514,1045.0,20.390674591064453
872,82.88674092292786,59264,1763260152.42342,288.0,288.0,0.004706859588623047,0.7192283868789673,-0.000630582682788372,0.0,0.0010998845100402832,0.5646460652351379,0.0002645161293912679,1046.0,389.1585693359375
876,83.22812247276306,59648,1763260152.7648015,,,6.596092134714127e-05,0.9691528677940369,-0.0007076198235154152,0.0,0.0033254679292440414,0.5478360056877136,0.00026428571436554193,1046.0,0.9642965197563171
922,87.21562576293945,64000,1763260156.7523048,,,0.0006213830783963203,-0.037247419357299805,0.00778419803828001,0.001953125,-0.0014800280332565308,0.5367186665534973,0.00026167434407398105,1049.0,9.699810981750488
930,87.92171549797058,64768,1763260157.4583945,,,0.0005329959094524384,-0.009150505065917969,-0.0032102763652801514,0.0,0.007143303751945496,0.5483240485191345,0.0002612135140225291,1049.0,607.3335571289062
938,88.60160732269287,65536,1763260158.1382864,,,5.0146132707595825e-05,0.06508767604827881,-0.00027360767126083374,0.0,-0.0007504522800445557,0.5670576691627502,0.0002607526839710772,1050.0,8.156318664550781
941,88.86417984962463,65792,1763260158.4008589,,,8.558854460716248e-07,0.09954732656478882,8.670147508382797e-05,0.0,0.0002691596746444702,0.5467658638954163,0.00026059907395392656,1050.0,5.020640850067139
942,88.97760844230652,65920,1763260158.5142875,,,7.737521082162857e-05,-0.10420584678649902,0.004075436852872372,0.0,0.0014840736985206604,0.5771487951278687,0.00026052226894535124,1050.0,4.759787559509277
948,89.46554493904114,66546,1763260159.002224,500.0,500.0,,,,,,,,,
974,91.8938238620758,69120,1763260161.430503,,,0.00043654534965753555,0.0006974339485168457,0.0007976097986102104,0.0,0.0005844831466674805,0.6139618754386902,0.00025860214373096824,1052.0,1544.737548828125
980,92.45960235595703,69760,1763260161.9962814,,,0.00019585341215133667,0.28231507539749146,-0.002519516274333,0.0,-0.005842432379722595,0.5590792894363403,0.00025821811868809164,1053.0,0.9091171026229858
985,92.94323182106018,70272,1763260162.4799109,,,0.00015832670032978058,-0.2600821256637573,-0.0015166737139225006,0.0,-0.001935373991727829,0.5550940036773682,0.00025791089865379035,1053.0,0.8816528916358948
995,93.84179353713989,71296,1763260163.3784726,,,0.00012563914060592651,-0.2219029664993286,0.00017439574003219604,0.0,-0.0016407035291194916,0.5379042625427246,0.0002572964585851878,1054.0,0.2740767300128937
997,94.00165963172913,71453,1763260163.5383387,500.0,500.0,,,,,,,,,
1015,95.72254586219788,73344,1763260165.259225,,,1.3394281268119812e-05,0.03479659557342529,0.00017454102635383606,0.0,-0.0007553324103355408,0.5332212448120117,0.00025606757844798267,1055.0,0.0003954450075980276
