losses/entropy,charts/episodic_return,losses/explained_variance,charts/learning_rate,losses/old_approx_kl,losses/value_loss,_runtime,losses/policy_loss,_timestamp,losses/approx_kl,losses/clipfrac,global_step,charts/episodic_length,_step,charts/SPS
0.4908015727996826,,0.0007608532905578613,0.00014562212163582444,0.0027485135942697525,1119.6859130859375,360.9988486766815,-0.0005800798535346985,1763260439.5399888,3.924034535884857e-05,0.0,257408,,2752,788.0
0.5083617568016052,,0.0002709627151489258,0.00014531490160152316,3.7581659853458405e-05,1243.9873046875,361.49212527275085,0.00251811183989048,1763260440.0332654,0.00018146168440580368,0.0,257920,,2757,788.0
0.5063611268997192,,0.00015288591384887695,0.00014439324149861932,-0.0006473436951637268,927.239501953125,362.9057831764221,0.0013339724391698837,1763260441.4469233,5.630403757095337e-05,0.0,259456,,2772,789.0
0.4946310520172119,,0.31522077322006226,0.00014377880143001676,0.0009447308257222176,0.003967489115893841,363.8538455963135,-0.009214416146278381,1763260442.3949857,0.0004577161744236946,0.0,260480,,2782,790.0
0.4973268210887909,,-0.049428701400756836,0.00014370199642144144,-0.0017041293904185295,0.0009735298808664083,363.96970868110657,-0.006441883742809296,1763260442.5108488,0.0027374615892767906,0.0,260608,,2783,790.0
0.5291698575019836,,-0.015278458595275879,0.00014308755635283887,-0.00252541434019804,0.0010709542548283935,364.9222240447998,-0.014552891254425049,1763260443.4633641,0.0023857606574892998,0.001953125,261632,,2793,791.0
0.5015726685523987,,0.21581906080245972,0.00014116743113845587,0.026506438851356506,0.00014622703019995242,367.8974642753601,0.00011038035154342651,1763260446.4386044,0.0029015876352787018,0.001953125,264832,,2824,794.0
0.5100122690200806,,-1.3234100341796875,0.00014001535600982606,0.0008861944079399109,0.0008298933389596641,369.6487319469452,-0.007932629436254501,1763260448.189872,0.0030110739171504974,0.0,266752,,2843,795.0
0.43891847133636475,,0.04716753959655762,0.00013917050091549754,0.0012533217668533325,0.0005400882801041007,370.98353242874146,0.002613566815853119,1763260449.5246725,0.00018708966672420502,0.0,268160,,2857,796.0
0.444088876247406,,0.2312854528427124,0.00013763441529590636,0.0017547467723488808,0.0003558400785550475,373.34580278396606,0.002200216054916382,1763260451.8869429,1.5749596059322357e-05,0.0,270720,,2882,798.0
0.5186945796012878,,0.7735463380813599,0.00013717358524445444,0.009367630816996098,0.003447942901402712,374.06966829299927,-0.009787645190954208,1763260452.6108084,0.0019531669095158577,0.0,271488,,2890,799.0
0.5039466619491577,,0.1693848967552185,0.000135867900098674,-0.006666294299066067,0.0005595707916654646,376.0827386379242,-0.012634443119168282,1763260454.6238787,0.0014637121930718422,0.0,273664,,2911,801.0
0.5455746650695801,,0.10033708810806274,0.00013440860493574291,0.0023277560248970985,0.00479438342154026,378.3809988498688,-0.00018325448036193848,1763260456.922139,0.00013999547809362411,0.0,276096,,2935,802.0
0.5385969281196594,,0.6947768330574036,0.0001335637498414144,-0.009113186039030552,0.0031402341555804014,379.67918729782104,-0.0008191764354705811,1763260458.2203274,0.0006313147023320198,0.0,277504,,2949,803.0
0.4824198782444,,0.08341854810714722,0.0001328725047642365,0.001762482337653637,0.0006910028168931603,380.7434792518616,-0.002887412905693054,1763260459.2846193,0.0009725866839289665,0.0,278656,,2960,804.0
0.4500024616718292,,-0.04814469814300537,0.00013195084466133267,-0.0019391048699617386,0.0010511419968679547,382.15136337280273,-0.003258436918258667,1763260460.6925035,8.118338882923126e-05,0.0,280192,,2975,805.0
0.5286630392074585,,-0.07356035709381104,0.00013110598956700414,0.00038229674100875854,0.0019947157707065344,383.849237203598,-0.010716013610363007,1763260462.3903773,0.0008613094687461853,0.0,281600,,2989,805.0
0.583620011806488,,9.542703628540039e-05,0.00013064515951555222,0.006135302595794201,1590.3466796875,384.8456497192383,-0.0022116973996162415,1763260463.3867898,0.0006713559851050377,0.0,282368,,2997,805.0
,500.0,,,,,386.30184626579285,,1763260464.8429863,,,283849,500.0,3011,
0.5705180168151855,,0.004562556743621826,0.00012734254414681345,-0.0033709928393363953,1264.15966796875,391.20333766937256,0.010680031031370163,1763260469.7444777,0.0012771710753440857,0.0,287872,,3051,806.0
0.5941011905670166,,0.9462941884994507,0.0001271889341296628,0.00044744275510311127,0.0009832201758399606,391.43120980262756,0.0016016215085983276,1763260469.97235,8.25878232717514e-05,0.0,288128,,3053,807.0
0.5438433885574341,,0.004899919033050537,0.0001264208840439096,0.00035145971924066544,1440.74853515625,392.61823296546936,0.0005526542663574219,1763260471.159373,4.197750240564346e-05,0.0,289408,,3066,808.0
,500.0,,,,,393.0136420726776,,1763260471.5547822,,,289849,500.0,3070,
0.4465180039405823,,0.47268468141555786,0.00012534562847577035,0.014283610507845879,0.0026388061232864857,394.28860211372375,-0.009224994108080864,1763260472.8297422,0.0011470131576061249,0.001953125,291200,,3083,809.0
0.5111492872238159,,0.11968839168548584,0.0001244239683728665,0.028259817510843277,0.0005106072057969868,395.69989585876465,-0.011242568492889404,1763260474.241036,0.004058290272951126,0.001953125,292736,,3098,810.0
0.48118165135383606,,0.04232752323150635,0.00012411674833856523,0.0034933770075440407,0.0004915035096928477,396.20106863975525,0.004444437101483345,1763260474.7422087,0.0003022952005267143,0.0,293248,,3103,810.0
0.4769272804260254,,0.33799999952316284,0.00012265745317563415,0.0008377218618988991,0.0015546970535069704,398.4616861343384,0.002105075865983963,1763260477.0028262,0.00013522710651159286,0.0,295680,,3127,812.0
,500.0,,,,,398.5921587944031,,1763260477.1332989,,,295849,500.0,3129,
0.5221615433692932,,0.5740042328834534,0.00012181259808130562,-0.0073900287970900536,0.0024128020741045475,399.7604410648346,-0.02708849310874939,1763260478.3015811,0.0040862103924155235,0.0,297088,,3141,813.0
0.5254356861114502,,-4.936362266540527,0.00012165898806415498,-0.009629158303141594,0.000440875010099262,399.9874861240387,-0.031359363347291946,1763260478.5286262,0.005153529345989227,0.00390625,297344,,3143,813.0
0.5740907192230225,,-0.12725377082824707,0.00012150537804700434,-0.0045546311885118484,0.0008992755901999772,400.2577393054962,-0.0015505477786064148,1763260478.7988794,0.0004204902797937393,0.0,297600,,3146,813.0
0.511968731880188,,0.7123161554336548,0.0001205837179441005,-0.02544880472123623,0.0009994830470532179,401.672167301178,0.013958819210529327,1763260480.2133074,0.0031443610787391663,0.00390625,299136,,3161,814.0
0.5708602666854858,,0.8413572907447815,0.00012004608288407326,0.002056627534329891,0.003616007976233959,402.516845703125,-0.011271059513092041,1763260481.0579858,0.0013302592560648918,0.0,300032,,3170,815.0
,500.0,,,,,403.7170515060425,,1763260482.2581916,,,301349,500.0,3183,
,500.0,,,,,404.1749713420868,,1763260482.7161114,,,301849,500.0,3188,
,500.0,,,,,406.97467708587646,,1763260485.5158172,,,304849,500.0,3217,
0.5525685548782349,,0.5439479351043701,0.0001167434747912921,-3.282446414232254e-05,0.0036155087873339653,407.6643626689911,0.00041068345308303833,1763260486.2055027,0.00013955961912870407,0.0,305536,,3224,818.0
,500.0,,,,,409.80922508239746,,1763260488.3503652,,,307849,500.0,3247,
0.5296900868415833,,-0.024759769439697266,0.00011513056961121038,-0.0034603290259838104,0.00149734562728554,410.1511573791504,-0.003459108527749777,1763260488.6922975,0.00023734383285045624,0.0,308224,,3250,820.0
0.522991955280304,,-0.0005323886871337891,0.00011505376460263506,0.006051904521882534,1790.6148681640625,410.2686038017273,-0.006528280675411224,1763260488.809744,0.0004984820261597633,0.0,308352,,3252,820.0
0.5218545198440552,,-1.6965153217315674,0.0001148233495769091,0.00032593682408332825,0.001975351246073842,410.64194989204407,0.0008449926972389221,1763260489.18309,0.00019829906523227692,0.0,308736,,3255,820.0
0.523462176322937,,0.17419099807739258,0.00011459293455118313,0.004213414154946804,0.0013050385750830173,410.9929127693176,-0.015514778904616833,1763260489.5340528,0.0004526721313595772,0.0,309120,,3259,820.0
