_runtime,charts/SPS,losses/entropy,charts/episodic_return,losses/explained_variance,losses/policy_loss,_step,global_step,losses/approx_kl,charts/episodic_length,charts/learning_rate,losses/value_loss,losses/old_approx_kl,losses/clipfrac,_timestamp
48.064616680145264,376.0,0.611761212348938,,-0.0007476806640625,-0.003956783562898636,195,8576,3.930181264877319e-05,,0.00029493088368326426,89.829833984375,0.0022178348153829575,0.0,1763260124.2277927
48.9191780090332,,,36.0,,,203,8999,,36.0,,,,,1763260125.082354
50.0214684009552,,,70.0,,,213,9598,,70.0,,,,,1763260126.1846445
50.711623668670654,387.0,0.584961473941803,,0.3857530355453491,0.0011443793773651123,217,9856,4.4051557779312134e-05,,0.00029416283359751105,198.8622589111328,-0.0034140683710575104,0.0,1763260126.8747997
52.109400510787964,,,143.0,,,228,10516,,143.0,,,,,1763260128.2725766
52.67431354522705,392.0,0.5503343939781189,,-0.002110719680786133,0.00028677284717559814,233,10752,1.8030405044555664e-06,,0.0002936251985374838,263.0191955566406,-0.0006224252283573151,0.0,1763260128.8374896
55.00814700126648,400.0,0.5867268443107605,,-0.01330721378326416,-0.00014335662126541138,251,11904,2.085138112306595e-05,,0.00029293395346030593,667.2824096679688,-0.0009806947782635689,0.0,1763260131.171323
56.06243920326233,399.0,0.5327028036117554,,-0.009055376052856445,-0.0028433045372366905,259,12288,4.006270319223404e-05,,0.00029270353843457997,65.40241241455078,-0.0007126098498702049,0.0,1763260132.2256153
57.01594662666321,399.0,0.6042348146438599,,0.2348812222480774,-0.015988066792488098,265,12672,0.004791008308529854,,0.000292473123408854,160.8985137939453,0.01513347215950489,0.01953125,1763260133.1791227
58.050827503204346,,,144.0,,,273,13158,,144.0,,,,,1763260134.2140036
58.270686864852905,399.0,0.5879295468330383,,0.1902570128440857,-0.005225799977779388,274,13184,0.00021106284111738205,,0.0002921659033745527,114.33979797363281,0.006027878262102604,0.0,1763260134.433863
60.89420700073242,395.0,0.5870217084884644,,0.29732853174209595,0.0007735155522823334,292,14080,4.3198466300964355e-05,,0.0002916282683145255,123.94060516357422,3.870576620101929e-05,0.0,1763260137.057383
65.01276516914368,,,116.0,,,321,15560,,116.0,,,,,1763260141.1759412
65.90820002555847,390.0,0.6066678762435913,,0.6289477348327637,-0.007226437330245972,327,15872,0.00023293960839509964,,0.000290552998194471,144.18882751464844,0.008434019051492214,0.0,1763260142.071376
66.23085880279541,,,78.0,,,330,16008,,78.0,,,,,1763260142.3940349
66.52582240104675,,,123.0,,,332,16131,,123.0,,,,,1763260142.6889985
67.38218331336975,392.0,0.6285544037818909,,0.35655444860458374,-0.025844980031251907,337,16512,0.002133733592927456,,0.0002901689731515944,305.2336120605469,0.008762610144913197,0.0,1763260143.5453594
67.73315572738647,,,162.0,,,340,16699,,162.0,,,,,1763260143.8963318
72.90250039100647,400.0,0.5970679521560669,,0.06880807876586914,-0.0006258338689804077,370,19072,1.4137476682662964e-06,,0.000288632872980088,424.3935241699219,0.0003728903830051422,0.0,1763260149.0656765
76.88919711112976,404.0,0.6063696146011353,,0.1613149642944336,-0.01075313612818718,396,20864,0.0010881433263421059,,0.0002875576028600335,338.25836181640625,-0.004579947330057621,0.0,1763260153.0523732
81.6507887840271,,,154.0,,,425,23082,,154.0,,,,,1763260157.8139648
84.21026563644409,410.0,0.6262841820716858,,0.030695080757141113,-0.0007394291460514069,441,24192,1.0551884770393372e-06,,0.0002855606726370752,341.54998779296875,0.0004233820363879204,0.0,1763260160.3734417
85.2850251197815,,,56.0,,,450,24685,,56.0,,,,,1763260161.4482012
88.43590474128723,411.0,0.6191960573196411,,0.12964469194412231,0.0005890242755413055,471,25984,2.2295862436294556e-06,,0.0002844854025170207,207.52940368652344,-0.0001731235533952713,0.0,1763260164.5990808
89.69405436515808,,,105.0,,,481,26548,,105.0,,,,,1763260165.8572304
90.94367265701294,,,95.0,,,490,27102,,95.0,,,,,1763260167.1068487
