_step,_runtime,global_step,_timestamp,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss,charts/episodic_length,charts/episodic_return
217,34.600608587265015,8855,1763260104.1158345,,,,,,,,,,362.0,362.0
228,35.66268277168274,9728,1763260105.1779087,3.7010759115219116e-06,0.17564672231674194,-0.00035120174288749695,0.0,-0.0006422773003578186,0.5722476840019226,0.0002942396386060864,1034.0,96.91415405273438,,
233,36.061734199523926,10112,1763260105.57696,0.00011698808521032333,0.057663798332214355,-0.0016324343159794807,0.0,-0.0007911976426839828,0.5937269926071167,0.0002940092235803604,1031.0,149.7838134765625,,
251,37.49408221244812,11648,1763260107.009308,0.002288810908794403,-0.018964171409606934,-0.01911235973238945,0.03125,-0.0004943907260894775,0.611210286617279,0.00029308756347745657,1036.0,155.8760986328125,,
259,37.9483482837677,12160,1763260107.4635742,2.3686327040195465e-05,0.03789788484573364,0.0008835820481181145,0.0,-4.470348358154297e-05,0.6149789690971375,0.0002927803434431553,1040.0,549.0477905273438,,
265,38.32682704925537,12544,1763260107.842053,5.738809704780579e-06,0.26925909519195557,0.0004930030554533005,0.0,-0.0009107384830713272,0.6047878265380859,0.00029254992841742933,1039.0,132.4396514892578,,
273,38.66712522506714,12928,1763260108.182351,1.432374119758606e-05,-0.005907773971557617,0.0006901249289512634,0.0,-0.00010131299495697021,0.6110274195671082,0.00029231951339170337,1041.0,113.23666381835938,,
274,38.69864058494568,13023,1763260108.2138665,,,,,,,,,,129.0,129.0
292,39.67143225669861,14061,1763260109.1866581,,,,,,,,,,101.0,101.0
321,42.13913559913635,15898,1763260111.6543615,,,,,,,,,,75.0,75.0
327,42.76793384552002,16384,1763260112.2831597,0.00011556409299373627,-0.016316533088684082,0.0035144109278917313,0.0,-0.0006067976355552673,0.5959241390228271,0.0002902457781601697,992.0,473.48248291015625,,
330,42.94507455825806,16512,1763260112.4603004,0.00035959482192993164,-0.013945937156677246,-0.0017042476683855057,0.0,-0.007222726941108704,0.551272451877594,0.0002901689731515944,989.0,140.20863342285156,,
332,43.00559902191162,16591,1763260112.520825,,,,,,,,,,58.0,58.0
337,43.440730571746826,16930,1763260112.9559565,,,,,,,,,,183.0,183.0
340,43.6283757686615,17131,1763260113.1436017,,,,,,,,,,70.0,70.0
370,46.05195450782776,19584,1763260115.5671804,0.00010075699537992477,0.008242011070251465,-0.00014354754239320755,0.0,0.004347868263721466,0.5516713857650757,0.0002883256529457867,989.0,440.00042724609375,,
375,46.39155125617981,19973,1763260115.9067771,,,,,,,,,,292.0,292.0
396,48.13973116874695,21888,1763260117.654957,0.00017841532826423645,0.017338335514068604,-0.0019673556089401245,0.0,-0.0017930194735527039,0.5812919735908508,0.00028694316279143095,1000.0,105.78375244140625,,
425,50.44558262825012,24448,1763260119.9608085,3.7058256566524506e-05,0.00794684886932373,-0.00010826718062162399,0.0,-0.0005094762891530991,0.6190586686134338,0.00028540706261992455,1010.0,245.67752075195312,,
441,51.55628848075867,25688,1763260121.0715144,,,,,,,,,,112.0,112.0
450,52.238940715789795,26368,1763260121.7541666,0.0004128003492951393,0.40919893980026245,-0.007300497032701969,0.0,0.013907279819250107,0.5986618995666504,0.00028425498749129474,1014.0,125.53390502929688,,
471,53.41932034492493,27648,1763260122.9345462,3.743637353181839e-05,-0.017676234245300293,-0.0019264211878180504,0.0,-0.0022428669035434723,0.6228282451629639,0.00028348693740554154,1017.0,269.3067932128906,,
481,54.13538885116577,28416,1763260123.6506147,1.7933547496795654e-05,0.1012839674949646,0.0009336564689874649,0.0,-0.000248737633228302,0.592642068862915,0.0002830261073540896,1019.0,261.89495849609375,,
