losses/entropy,losses/policy_loss,losses/value_loss,_runtime,charts/episodic_return,losses/explained_variance,losses/old_approx_kl,_timestamp,charts/episodic_length,_step,charts/SPS,charts/learning_rate,losses/approx_kl,losses/clipfrac,global_step
0.5409242510795593,0.0006833970546722412,0.00048704614164307714,230.00383377075195,,-0.09868264198303223,-0.006425369530916214,1763260308.5396197,,1546,697.0,0.0002182027674280107,0.0008914433419704437,0.0,136448
0.4152072072029114,-0.004391433671116829,777.7357177734375,231.04064655303955,,0.00043267011642456055,0.015351565554738045,1763260309.5764325,,1558,699.0,0.00021751152235083282,0.0019214004278182983,0.001953125,137600
0.5185369849205017,-0.0037733763456344604,0.006724967155605555,231.15061378479004,,0.40295809507369995,-0.00753098726272583,1763260309.6863997,,1559,700.0,0.0002174347173422575,0.0007229596376419067,0.00390625,137728
0.5438706278800964,-0.008189566433429718,1216.0283203125,231.51720881462097,,0.00018960237503051758,-0.0010669641196727753,1763260310.0529947,,1563,700.0,0.00021720430231653154,0.0006783995777368546,0.0,138112
0.5354064702987671,-0.004535861313343048,0.0006625716341659427,231.85184264183044,,0.024208128452301025,-0.006222505122423172,1763260310.3876286,,1566,701.0,0.00021697388729080558,0.000253165140748024,0.0,138496
0.47829580307006836,-0.0031420066952705383,0.007625500671565533,233.8270742893219,,0.13202732801437378,0.004051602445542812,1763260312.3628602,,1588,705.0,0.00021566820214502513,0.0006354721263051033,0.0,140672
0.41601258516311646,0.000800158828496933,0.0012234626337885857,233.9382724761963,,0.076302170753479,-0.006353298202157021,1763260312.4740584,,1589,705.0,0.00021559139713644981,0.0001799948513507843,0.0,140800
0.44087815284729004,0.0010864920914173126,1526.5889892578125,234.64264917373657,,0.0006717443466186523,0.001973288133740425,1763260313.178435,,1597,706.0,0.0002151305670849979,3.3039599657058716e-05,0.0,141568
0.514644980430603,0.0016763582825660706,1318.7215576171875,235.56793069839478,,0.0009785294532775879,0.008244206197559834,1763260314.1037166,,1607,708.0,0.00021451612701639533,0.0001754341647028923,0.0,142592
0.5297009348869324,0.0007542483508586884,0.001355270971544087,235.79045510292053,,0.08118236064910889,-0.0035158228129148483,1763260314.326241,,1609,709.0,0.0002143625169992447,0.008924266323447227,0.017578125,142848
0.47729817032814026,-0.029020367190241814,0.0005710222758352757,235.90244054794312,,0.21697372198104858,0.03035750612616539,1763260314.4382265,,1610,709.0,0.00021428571199066937,0.0072138430550694466,0.0078125,142976
0.5322935581207275,0.008829718455672264,1256.983154296875,236.01486539840698,,0.0005486607551574707,-0.004039928317070007,1763260314.5506513,,1612,709.0,0.00021420890698209405,0.001130158081650734,0.0,143104
,,,237.27996039390564,500.0,,,1763260315.8157463,500.0,1626,,,,,144523
0.4953667223453522,-0.018217142671346664,0.0014671290991827846,238.5320029258728,,-0.12800085544586182,-0.01797432266175747,1763260317.0677888,,1638,714.0,0.00021259600180201232,0.0037888064980506897,0.0,145792
0.5520555973052979,0.006333720870316029,0.001854643109254539,244.3797378540039,,-0.21529507637023926,-0.0012037530541419983,1763260322.9155238,,1687,718.0,0.00020960062101949006,0.0005033444613218307,0.0,150784
0.472587525844574,-0.019633285701274872,0.001264489023014903,249.5008773803711,,0.0021871328353881836,-0.0031476998701691628,1763260328.0366633,,1732,722.0,0.00020683564071077853,0.0017965799197554588,0.001953125,155392
0.4825770854949951,-0.009278997778892517,0.006508291698992252,250.94565629959106,,0.04116445779800415,0.013626518659293652,1763260329.4814422,,1745,723.0,0.00020606759062502533,0.0021013664081692696,0.0,156672
,,,251.84278416633606,500.0,,,1763260330.37857,500.0,1753,,,,,157523
0.45427048206329346,0.0007458403706550598,1673.435546875,251.9668412208557,,-0.0001583099365234375,0.010174636729061604,1763260330.5026271,,1754,724.0,0.0002055299555649981,0.0007254788652062416,0.0,157568
0.4838482141494751,-0.0013939645141363144,0.0057103317230939865,253.25234174728394,,-0.12353324890136719,-0.0006352830678224564,1763260331.7881277,,1765,725.0,0.0002048387104878202,3.2665207982063293e-05,0.0,158720
,,,253.55115938186646,500.0,,,1763260332.0869453,500.0,1768,,,,,159023
0.5586345195770264,-0.014554642140865326,0.0004278910346329212,254.54294562339783,,-0.33595263957977295,-0.01462065801024437,1763260333.0787315,,1777,726.0,0.000204070660402067,0.002080284059047699,0.001953125,160000
0.5912632346153259,-0.006952151656150818,0.005358477123081684,258.24210023880005,,0.2091759443283081,-0.003827969543635845,1763260336.7778862,,1818,733.0,0.00020161290012765676,0.0004279138520359993,0.0,164096
0.5695627927780151,-0.003641471266746521,0.005844997242093086,258.69123816490173,,0.7096379399299622,-0.0011721262708306313,1763260337.227024,,1823,733.0,0.00020130568009335548,7.201451808214188e-05,0.0,164608
,,,261.385103225708,500.0,,,1763260339.9208891,500.0,1851,,,,,167443
,,,261.94580936431885,500.0,,,1763260340.4815953,500.0,1856,,,,,167943
0.4938053488731384,0.009681914001703262,0.0014972880017012358,263.385577917099,,-0.4630734920501709,0.004402914084494114,1763260341.9213638,,1868,738.0,0.00019854069978464395,0.0005012014880776405,0.0,169216
0.5128331184387207,-0.010995211079716682,0.001132751116529107,263.98932242393494,,0.08061659336090088,-0.00336536206305027,1763260342.5251083,,1873,739.0,0.00019823347975034267,0.0005249176174402237,0.0,169728
0.5107001066207886,-4.7832727432250977e-05,0.0089959017932415,264.45896553993225,,0.2933611273765564,-0.009324921295046806,1763260342.9947515,,1877,739.0,0.00019800307927653193,0.0031705573201179504,0.0078125,170112
