charts/learning_rate,losses/explained_variance,charts/SPS,losses/old_approx_kl,charts/episodic_length,_timestamp,charts/episodic_return,losses/entropy,_runtime,losses/policy_loss,global_step,_step,losses/value_loss,losses/clipfrac,losses/approx_kl
0.00028579108766280115,0.18293726444244385,521.0,-0.001813037320971489,,1763260158.5912852,,0.5454312562942505,80.04718518257141,-0.002750575542449951,23808,396,290.8758239746094,0.0,4.692375659942627e-05
0.0002841781824827194,0.6545045375823975,531.0,-0.00045114848762750626,,1763260162.8266256,,0.5663553476333618,84.2825255393982,-0.0006227642297744751,26496,425,79.78740692138672,0.0,9.256415069103241e-06
0.00028348693740554154,0.8533574342727661,533.0,-0.0028721364215016365,,1763260164.742664,,0.5748314261436462,86.19856405258179,-0.00013697892427444458,27648,441,49.270503997802734,0.0,0.00010789278894662857
0.0002830261073540896,-0.002356410026550293,535.0,0.000971703790128231,,1763260165.971793,,0.6243764162063599,87.42769289016724,0.0025498028844594955,28416,450,198.69517517089844,0.0,0.0002967873588204384
0.0002821044472511858,0.504477322101593,538.0,0.006691832095384598,,1763260168.5660481,,0.5280753374099731,90.02194809913635,0.0018795505166053772,29952,471,196.37457275390625,0.0,0.0005423929542303085
,,,,161.0,1763260169.917987,161.0,,91.37388706207275,,30784,481,,,
0.00028118278714828193,0.984713077545166,540.0,0.022693302482366562,,1763260171.203269,,0.6177714467048645,92.65916895866394,-0.0198622215539217,31488,490,4.626367568969727,0.017578125,0.007560512982308865
0.00028056834707967937,0.9629124999046326,541.0,0.0003456920385360718,,1763260172.9883525,,0.617759644985199,94.44425249099731,-0.0024235397577285767,32512,504,43.800697326660156,0.0,0.00035605020821094513
0.00028003071201965213,-0.0003565549850463867,542.0,0.0012637237086892128,,1763260174.4607375,,0.6019600033760071,95.9166374206543,-0.0040864497423172,33408,515,320.7872314453125,0.0,8.549634367227554e-05
,,,,292.0,1763260176.706792,292.0,,98.16269207000732,,34831,530,,,
0.000278801831882447,0.3176305294036865,546.0,0.0002978667616844177,,1763260177.7885218,,0.6032252907752991,99.24442172050476,-0.00011738762259483337,35456,539,361.39691162109375,0.0,2.2761523723602295e-06
,,,,168.0,1763260178.8917468,168.0,,100.34764671325684,,36219,547,,,
0.0002780337817966938,0.03553420305252075,548.0,0.00020340550690889359,,1763260179.9092226,,0.5669242143630981,101.3651225566864,0.00015885010361671448,36736,555,349.16973876953125,0.0,2.0256265997886658e-06
0.00027780336677096784,-0.002886533737182617,549.0,-0.0017211558297276497,,1763260180.4925046,,0.5859915018081665,101.94840455055237,-0.0005263946950435638,37120,559,134.3544921875,0.0,1.4110468327999115e-05
0.00027741934172809124,0.044851839542388916,550.0,-0.00018158461898565292,,1763260181.5756006,,0.6139267086982727,103.03150057792664,0.00022605061531066895,37760,568,123.88200378417969,0.0,2.5099143385887146e-06
0.0002759600756689906,-0.0012819766998291016,555.0,-0.0033798934891819954,,1763260185.293107,,0.5428727865219116,106.74900698661804,0.0007962733507156372,40192,595,235.97007751464844,0.0,0.00023781415075063705
0.0002751152205746621,0.42270511388778687,557.0,0.00781185831874609,,1763260187.5048616,,0.5230947732925415,108.96076154708862,-0.005329646170139313,41600,612,397.8397521972656,0.0,0.000278678722679615
,,,,211.0,1763260187.7326097,211.0,,109.1885097026825,,41762,614,,,
0.0002740399504546076,0.0023534297943115234,561.0,-0.0007498813793063164,,1763260190.2248054,,0.5676985383033752,111.68070530891418,-0.00245019793510437,43392,630,62.67229080200195,0.0,2.402905374765396e-05
0.000273655925411731,-0.013312458992004395,562.0,0.001047372817993164,,1763260191.1836615,,0.5180699825286865,112.63956141471863,-0.0022348910570144653,44032,636,59.68013000488281,0.0,0.00011011585593223572
0.00027342551038600504,0.0015027523040771484,563.0,-0.0009583998471498489,,1763260191.746973,,0.5364546179771423,113.20287299156189,9.188614785671234e-05,44416,640,62.043922424316406,0.0,6.407499313354492e-06
0.0002728878753259778,0.9657127261161804,565.0,0.0063973404467105865,,1763260193.0951555,,0.558340847492218,114.55105543136597,-0.0023684315383434296,45312,650,20.97258186340332,0.0,0.00037670135498046875
0.0002720430202316493,0.015152394771575928,568.0,0.015367286279797554,,1763260195.1450326,,0.5742005109786987,116.60093259811401,0.006568703800439835,46720,664,881.4090576171875,0.0,0.0019272416830062866
