charts/learning_rate,charts/episodic_return,losses/clipfrac,losses/policy_loss,_runtime,global_step,_timestamp,losses/entropy,charts/episodic_length,losses/value_loss,losses/approx_kl,charts/SPS,losses/explained_variance,_step,losses/old_approx_kl
0.0002939324185717851,,0.0,0.0002250075340270996,36.823294162750244,10240,1763260114.7283592,0.6269639730453491,,776.0496215820312,1.4712102711200714e-05,949.0,0.004542291164398193,228,-0.0010395469143986702
0.00029370200354605913,,0.0,-0.014892101287841797,37.210304975509644,10624,1763260115.11537,0.5628213882446289,,536.72265625,0.0013841986656188965,951.0,0.018761515617370605,233,0.005741054192185402
,217.0,,,38.51291823387146,12121,1763260116.4179833,,217.0,,,,,251,
,138.0,,,38.95637249946594,12620,1763260116.8614376,,138.0,,,,,259,
0.00029224270838312805,,0.0,-0.0006465725600719452,39.41969680786133,13056,1763260117.3247619,0.5767405033111572,,423.39959716796875,5.5973418056964874e-05,975.0,0.5160051584243774,265,0.0008653765544295311
0.00029193548834882677,,0.0,-0.0034447945654392242,39.86908721923828,13568,1763260117.7741523,0.5318914651870728,,99.44453430175781,0.0002184603363275528,981.0,0.007763981819152832,273,-0.00487191416323185
,120.0,,,39.90583372116089,13679,1763260117.8108988,,120.0,,,,,274,
0.00029116743826307356,,0.0,-0.0003527030348777771,41.037546157836914,14848,1763260118.9426112,0.5765159130096436,,61.560977935791016,1.1781230568885803e-06,990.0,0.60869300365448,292,-0.00030662398785352707
,93.0,,,42.735116481781006,16740,1763260120.6401815,,93.0,,,,,321,
,96.0,,,43.08040404319763,17147,1763260120.985469,,96.0,,,,,327,
0.0002897081431001425,,0.0,0.0020429380238056183,43.27777075767517,17280,1763260121.1828358,0.49234169721603394,,69.54227447509766,6.21182844042778e-05,1002.0,0.35786956548690796,330,-0.00023483764380216599
,199.0,,,43.431557416915894,17450,1763260121.3366225,,199.0,,,,,332,
,98.0,,,43.66621375083923,17728,1763260121.5712788,,98.0,,,,,337,
0.0002893241180572659,,0.0,-0.0017544757574796677,43.87230324745178,17920,1763260121.7773683,0.5879396200180054,,80.5469741821289,0.00020720995962619781,1004.0,0.12000352144241333,340,-0.004309847950935364
,114.0,,,45.57565402984619,19839,1763260123.480719,,114.0,,,,,370,
0.0002871735778171569,,0.0,-0.004129346460103989,47.15661835670471,21504,1763260125.0616834,0.5437042713165283,,377.3817443847656,0.00026313774287700653,1018.0,0.21253693103790283,396,0.0021364204585552216
0.00028617511270567775,,0.0,0.00047061964869499207,48.72883987426758,23168,1763260126.633905,0.5653680562973022,,85.01231384277344,4.450511187314987e-05,1021.0,0.44223475456237793,425,-0.0010395189747214317
0.0002856374776456505,,0.0,-0.0026874393224716187,49.519601821899414,24064,1763260127.424667,0.5161935687065125,,178.2194061279297,2.6728026568889618e-05,1024.0,0.2771148681640625,441,0.0006971610710024834
,130.0,,,50.063865661621094,24609,1763260127.9689307,,130.0,,,,,450,
,340.0,,,51.473114013671875,26208,1763260129.378179,,340.0,,,,,471,
0.00028387096244841814,,0.0,0.00042395293712615967,52.26410889625549,27008,1763260130.169174,0.5612715482711792,,99.46154022216797,0.0006921263411641121,1029.0,0.583267092704773,481,0.004078979603946209
,210.0,,,52.819538831710815,27653,1763260130.724604,,210.0,,,,,490,
0.0002829493023455143,,0.0,-0.006640328094363213,53.642046213150024,28544,1763260131.5471113,0.5558065176010132,,69.53797149658203,0.0012318296357989311,1034.0,0.6814560890197754,504,0.009753157384693623
0.0002824884722940624,,0.0,0.003747209906578064,54.360634088516235,29312,1763260132.2656991,0.5756669044494629,,38.95933532714844,0.0003253156319260597,1035.0,0.9314067959785461,515,0.0018594888970255852
0.0002817972272168845,,0.0,-0.001002393662929535,55.65169715881348,30464,1763260133.5567622,0.5401782989501953,,24.701457977294922,0.002330740913748741,1028.0,0.8852925300598145,530,0.005687955766916275
0.0002814132021740079,,0.0,-0.0006665363907814026,56.46938157081604,31104,1763260134.3744466,0.4921848177909851,,130.86990356445312,0.00013429764658212662,1022.0,0.5155349373817444,539,-0.00011769402772188187
