_step,_timestamp,losses/entropy,charts/episodic_length,charts/learning_rate,charts/SPS,losses/value_loss,losses/explained_variance,_runtime,charts/episodic_return,losses/approx_kl,losses/clipfrac,global_step,losses/old_approx_kl,losses/policy_loss
1340,1763260202.462502,0.480743944644928,,0.00023617511033080518,1080.0,0.0013322264421731234,0.20551908016204834,124.55287599563599,,0.007003831677138805,0.009765625,106496,0.008604921400547028,-0.03924637287855148
1349,1763260203.2728224,0.4759981036186218,,0.00023563747527077794,1081.0,0.000767275458201766,0.7996355295181274,125.36319637298584,,0.006157072260975838,0.0078125,107392,-0.00853223167359829,-0.018367916345596313
1363,1763260204.531381,0.5089298486709595,,0.00023479262017644942,1081.0,0.00856935977935791,0.09018540382385254,126.62175488471985,,0.0002427874132990837,0.0,108800,0.0030958717688918114,-0.004079028964042664
1365,1763260204.7529857,0.48064538836479187,,0.00023463901015929878,1081.0,0.0011875825002789497,-2.334275245666504,126.84335970878601,,0.00033357739448547363,0.0,109056,-0.0013252850621938705,-0.003833688795566559
1370,1763260205.2311318,0.4558147192001343,,0.0002343317901249975,1081.0,0.00046497429138980806,-1.5897331237792969,127.3215057849884,,0.002804330550134182,0.001953125,109568,-0.014247189275920391,-0.013668529689311981
1380,1763260206.1518943,0.45961591601371765,,0.00023371736460831016,1082.0,0.00038332230178639293,0.12305504083633423,128.24226832389832,,0.0030498942360281944,0.00390625,110592,0.018831880763173103,0.002683691680431366
1381,1763260206.172891,,500.0,,,,,128.26326489448547,500.0,,,110641,,
1388,1763260206.8246436,0.5109038352966309,,0.00023325653455685824,1082.0,0.009532134979963303,0.7135146260261536,128.91501760482788,,0.009252616204321384,0.015625,111360,0.02872524783015251,-0.022419821470975876
1395,1763260207.5324209,0.4185381531715393,,0.00023279570450540632,1082.0,0.00028867620858363807,-0.006699681282043457,129.6227948665619,,0.00022769160568714142,0.0,112128,-0.002118777483701706,-0.002009853720664978
1399,1763260207.8666668,0.48907822370529175,,0.00023256528947968036,1082.0,0.001204827451147139,0.06018686294555664,129.95704078674316,,0.005795391276478767,0.005859375,112512,0.00392940454185009,-0.02036704495549202
1405,1763260208.3875685,,500.0,,,,,130.47794246673584,500.0,,,113141,,
1432,1763260210.8742077,0.49203866720199585,,0.00023056835925672203,1083.0,0.007815686985850334,-0.8265833854675293,132.96458172798157,,0.0022742319852113724,0.0,115840,-0.0032935719937086105,-0.009398417547345161
1433,1763260210.9853806,0.46954774856567383,,0.0002304915542481467,1083.0,0.0010137419449165463,-0.08589136600494385,133.07575464248657,,0.001964271068572998,0.0,115968,0.0008908286690711975,0.00487411767244339
1455,1763260212.9455447,0.5120264887809753,,0.00022918586910236627,1083.0,1684.0355224609375,0.0013464093208312988,135.03591871261597,,1.899339258670807e-05,0.0,118144,0.00017180480062961578,0.0011487901210784912
1456,1763260213.0569305,0.47870200872421265,,0.00022910906409379095,1083.0,0.012181388214230537,-0.20807361602783203,135.1473045349121,,0.0004191473126411438,0.0,118272,0.00450819730758667,-0.006198998540639877
1457,1763260213.1677814,0.4742027819156647,,0.00022903225908521563,1084.0,0.0022101416252553463,-0.352850079536438,135.25815534591675,,0.004658891819417477,0.01953125,118400,-0.011639649979770184,0.0007159411907196045
1514,1763260218.338533,0.5881056189537048,,0.00022557603369932622,1085.0,1551.0919189453125,0.005139589309692383,140.42890691757202,,0.0008560651913285255,0.0,124160,0.006246025674045086,-0.004496052861213684
1521,1763260219.038836,0.5636449456214905,,0.0002251152036478743,1085.0,0.0010901264613494277,0.5064127445220947,141.12920999526978,,0.0003711208701133728,0.0,124928,-0.0012173447757959366,0.00035120174288749695
1525,1763260219.3748212,0.4800771176815033,,0.00022488478862214833,1085.0,0.006300915032625198,-0.6036286354064941,141.4651951789856,,0.0019633937627077103,0.00390625,125312,-0.009539546445012093,-0.009272158145904541
1527,1763260219.6270561,0.5425877571105957,,0.0002247311786049977,1085.0,0.002639998449012637,-13.2410249710083,141.7174301147461,,0.001073341816663742,0.017578125,125568,0.005731191486120224,-0.0017957314848899841
1529,1763260219.744128,0.5107621550559998,,0.00022465437359642237,1085.0,1696.00341796875,0.001545548439025879,141.83450198173523,,0.001510128378868103,0.001953125,125696,0.010074976831674576,-0.009809743613004684
1534,1763260220.1918435,0.41646867990493774,,0.0002243471535621211,1085.0,1028.8780517578125,0.0003554224967956543,142.282217502594,,0.0011987360194325447,0.0,126208,-0.0026445789262652397,0.006255939602851868
1536,1763260220.3158145,,229.0,,,,,142.4061884880066,229.0,,,126370,,
1543,1763260221.0060425,0.5270711183547974,,0.00022380951850209385,1085.0,0.009412655606865883,0.13253313302993774,143.09641647338867,,0.0004478162154555321,0.0,127104,0.002315026707947254,0.0017258599400520325
1545,1763260221.2284787,0.5356506705284119,,0.0002236559084849432,1085.0,0.0005384770920500159,-0.3643301725387573,143.31885266304016,,0.0011313976719975471,0.0,127360,0.007787290029227734,-0.016183756291866302
1546,1763260221.2335231,,500.0,,,,,143.3238971233368,500.0,,,127370,,
1558,1763260222.382031,0.5851652026176453,,0.00022288785839919,1086.0,0.0032546669244766235,-0.11724340915679932,144.47240495681763,,0.0014160964637994766,0.005859375,128640,-0.002291303128004074,-0.011419951915740967
1559,1763260222.4935694,0.46445900201797485,,0.0002228110533906147,1086.0,0.0003318198723718524,0.5251015424728394,144.5839433670044,,0.007684231735765934,0.017578125,128768,0.028613561764359474,-0.03836994618177414
1563,1763260222.8615468,0.5320196747779846,,0.00022258063836488873,1086.0,0.0015290264273062348,0.3003600239753723,144.95192074775696,,0.0016684150323271751,0.0,129152,0.009917852468788624,0.000301949679851532
1566,1763260223.0859687,0.5182157754898071,,0.0002224270283477381,1086.0,1412.2471923828125,0.0034782886505126953,145.17634272575378,,0.0006365831941366196,0.0,129408,-0.005948368459939957,0.005446374416351318
1588,1763260225.1535826,0.5103299021720886,,0.00022104455274529755,1086.0,0.0011393120512366295,-0.2735704183578491,147.24395656585693,,0.002464141696691513,0.00390625,131712,0.0039163436740636826,-0.015295952558517456
1589,1763260225.2639341,0.4755443036556244,,0.00022096774773672223,1086.0,0.0004988403525203466,-1.481433391571045,147.35430812835693,,0.002677268348634243,0.00390625,131840,0.007764467038214207,-0.006992055103182793
1597,1763260225.9679081,0.47426748275756836,,0.0002205069176852703,1086.0,0.009229302406311035,0.006973922252655029,148.05828213691711,,0.002333066426217556,0.0,132608,0.03160110116004944,-0.003942525014281273
1607,1763260226.8550937,0.4899694323539734,,0.00021989247761666775,1087.0,0.0027011518832296133,-0.020047545433044434,148.945467710495,,0.0015663420781493187,0.0,133632,0.0010387888178229332,-0.006525322794914246
1609,1763260227.040225,,500.0,,,,,149.13059902191162,500.0,,,133870,,
1610,1763260227.115829,0.4565192759037018,,0.0002197388675995171,1087.0,1710.1524658203125,0.00034368038177490234,149.2062029838562,,0.002718985080718994,0.0,133888,0.018191341310739517,0.00927687343209982
