charts/SPS,charts/episodic_length,global_step,losses/clipfrac,losses/explained_variance,charts/learning_rate,_timestamp,losses/entropy,losses/policy_loss,losses/old_approx_kl,charts/episodic_return,losses/approx_kl,_runtime,losses/value_loss,_step
458.0,,17408,0.0,0.017789125442504883,0.00028963133809156716,1763260150.8934214,0.558107316493988,-0.0016217194497585297,0.0004206141456961632,,2.6172958314418793e-05,72.36240339279175,135.909423828125,321
,32.0,17785,,,,1763260151.4799657,,,,32.0,,72.94894766807556,,327
459.0,,17920,0.0,0.13585734367370605,0.0002893241180572659,1763260151.931067,0.6141999959945679,0.0001393444836139679,-0.001005084253847599,,6.288941949605942e-05,73.40004897117615,150.95941162109375,330
460.0,,18048,0.0,0.21836256980895996,0.00028924731304869056,1763260152.1608164,0.5892513990402222,0.0008293911814689636,-0.0005253767594695091,,6.814021617174149e-05,73.629798412323,127.09233093261719,332
460.0,,18304,0.0,0.36100512742996216,0.0002890937030315399,1763260152.6962855,0.5753464698791504,-0.0001469440758228302,0.00016597378998994827,,4.44706529378891e-06,74.16526746749878,73.96905517578125,337
461.0,,18560,0.0,0.6106017231941223,0.0002889400930143893,1763260153.1508322,0.6327804327011108,0.0003178305923938751,0.0038846051320433617,,0.0016533033922314644,74.61981415748596,263.1890869140625,340
464.0,,20480,0.0,0.6584362387657166,0.00028778801788575947,1763260157.0133357,0.5613059997558594,-0.0006976425647735596,0.0017788615077733994,,9.39052551984787e-05,78.48231768608093,110.68446350097656,370
466.0,,20864,0.0,0.6185300350189209,0.0002875576028600335,1763260157.7101731,0.5487574338912964,-0.006095945835113525,0.007954844273626804,,0.0007038218900561333,79.17915511131287,207.75228881835938,375
,77.0,22615,,,,1763260160.7479722,,,,77.0,,82.2169542312622,,396
,59.0,24938,,,,1763260164.8937297,,,,59.0,,86.36271166801453,,425
480.0,,25984,0.0,0.1207129955291748,0.0002844854025170207,1763260167.0276344,0.5337523818016052,-0.006568608805537224,0.003479256294667721,,0.0002779299393296242,88.49661636352539,131.2317352294922,441
,192.0,26663,,,,1763260168.2147524,,,,192.0,,89.68373441696167,,450
485.0,,28288,0.0,0.23676550388336182,0.00028310291236266494,1763260171.2488883,0.5959020256996155,-0.00015041977167129517,-8.890964090824127e-05,,1.0285526514053345e-05,92.71787023544312,253.79771423339844,471
,189.0,29079,,,,1763260172.6625555,,,,189.0,,94.13153743743896,,481
,448.0,29926,,,,1763260174.0108533,,,,448.0,,95.47983527183533,,490
492.0,,31232,0.0,0.4520227909088135,0.00028133639716543257,1763260176.386419,0.612869143486023,0.0002330690622329712,0.0002790680155158043,,9.288080036640167e-06,97.85540103912354,180.55514526367188,504
