global_step,losses/old_approx_kl,charts/learning_rate,losses/clipfrac,losses/policy_loss,_step,charts/episodic_length,losses/approx_kl,_runtime,charts/SPS,losses/value_loss,_timestamp,losses/entropy,losses/explained_variance,charts/episodic_return
45568,0.0024275751784443855,0.00027273426530882716,0.0,-0.0001385137438774109,729,,0.00020988378673791885,130.0939826965332,434.0,467.67230224609375,1763260206.2480106,0.5597007274627686,0.0034928321838378906,
48256,0.0016450751572847366,0.00027112136012874544,0.0,0.00025548040866851807,757,,2.4322420358657837e-05,135.5516746044159,437.0,84.43574523925781,1763260211.7057025,0.5354452133178711,0.02849280834197998,
48768,0.0006353184580802917,0.00027081414009444416,0.0,-0.002205517143011093,762,,1.676008105278015e-05,136.5415234565735,438.0,64.34126281738281,1763260212.6955514,0.5318007469177246,0.024928689002990723,
49272,,,,,767,214.0,,137.38431334495544,,,1763260213.5383413,,,214.0
49981,,,,,775,209.0,,138.9335732460022,,,1763260215.0876012,,,209.0
51200,0.007934230379760265,0.00026935484493151307,0.0,-0.009970158338546753,788,,0.0008898703381419182,141.47535371780396,440.0,191.36854553222656,1763260217.6293817,0.4725453853607178,-2.119886636734009,
52096,-0.0022583743557333946,0.00026881720987148583,0.0,-0.002277592197060585,797,,0.00016898754984140396,143.22449135780334,441.0,17.247678756713867,1763260219.3785193,0.5386098623275757,0.6890707612037659,
52992,-0.0021909913048148155,0.0002682795748114586,0.0,-0.011701248586177826,806,,0.0013453708961606026,144.94643807411194,442.0,29.714487075805664,1763260221.100466,0.5647628903388977,0.07746928930282593,
53760,-0.00043966807425022125,0.00026781874476000667,0.0,0.0002814456820487976,815,,9.00961458683014e-06,146.55606818199158,443.0,757.3240356445312,1763260222.7100961,0.5552877187728882,-0.031470417976379395,
58225,,,,,863,266.0,,155.42784214019775,,,1763260231.58187,,,266.0
59136,0.008118253201246262,0.0002645929343998432,0.0,-0.010661523789167404,872,,0.0006818752735853195,157.44653511047363,447.0,17.348594665527344,1763260233.600563,0.6105207800865173,0.7145194411277771,
59392,-0.0009514885023236275,0.0002644393243826926,0.0,-0.0022864826023578644,876,,3.226194530725479e-05,158.0475676059723,447.0,397.27130126953125,1763260234.2015955,0.594528317451477,-0.00042247772216796875,
63872,-0.0006226319819688797,0.00026175114908255637,0.0,-0.001952962949872017,922,,1.1684373021125793e-05,166.97492361068726,450.0,6.752533912658691,1763260243.1289515,0.5748170018196106,0.03742945194244385,
64640,-0.00013369042426347733,0.00026129031903110445,0.0,-3.3214688301086426e-05,930,,3.238208591938019e-06,168.52651119232178,451.0,5.81842041015625,1763260244.6805391,0.5471027493476868,-0.024735093116760254,
65400,,,,,938,500.0,,169.89286494255066,,,1763260246.046893,,,500.0
65664,-0.00073220394551754,0.0002606758789625019,0.0,-0.00028486549854278564,941,,5.6082382798194885e-05,170.58769369125366,451.0,2.4882779121398926,1763260246.7417216,0.5355107188224792,0.03404879570007324,
65792,-0.011647190898656845,0.00026059907395392656,0.0,-0.006566941738128662,942,,0.0003953315317630768,170.8403205871582,452.0,6.225803375244141,1763260246.9943485,0.5547484159469604,-1.1763365268707275,
66308,,,,,948,408.0,,171.90103363990784,,,1763260248.0550616,,,408.0
68992,2.8917565941810608e-05,0.00025867894873954356,0.0,-7.05420970916748e-05,974,,0.00011926703155040741,177.22363948822021,454.0,0.8289713859558105,1763260253.3776674,0.5652045011520386,-0.02004373073577881,
69512,,,,,980,234.0,,178.30581402778625,,,1763260254.459842,,,234.0
70016,0.001719895750284195,0.000258064508670941,0.0,-0.002171257510781288,985,,0.0003646817058324814,179.32346320152283,454.0,1366.0650634765625,1763260255.4774911,0.5539156794548035,0.00019723176956176758,
71040,-0.007500031031668186,0.00025745006860233843,0.0,0.002079419791698456,995,,0.0011515254154801369,181.31448531150818,455.0,1545.52685546875,1763260257.4685133,0.4955081045627594,0.004083871841430664,
71296,-0.0058638304471969604,0.0002572964585851878,0.0,0.0020801909267902374,997,,0.0007158983498811722,181.7912139892578,455.0,0.035487160086631775,1763260257.945242,0.5541616082191467,0.4750577211380005,
73088,0.0041108038276433945,0.0002562211884651333,0.0,0.003825787454843521,1015,,0.0003366749733686447,184.60968899726868,458.0,1384.5518798828125,1763260260.763717,0.5761412382125854,-0.0002276897430419922,
73472,0.0067141856998205185,0.00025599077343940735,0.0,0.0001729726791381836,1020,,0.001146174967288971,185.0727560520172,459.0,1514.916259765625,1763260261.226784,0.5573399662971497,0.006854891777038574,
74496,0.006350749172270298,0.0002553763333708048,0.0,0.0028852075338363647,1031,,0.0006671259179711342,186.28301358222961,462.0,1149.9664306640625,1763260262.4370415,0.4979066848754883,0.008297145366668701,
76416,0.024806588888168335,0.000254224258242175,0.015625,-0.015149813145399094,1050,,0.0028396956622600555,189.68267250061035,464.0,0.004158921539783478,1763260265.8367004,0.599219024181366,-0.8789575099945068,
76748,,,,,1053,500.0,,190.15930676460266,,,1763260266.3133347,,,500.0
77220,,,,,1058,472.0,,191.10703802108765,,,1763260267.261066,,,472.0
79744,0.014781864359974861,0.00025222732801921666,0.009765625,-0.0010203123092651367,1083,,0.0003507658839225769,195.4402494430542,468.0,0.0037484909407794476,1763260271.5942774,0.505660891532898,0.021677613258361816,
80602,,,,,1091,500.0,,196.3706419467926,,,1763260272.52467,,,500.0
82102,,,,,1106,500.0,,198.06531238555908,,,1763260274.2193403,,,500.0
83328,0.015263387002050877,0.00025007681688293815,0.0,-0.0062247514724731445,1118,,0.0017806468531489372,200.4984152317047,475.0,0.007753000129014254,1763260276.6524432,0.5088687539100647,0.08318310976028442,
84096,0.010794343426823616,0.0002496159868314862,0.0,0.005505204200744629,1125,,0.0011749230325222015,201.8862705230713,476.0,0.0001824167266022414,1763260278.0402985,0.49038073420524597,-0.11778569221496582,
84864,-0.005921550095081329,0.0002491551567800343,0.0,0.0004570521414279938,1133,,8.374080061912537e-05,203.27940845489502,476.0,0.001344463205896318,1763260279.4334364,0.5292243361473083,0.07533365488052368,
86102,,,,,1145,500.0,,205.1371555328369,,,1763260281.2911835,,,500.0
88064,-0.02927151881158352,0.0002472350315656513,0.0,-0.011945364996790886,1164,,0.003485647961497307,208.061021566391,481.0,0.0005521773127838969,1763260284.2150495,0.4973953366279602,-4.9207048416137695,
88102,,,,,1165,500.0,,208.08083772659302,,,1763260284.2348657,,,500.0
88832,0.0066220723092556,0.0002467742015141994,0.0,-0.0021276287734508514,1172,,0.00041993148624897003,208.9191553592682,483.0,0.0044891368597745895,1763260285.0731833,0.5695211291313171,0.07412922382354736,
89728,-0.00104532390832901,0.00024623656645417213,0.0,-0.0012327581644058228,1181,,0.0006877370178699493,209.9284107685089,485.0,0.007725683506578207,1763260286.0824387,0.43307948112487793,0.1701875925064087,
90240,-0.0005173580721020699,0.00024592934641987085,0.0,-0.0025346465408802032,1186,,0.0004913052543997765,210.532217502594,487.0,0.005293535068631172,1763260286.6862454,0.48943036794662476,-0.043771982192993164,
91311,,,,,1197,500.0,,211.7343773841858,,,1763260287.8884053,,,500.0
92928,-0.0036440594121813774,0.00024431644123978913,0.0,-0.0007917582988739014,1213,,0.0006102463230490685,213.5645272731781,493.0,404.3775634765625,1763260289.7185552,0.40867215394973755,-0.0013890266418457031,
93184,0.00500913430005312,0.0002441628312226385,0.0,-0.005669167265295982,1215,,0.0006670458242297173,213.8485507965088,494.0,0.0015607411041855812,1763260290.0025787,0.4058244228363037,-0.7174941301345825,
94311,,,,,1226,500.0,,215.71283960342407,,,1763260291.8668675,,,500.0
94720,0.004259374924004078,0.00024324117111973464,0.0078125,0.011124545708298683,1230,,0.0023840470239520073,216.61140251159668,495.0,0.003493326250463724,1763260292.7654305,0.43897560238838196,-37.038665771484375,
95104,0.0018522357568144798,0.00024301075609400868,0.0,-0.0058803558349609375,1234,,0.0005928510800004005,217.38022661209106,495.0,0.0010844082571566105,1763260293.5342546,0.41425052285194397,-2.2788474559783936,
96256,-0.004319443367421627,0.0002423195110168308,0.0,-0.010611452162265778,1245,,0.0013121934607625008,219.3844931125641,495.0,0.019007816910743713,1763260295.538521,0.4620741307735443,-4.775821685791016,
97152,-0.011497770436108112,0.00024178187595680356,0.00390625,0.0011309944093227386,1254,,0.003514210693538189,220.96599102020264,496.0,0.0008394806063733995,1763260297.120019,0.3710695505142212,0.5455626249313354,
98816,-0.0004163552075624466,0.0002407834108453244,0.0,-0.003135446459054947,1271,,0.00012381747364997864,224.00182366371155,497.0,0.009069260209798813,1763260300.1558516,0.47234392166137695,-0.08028769493103027,
101640,,,,,1299,500.0,,227.9355983734131,,,1763260304.0896263,,,500.0
