_timestamp,_step,global_step,losses/clipfrac,charts/episodic_length,charts/SPS,charts/learning_rate,losses/explained_variance,_runtime,charts/episodic_return,losses/approx_kl,losses/entropy,losses/policy_loss,losses/value_loss,losses/old_approx_kl
1763260340.0652559,2975,269952,0.0,,1105.0,0.00013809524534735829,-0.0002015829086303711,270.5419399738312,,3.3144839107990265e-05,0.45422860980033875,0.0024229809641838074,538.98193359375,-0.001580626703798771
1763260341.3519962,2989,271360,0.0,,1104.0,0.00013725039025302976,0.0004642009735107422,271.8286802768707,,6.331410259008408e-05,0.48600125312805176,-0.000510048121213913,2003.8177490234375,0.0009665759280323982
1763260342.1273596,2997,272256,0.0,,1105.0,0.00013671275519300252,0.031838297843933105,272.6040437221527,,0.00033218972384929657,0.5018144845962524,-0.009577248245477676,0.0004804078198503703,0.005897173658013344
1763260343.4145677,3011,273664,0.0,,1105.0,0.000135867900098674,-0.3705497980117798,273.89125180244446,,0.00017609167844057083,0.4204835295677185,-0.0030594095587730408,0.002093943301588297,-3.992300480604172e-05
1763260347.070729,3051,277760,0.0078125,,1105.0,0.00013341013982426375,0.1968868374824524,277.54741311073303,,0.0031595854088664055,0.530655562877655,-0.007423747330904007,0.00028623867547139525,0.0120882922783494
1763260347.184208,3053,277888,0.0,,1105.0,0.00013333333481568843,0.0004412531852722168,277.6608920097351,,0.00020662695169448853,0.571515679359436,0.0014165174216032028,1335.52783203125,9.673275053501129e-05
1763260348.435086,3066,279296,0.0,,1105.0,0.0001324884797213599,0.09237200021743774,278.91177010536194,,0.0003742920234799385,0.5125220417976379,0.003073405474424362,0.00026015102048404515,-0.004091818816959858
1763260348.8057306,3070,279680,0.0,,1105.0,0.00013225806469563395,-0.00886237621307373,279.2824146747589,,0.00035954732447862625,0.5123724341392517,-0.0025422684848308563,0.0007419701432809234,0.006861521862447262
1763260349.9492042,3083,280960,0.0,,1105.0,0.00013149001460988075,-0.0002518892288208008,280.425888299942,,0.0004097353667020798,0.4940284490585327,0.005623139441013336,149.87411499023438,-0.006916793063282967
1763260351.3187702,3098,282496,0.0,,1105.0,0.0001305683545069769,-0.5435173511505127,281.79545426368713,,0.0007497286424040794,0.5820353627204895,-0.0006662420928478241,0.007111837156116962,0.010244709439575672
1763260351.7969646,3103,283008,0.0,,1105.0,0.00013026113447267562,-0.06985938549041748,282.2736487388611,,1.4444813132286072e-06,0.5822263956069946,0.0001232437789440155,0.005944824777543545,0.0004237806424498558
1763260353.975735,3127,285440,0.0,,1105.0,0.00012880183930974454,0.0006826519966125488,284.4524190425873,,0.0004943739622831345,0.5515896677970886,0.003186553716659546,758.7210693359375,0.004800636321306229
1763260354.1971757,3129,285696,0.0,,1105.0,0.0001286482292925939,0.01795870065689087,284.673859834671,,8.200015872716904e-05,0.482243150472641,-0.002821100875735283,0.001679756329394877,0.005516038276255131
1763260355.2335513,3141,286848,0.0,,1105.0,0.00012795698421541601,-0.0006390810012817383,285.71023535728455,,0.00012345518916845322,0.5044199824333191,-0.0013155750930309296,2026.285400390625,-0.002154751680791378
1763260355.4537482,3143,287104,0.0,,1105.0,0.00012780337419826537,-0.8172202110290527,285.9304323196411,,0.0010426715016365051,0.4692500829696655,0.006875887513160706,0.0030729344580322504,-0.005539562553167343
1763260355.6780057,3146,287360,0.0,,1105.0,0.00012764976418111473,-0.0010317564010620117,286.15468978881836,,0.0001184539869427681,0.5180020928382874,0.00025412440299987793,1907.19970703125,0.00014022830873727798
1763260357.9188926,3170,289835,,500.0,,,,288.39557671546936,500.0,,,,,
1763260359.1897736,3183,291200,0.0,,1105.0,0.00012534562847577035,-0.08340215682983398,289.66645765304565,,0.0011261729523539543,0.47189566493034363,-0.002995721995830536,0.0014727147063240409,0.012362143956124783
1763260359.6328497,3188,291712,0.0,,1105.0,0.00012503840844146907,0.23607349395751953,290.1095337867737,,5.5816955864429474e-05,0.5357356667518616,-0.0015338119119405746,0.0003822987200692296,-0.0009879497811198235
1763260362.2869642,3217,294656,0.0,,1105.0,0.0001232718932442367,-0.07334566116333008,292.76364827156067,,0.00026855338364839554,0.5443249344825745,-0.00690721720457077,0.001380610279738903,-0.0008406518027186394
1763260362.8575585,3224,295335,,500.0,,,,293.33424258232117,500.0,,,,,
1763260365.017529,3247,297728,0.0,,1105.0,0.00012142857303842902,-0.2482600212097168,295.49421310424805,,0.0006064586341381073,0.5416919589042664,-0.01097564771771431,0.0002256902662338689,0.0005155820399522781
1763260365.269255,3250,297984,0.0,,1105.0,0.00012127496302127838,0.03317290544509888,295.74593901634216,,0.0006735548377037048,0.4438936710357666,-0.006451413035392761,0.004988455213606358,0.0038415417075157166
1763260365.4962928,3252,298240,0.0,,1105.0,0.00012112135300412774,-0.025869369506835938,295.9729769229889,,0.0002212105318903923,0.5327860116958618,0.003771807998418808,0.00024957142886705697,0.006183928810060024
1763260365.7215593,3255,298496,0.0,,1105.0,0.0001209677429869771,0.16551685333251953,296.1982433795929,,0.0013777520507574081,0.486977219581604,-0.017100587487220764,0.004261495545506477,0.0006508119404315948
1763260366.0552115,3259,298880,0.0,,1105.0,0.00012073732796125114,0.0007692575454711914,296.5318956375122,,0.00011310353875160217,0.43678563833236694,-0.00016378611326217651,1961.315185546875,0.0026089660823345184
1763260367.352298,3272,300288,0.0,,1105.0,0.00011989247286692262,-0.05548453330993652,297.82898211479187,,0.0027436111122369766,0.4777058959007263,-0.0220777727663517,0.0006390330963768065,-0.009321287274360657
1763260367.5761235,3275,300544,0.0,,1105.0,0.00011973886284977198,0.06950539350509644,298.0528075695038,,7.158610969781876e-05,0.4480384886264801,0.00023974478244781494,0.005675986874848604,0.002263152040541172
1763260367.6882732,3276,300672,0.0,,1105.0,0.00011966205784119666,0.007906198501586914,298.16495728492737,,0.0003082370385527611,0.48846298456192017,-0.009316816926002502,0.0010309047065675259,0.0026794178411364555
1763260369.5305696,3296,302720,0.0,,1105.0,0.00011843317770399153,-0.03938913345336914,300.0072536468506,,0.00020506326109170914,0.46511533856391907,-0.001970440149307251,0.0006427591433748603,-0.003964136354625225
1763260369.7544348,3299,302976,0.0,,1105.0,0.00011827956768684089,-0.0014797449111938477,300.2311189174652,,0.00039101671427488327,0.4252682626247406,0.0024988502264022827,0.005561262369155884,-0.005546680651605129
1763260373.2976665,3338,306944,0.0,,1106.0,0.00011589861969696358,-2.658367156982422e-05,303.77435064315796,,0.00011798925697803497,0.501109778881073,-0.0014276057481765747,0.0067941490560770035,0.003652196377515793
1763260374.4794617,3351,308335,,500.0,,,,304.9561457633972,500.0,,,,,
1763260375.031592,3357,308864,0.0,,1106.0,0.00011474654456833377,-2.9325485229492188e-05,305.5082759857178,,0.00011785700917243958,0.44911128282546997,-0.003517787903547287,1852.868896484375,-0.0015043746680021286
1763260375.3609288,3360,309248,0.0,,1106.0,0.00011451612954260781,-0.009601593017578125,305.83761286735535,,0.00011860299855470657,0.4943022131919861,0.0016786810010671616,0.0004956750781275332,0.0022324854508042336
1763260378.8380272,3398,313088,0.0,,1106.0,0.0001122119792853482,0.4368842840194702,309.31471133232117,,0.00011180154979228973,0.47979536652565,-0.003211120143532753,0.0011044142302125692,0.00092364102602005
1763260379.0606582,3401,313344,0.0,,1106.0,0.00011205836926819757,0.00020235776901245117,309.5373423099518,,0.00022101309150457382,0.45313528180122375,-0.0004902631044387817,1494.8709716796875,-0.00036904122680425644
1763260379.5069993,3406,313856,0.0,,1106.0,0.00011175114923389629,-0.00012922286987304688,309.983683347702,,0.00022448226809501648,0.4903322756290436,-0.0015202928334474564,2025.570068359375,-0.0017503798007965088
1763260379.6177995,3407,313984,0.0,,1106.0,0.00011167434422532097,-0.1655336618423462,310.0944836139679,,0.00013046711683273315,0.4498979449272156,-0.0002686828374862671,0.0057055032812058926,0.00555695965886116
1763260380.762735,3419,315264,0.0,,1106.0,0.00011090630141552538,0.7403008937835693,311.2394189834595,,0.00012217089533805847,0.3891121447086334,-0.0011289026588201523,0.0002414970367681235,-0.0032266564667224884
1763260381.351056,3426,315904,0.0,,1106.0,0.00011052227637264878,-0.00016641616821289062,311.82774019241333,,0.00025726761668920517,0.39097699522972107,-0.0008999519050121307,1480.499755859375,0.0032067736610770226
1763260381.5717158,3428,316160,0.0,,1106.0,0.00011036866635549814,-0.09905827045440674,312.04839992523193,,0.0001013241708278656,0.45947694778442383,-0.0018612146377563477,0.0010172334732487798,0.0044618938118219376
1763260382.1727588,3435,316835,,500.0,,,,312.64944291114807,500.0,,,,,
1763260383.5272682,3450,318336,0.0,,1106.0,0.00010906298120971769,3.3736228942871094e-05,314.00395226478577,,0.00042985472828149796,0.4620325267314911,-0.0018668659031391144,1595.845947265625,-0.0017715850844979286
